Row,Number of Houses,Pipe Size
Row 1,11,15 inches
Row 2,6,10 inches
Row 3,13,15 inches
Row 4,15,15 inches
Row 5,7,10 inches
Row 6,14,15 inches
Row 7,9,10 inches
Row 8,14,15 inches
Row 9,10,10 inches
Row 10,12,15 inches
Row 11,13,15 inches
Row 12,10,10 inches
Row 13,9,10 inches
Row 14,8,10 inches
Row 15,8,10 inches
Row 16,15,15 inches
Row 17,8,10 inches
Row 18,13,15 inches
Row 19,13,15 inches
Row 20,14,15 inches
Row 21,5,5 inches
Row 22,12,15 inches
Row 23,15,15 inches
Row 24,11,15 inches
Row 25,12,15 inches
Row 26,15,15 inches
Row 27,15,15 inches
Row 28,7,10 inches
Row 29,8,10 inches
Row 30,14,15 inches
Row 31,12,15 inches
Row 32,8,10 inches
Row 33,13,15 inches
Row 34,10,10 inches
Row 35,11,15 inches
Row 36,10,10 inches
Row 37,5,5 inches
Row 38,7,10 inches
Row 39,8,10 inches
Row 40,9,10 inches
Row 41,6,10 inches
Row 42,5,5 inches
Row 43,9,10 inches
Row 44,6,10 inches
Row 45,5,5 inches
Row 46,15,15 inches
Row 47,5,5 inches
Row 48,13,15 inches
Row 49,13,15 inches
Row 50,12,15 inches
Row 51,12,15 inches
Row 52,13,15 inches
Row 53,6,10 inches
Row 54,5,5 inches
Row 55,9,10 inches
Row 56,9,10 inches
Row 57,13,15 inches
Row 58,11,15 inches
Row 59,9,10 inches
Row 60,12,15 inches
Row 61,11,15 inches
Row 62,13,15 inches
Row 63,11,15 inches
Row 64,5,5 inches
Row 65,13,15 inches
Row 66,13,15 inches
Row 67,10,10 inches
Row 68,13,15 inches
Row 69,14,15 inches
Row 70,7,10 inches
Row 71,12,15 inches
Row 72,10,10 inches
Row 73,10,10 inches
Row 74,14,15 inches
Row 75,12,15 inches
Row 76,14,15 inches
Row 77,7,10 inches
Row 78,6,10 inches
Row 79,5,5 inches
Row 80,11,15 inches
Row 81,14,15 inches
Row 82,5,5 inches
Row 83,15,15 inches
Row 84,7,10 inches
Row 85,15,15 inches
Row 86,15,15 inches
Row 87,11,15 inches
Row 88,13,15 inches
Row 89,7,10 inches
Row 90,7,10 inches
Row 91,9,10 inches
Row 92,15,15 inches
Row 93,12,15 inches
Row 94,5,5 inches
Row 95,7,10 inches
Row 96,6,10 inches
Row 97,12,15 inches
Row 98,14,15 inches
Row 99,7,10 inches
Row 100,15,15 inches
Row 101,10,10 inches
Row 102,5,5 inches
Row 103,11,15 inches
Row 104,13,15 inches
Row 105,11,15 inches
Row 106,13,15 inches
Row 107,9,10 inches
Row 108,15,15 inches
Row 109,14,15 inches
Row 110,13,15 inches
Row 111,13,15 inches
Row 112,12,15 inches
Row 113,7,10 inches
Row 114,6,10 inches
Row 115,15,15 inches
