Row,Number of Houses,Pipe Size
Row 1,8,10 inches
Row 2,15,15 inches
Row 3,10,10 inches
Row 4,13,15 inches
Row 5,10,10 inches
Row 6,10,10 inches
Row 7,11,15 inches
Row 8,15,15 inches
Row 9,8,10 inches
Row 10,7,10 inches
Row 11,15,15 inches
Row 12,5,5 inches
Row 13,6,10 inches
Row 14,5,5 inches
Row 15,5,5 inches
Row 16,8,10 inches
Row 17,14,15 inches
Row 18,15,15 inches
Row 19,8,10 inches
Row 20,9,10 inches
Row 21,11,15 inches
Row 22,6,10 inches
Row 23,10,10 inches
Row 24,13,15 inches
Row 25,14,15 inches
Row 26,11,15 inches
Row 27,5,5 inches
Row 28,10,10 inches
Row 29,8,10 inches
Row 30,6,10 inches
Row 31,11,15 inches
Row 32,14,15 inches
Row 33,8,10 inches
Row 34,15,15 inches
Row 35,5,5 inches
Row 36,6,10 inches
Row 37,14,15 inches
Row 38,12,15 inches
Row 39,6,10 inches
Row 40,10,10 inches
Row 41,12,15 inches
Row 42,11,15 inches
Row 43,6,10 inches
Row 44,15,15 inches
Row 45,15,15 inches
Row 46,15,15 inches
Row 47,15,15 inches
Row 48,8,10 inches
Row 49,10,10 inches
Row 50,5,5 inches
Row 51,6,10 inches
Row 52,11,15 inches
Row 53,13,15 inches
Row 54,9,10 inches
Row 55,10,10 inches
Row 56,15,15 inches
Row 57,10,10 inches
Row 58,5,5 inches
Row 59,15,15 inches
Row 60,8,10 inches
Row 61,11,15 inches
Row 62,15,15 inches
Row 63,12,15 inches
Row 64,10,10 inches
Row 65,6,10 inches
Row 66,7,10 inches
Row 67,11,15 inches
Row 68,9,10 inches
Row 69,7,10 inches
Row 70,10,10 inches
Row 71,5,5 inches
Row 72,12,15 inches
Row 73,11,15 inches
Row 74,7,10 inches
Row 75,10,10 inches
Row 76,15,15 inches
Row 77,6,10 inches
Row 78,8,10 inches
Row 79,12,15 inches
Row 80,14,15 inches
Row 81,6,10 inches
Row 82,10,10 inches
Row 83,12,15 inches
Row 84,9,10 inches
Row 85,6,10 inches
Row 86,12,15 inches
Row 87,12,15 inches
Row 88,13,15 inches
Row 89,13,15 inches
Row 90,12,15 inches
Row 91,15,15 inches
Row 92,7,10 inches
Row 93,8,10 inches
Row 94,13,15 inches
Row 95,9,10 inches
Row 96,12,15 inches
Row 97,12,15 inches
Row 98,12,15 inches
Row 99,12,15 inches
Row 100,8,10 inches
Row 101,10,10 inches
Row 102,14,15 inches
Row 103,13,15 inches
Row 104,15,15 inches
Row 105,14,15 inches
Row 106,9,10 inches
Row 107,13,15 inches
Row 108,10,10 inches
Row 109,9,10 inches
Row 110,11,15 inches
Row 111,11,15 inches
Row 112,10,10 inches
Row 113,7,10 inches
Row 114,7,10 inches
Row 115,10,10 inches
Row 116,5,5 inches
Row 117,9,10 inches
Row 118,15,15 inches
Row 119,10,10 inches
Row 120,8,10 inches
Row 121,13,15 inches
Row 122,7,10 inches
Row 123,14,15 inches
Row 124,14,15 inches
Row 125,13,15 inches
Row 126,12,15 inches
Row 127,10,10 inches
Row 128,7,10 inches
Row 129,12,15 inches
Row 130,7,10 inches
Row 131,7,10 inches
Row 132,11,15 inches
Row 133,7,10 inches
Row 134,11,15 inches
Row 135,12,15 inches
Row 136,5,5 inches
Row 137,14,15 inches
Row 138,10,10 inches
Row 139,12,15 inches
Row 140,9,10 inches
Row 141,6,10 inches
Row 142,10,10 inches
Row 143,12,15 inches
Row 144,10,10 inches
Row 145,15,15 inches
Row 146,8,10 inches
Row 147,8,10 inches
Row 148,15,15 inches
Row 149,5,5 inches
Row 150,15,15 inches
Row 151,15,15 inches
Row 152,13,15 inches
Row 153,8,10 inches
Row 154,5,5 inches
Row 155,6,10 inches
Row 156,13,15 inches
Row 157,12,15 inches
Row 158,14,15 inches
Row 159,11,15 inches
Row 160,12,15 inches
Row 161,14,15 inches
Row 162,9,10 inches
Row 163,11,15 inches
Row 164,14,15 inches
Row 165,11,15 inches
Row 166,6,10 inches
Row 167,10,10 inches
Row 168,9,10 inches
Row 169,14,15 inches
Row 170,15,15 inches
Row 171,13,15 inches
Row 172,9,10 inches
Row 173,13,15 inches
Row 174,10,10 inches
Row 175,11,15 inches
Row 176,10,10 inches
