Row,Number of Houses,Pipe Size
Row 1,7,10 inches
Row 2,13,15 inches
Row 3,10,10 inches
Row 4,13,15 inches
Row 5,12,15 inches
Row 6,9,10 inches
Row 7,6,10 inches
Row 8,10,10 inches
Row 9,5,5 inches
Row 10,10,10 inches
Row 11,14,15 inches
Row 12,8,10 inches
Row 13,8,10 inches
Row 14,12,15 inches
Row 15,11,15 inches
Row 16,10,10 inches
Row 17,12,15 inches
Row 18,8,10 inches
Row 19,12,15 inches
Row 20,7,10 inches
Row 21,7,10 inches
Row 22,12,15 inches
Row 23,13,15 inches
Row 24,11,15 inches
Row 25,14,15 inches
Row 26,7,10 inches
Row 27,9,10 inches
Row 28,12,15 inches
Row 29,11,15 inches
Row 30,7,10 inches
Row 31,14,15 inches
Row 32,15,15 inches
Row 33,6,10 inches
Row 34,7,10 inches
Row 35,8,10 inches
Row 36,13,15 inches
Row 37,7,10 inches
Row 38,14,15 inches
Row 39,13,15 inches
Row 40,7,10 inches
Row 41,15,15 inches
Row 42,5,5 inches
Row 43,11,15 inches
Row 44,13,15 inches
Row 45,11,15 inches
Row 46,6,10 inches
Row 47,13,15 inches
Row 48,7,10 inches
Row 49,13,15 inches
Row 50,10,10 inches
Row 51,12,15 inches
Row 52,14,15 inches
Row 53,15,15 inches
Row 54,8,10 inches
Row 55,10,10 inches
Row 56,13,15 inches
Row 57,12,15 inches
Row 58,9,10 inches
Row 59,9,10 inches
Row 60,6,10 inches
Row 61,10,10 inches
Row 62,10,10 inches
Row 63,7,10 inches
Row 64,9,10 inches
Row 65,14,15 inches
Row 66,8,10 inches
Row 67,8,10 inches
Row 68,15,15 inches
Row 69,11,15 inches
Row 70,6,10 inches
Row 71,11,15 inches
Row 72,9,10 inches
Row 73,5,5 inches
Row 74,8,10 inches
Row 75,7,10 inches
Row 76,6,10 inches
Row 77,13,15 inches
Row 78,7,10 inches
Row 79,13,15 inches
Row 80,11,15 inches
Row 81,14,15 inches
Row 82,14,15 inches
Row 83,10,10 inches
Row 84,7,10 inches
Row 85,6,10 inches
Row 86,6,10 inches
Row 87,6,10 inches
Row 88,9,10 inches
Row 89,6,10 inches
Row 90,9,10 inches
Row 91,11,15 inches
Row 92,5,5 inches
Row 93,6,10 inches
Row 94,11,15 inches
Row 95,9,10 inches
Row 96,12,15 inches
Row 97,14,15 inches
Row 98,14,15 inches
Row 99,6,10 inches
Row 100,7,10 inches
Row 101,11,15 inches
Row 102,13,15 inches
Row 103,12,15 inches
Row 104,15,15 inches
Row 105,10,10 inches
Row 106,13,15 inches
Row 107,10,10 inches
Row 108,13,15 inches
Row 109,13,15 inches
Row 110,12,15 inches
Row 111,7,10 inches
Row 112,5,5 inches
Row 113,13,15 inches
Row 114,11,15 inches
Row 115,15,15 inches
Row 116,6,10 inches
Row 117,6,10 inches
Row 118,9,10 inches
Row 119,7,10 inches
Row 120,13,15 inches
Row 121,13,15 inches
Row 122,5,5 inches
Row 123,6,10 inches
Row 124,10,10 inches
Row 125,6,10 inches
Row 126,13,15 inches
Row 127,8,10 inches
Row 128,15,15 inches
Row 129,12,15 inches
Row 130,10,10 inches
Row 131,7,10 inches
Row 132,9,10 inches
Row 133,7,10 inches
Row 134,7,10 inches
Row 135,5,5 inches
Row 136,14,15 inches
Row 137,7,10 inches
Row 138,12,15 inches
Row 139,6,10 inches
Row 140,15,15 inches
Row 141,15,15 inches
Row 142,8,10 inches
Row 143,13,15 inches
Row 144,15,15 inches
Row 145,15,15 inches
Row 146,10,10 inches
Row 147,12,15 inches
Row 148,12,15 inches
Row 149,8,10 inches
Row 150,10,10 inches
Row 151,8,10 inches
Row 152,7,10 inches
Row 153,12,15 inches
Row 154,10,10 inches
Row 155,9,10 inches
Row 156,14,15 inches
