Row,Number of Houses,Pipe Size,pipe_size
Row 1,14,15 inches,15 inches
Row 2,5,5 inches,15 inches
Row 3,13,15 inches,15 inches
Row 4,9,10 inches,15 inches
Row 5,9,10 inches,15 inches
Row 6,9,10 inches,15 inches
Row 7,6,10 inches,15 inches
Row 8,10,10 inches,15 inches
Row 9,11,15 inches,15 inches
Row 10,15,15 inches,15 inches
Row 11,7,10 inches,15 inches
Row 12,13,15 inches,15 inches
Row 13,6,10 inches,15 inches
Row 14,14,15 inches,15 inches
Row 15,7,10 inches,15 inches
Row 16,6,10 inches,15 inches
Row 17,7,10 inches,15 inches
Row 18,6,10 inches,15 inches
Row 19,8,10 inches,15 inches
Row 20,7,10 inches,15 inches
Row 21,5,5 inches,15 inches
Row 22,10,10 inches,15 inches
Row 23,14,15 inches,15 inches
Row 24,13,15 inches,15 inches
Row 25,5,5 inches,15 inches
Row 26,7,10 inches,15 inches
Row 27,11,15 inches,15 inches
Row 28,9,10 inches,15 inches
Row 29,8,10 inches,15 inches
Row 30,15,15 inches,15 inches
Row 31,14,15 inches,15 inches
Row 32,7,10 inches,15 inches
Row 33,5,5 inches,15 inches
Row 34,10,10 inches,15 inches
Row 35,9,10 inches,15 inches
Row 36,9,10 inches,15 inches
Row 37,11,15 inches,15 inches
Row 38,8,10 inches,15 inches
Row 39,9,10 inches,15 inches
Row 40,5,5 inches,15 inches
Row 41,7,10 inches,15 inches
Row 42,13,15 inches,15 inches
Row 43,13,15 inches,15 inches
Row 44,7,10 inches,15 inches
Row 45,10,10 inches,15 inches
Row 46,6,10 inches,15 inches
Row 47,10,10 inches,15 inches
Row 48,9,10 inches,15 inches
Row 49,14,15 inches,15 inches
Row 50,14,15 inches,15 inches
Row 51,10,10 inches,15 inches
Row 52,7,10 inches,15 inches
Row 53,9,10 inches,15 inches
Row 54,8,10 inches,15 inches
Row 55,10,10 inches,15 inches
Row 56,10,10 inches,15 inches
Row 57,10,10 inches,15 inches
Row 58,10,10 inches,15 inches
Row 59,12,15 inches,15 inches
Row 60,15,15 inches,15 inches
Row 61,5,5 inches,15 inches
Row 62,8,10 inches,15 inches
Row 63,10,10 inches,15 inches
Row 64,15,15 inches,15 inches
Row 65,13,15 inches,15 inches
Row 66,11,15 inches,15 inches
Row 67,7,10 inches,15 inches
Row 68,8,10 inches,15 inches
