Row,Number of Houses,Pipe Size,pipe_size
Row 1,11,15 inches,15 inches
Row 2,12,15 inches,15 inches
Row 3,10,10 inches,15 inches
Row 4,5,5 inches,15 inches
Row 5,14,15 inches,15 inches
Row 6,10,10 inches,15 inches
Row 7,11,15 inches,15 inches
Row 8,14,15 inches,15 inches
Row 9,12,15 inches,15 inches
Row 10,5,5 inches,15 inches
Row 11,14,15 inches,15 inches
Row 12,9,10 inches,15 inches
Row 13,12,15 inches,15 inches
Row 14,10,10 inches,15 inches
Row 15,12,15 inches,15 inches
Row 16,6,10 inches,15 inches
Row 17,7,10 inches,15 inches
Row 18,13,15 inches,15 inches
Row 19,5,5 inches,15 inches
Row 20,7,10 inches,15 inches
Row 21,13,15 inches,15 inches
Row 22,9,10 inches,15 inches
Row 23,9,10 inches,15 inches
Row 24,5,5 inches,15 inches
Row 25,5,5 inches,15 inches
Row 26,12,15 inches,15 inches
Row 27,11,15 inches,15 inches
Row 28,12,15 inches,15 inches
Row 29,5,5 inches,15 inches
Row 30,8,10 inches,15 inches
Row 31,8,10 inches,15 inches
Row 32,8,10 inches,15 inches
Row 33,14,15 inches,15 inches
Row 34,9,10 inches,15 inches
Row 35,14,15 inches,15 inches
Row 36,9,10 inches,15 inches
Row 37,8,10 inches,15 inches
Row 38,6,10 inches,15 inches
Row 39,10,10 inches,15 inches
Row 40,12,15 inches,15 inches
Row 41,15,15 inches,15 inches
Row 42,12,15 inches,15 inches
Row 43,14,15 inches,15 inches
Row 44,14,15 inches,15 inches
Row 45,10,10 inches,15 inches
Row 46,7,10 inches,15 inches
Row 47,6,10 inches,15 inches
Row 48,5,5 inches,15 inches
Row 49,11,15 inches,15 inches
Row 50,9,10 inches,15 inches
Row 51,9,10 inches,15 inches
Row 52,13,15 inches,15 inches
Row 53,7,10 inches,15 inches
Row 54,10,10 inches,15 inches
Row 55,13,15 inches,15 inches
Row 56,12,15 inches,15 inches
Row 57,5,5 inches,15 inches
Row 58,7,10 inches,15 inches
Row 59,11,15 inches,15 inches
Row 60,13,15 inches,15 inches
Row 61,15,15 inches,15 inches
Row 62,7,10 inches,15 inches
Row 63,9,10 inches,15 inches
Row 64,6,10 inches,15 inches
Row 65,6,10 inches,15 inches
Row 66,10,10 inches,15 inches
Row 67,14,15 inches,15 inches
Row 68,10,10 inches,15 inches
Row 69,6,10 inches,15 inches
Row 70,14,15 inches,15 inches
Row 71,6,10 inches,15 inches
Row 72,8,10 inches,15 inches
Row 73,8,10 inches,15 inches
Row 74,7,10 inches,15 inches
Row 75,9,10 inches,15 inches
Row 76,5,5 inches,15 inches
Row 77,12,15 inches,15 inches
Row 78,5,5 inches,15 inches
Row 79,14,15 inches,15 inches
Row 80,15,15 inches,15 inches
Row 81,10,10 inches,15 inches
Row 82,11,15 inches,15 inches
Row 83,12,15 inches,15 inches
Row 84,7,10 inches,15 inches
Row 85,15,15 inches,15 inches
Row 86,15,15 inches,15 inches
Row 87,12,15 inches,15 inches
Row 88,8,10 inches,15 inches
Row 89,11,15 inches,15 inches
Row 90,7,10 inches,15 inches
Row 91,15,15 inches,15 inches
Row 92,7,10 inches,15 inches
Row 93,7,10 inches,15 inches
Row 94,13,15 inches,15 inches
Row 95,6,10 inches,15 inches
Row 96,6,10 inches,15 inches
Row 97,13,15 inches,15 inches
Row 98,7,10 inches,15 inches
Row 99,15,15 inches,15 inches
Row 100,13,15 inches,15 inches
Row 101,8,10 inches,15 inches
Row 102,7,10 inches,15 inches
Row 103,12,15 inches,15 inches
Row 104,9,10 inches,15 inches
Row 105,10,10 inches,15 inches
Row 106,5,5 inches,15 inches
Row 107,15,15 inches,15 inches
Row 108,14,15 inches,15 inches
Row 109,14,15 inches,15 inches
Row 110,11,15 inches,15 inches
Row 111,14,15 inches,15 inches
Row 112,11,15 inches,15 inches
Row 113,5,5 inches,15 inches
Row 114,6,10 inches,15 inches
Row 115,15,15 inches,15 inches
Row 116,12,15 inches,15 inches
Row 117,7,10 inches,15 inches
Row 118,15,15 inches,15 inches
Row 119,12,15 inches,15 inches
Row 120,15,15 inches,15 inches
Row 121,11,15 inches,15 inches
Row 122,14,15 inches,15 inches
Row 123,12,15 inches,15 inches
Row 124,8,10 inches,15 inches
Row 125,12,15 inches,15 inches
Row 126,10,10 inches,15 inches
Row 127,15,15 inches,15 inches
Row 128,9,10 inches,15 inches
Row 129,14,15 inches,15 inches
Row 130,7,10 inches,15 inches
Row 131,10,10 inches,15 inches
Row 132,9,10 inches,15 inches
Row 133,5,5 inches,15 inches
