Row,Number of Houses,Pipe Size
Row 1,11,15 inches
Row 2,9,10 inches
Row 3,11,15 inches
Row 4,7,10 inches
Row 5,15,15 inches
Row 6,8,10 inches
Row 7,7,10 inches
Row 8,14,15 inches
Row 9,13,15 inches
Row 10,15,15 inches
Row 11,14,15 inches
Row 12,11,15 inches
Row 13,5,5 inches
Row 14,8,10 inches
Row 15,15,15 inches
Row 16,7,10 inches
Row 17,10,10 inches
Row 18,15,15 inches
Row 19,15,15 inches
Row 20,11,15 inches
Row 21,12,15 inches
Row 22,13,15 inches
Row 23,15,15 inches
Row 24,6,10 inches
Row 25,14,15 inches
Row 26,6,10 inches
Row 27,14,15 inches
Row 28,14,15 inches
Row 29,9,10 inches
Row 30,11,15 inches
Row 31,9,10 inches
Row 32,9,10 inches
Row 33,13,15 inches
Row 34,12,15 inches
Row 35,11,15 inches
Row 36,10,10 inches
Row 37,9,10 inches
Row 38,5,5 inches
Row 39,13,15 inches
Row 40,14,15 inches
Row 41,6,10 inches
Row 42,5,5 inches
Row 43,10,10 inches
Row 44,15,15 inches
Row 45,12,15 inches
Row 46,15,15 inches
Row 47,12,15 inches
Row 48,6,10 inches
Row 49,11,15 inches
Row 50,11,15 inches
Row 51,11,15 inches
Row 52,11,15 inches
Row 53,11,15 inches
Row 54,12,15 inches
Row 55,10,10 inches
Row 56,8,10 inches
Row 57,15,15 inches
Row 58,5,5 inches
Row 59,11,15 inches
Row 60,6,10 inches
Row 61,5,5 inches
Row 62,8,10 inches
Row 63,5,5 inches
Row 64,13,15 inches
Row 65,6,10 inches
Row 66,6,10 inches
Row 67,12,15 inches
Row 68,13,15 inches
Row 69,13,15 inches
Row 70,8,10 inches
Row 71,9,10 inches
Row 72,9,10 inches
Row 73,9,10 inches
Row 74,11,15 inches
Row 75,13,15 inches
Row 76,13,15 inches
Row 77,9,10 inches
Row 78,15,15 inches
Row 79,14,15 inches
Row 80,5,5 inches
Row 81,14,15 inches
Row 82,6,10 inches
Row 83,9,10 inches
Row 84,15,15 inches
Row 85,6,10 inches
Row 86,5,5 inches
Row 87,8,10 inches
Row 88,5,5 inches
Row 89,9,10 inches
Row 90,8,10 inches
Row 91,9,10 inches
Row 92,15,15 inches
Row 93,5,5 inches
Row 94,14,15 inches
Row 95,12,15 inches
Row 96,11,15 inches
Row 97,14,15 inches
Row 98,10,10 inches
Row 99,7,10 inches
Row 100,11,15 inches
Row 101,6,10 inches
Row 102,12,15 inches
Row 103,8,10 inches
Row 104,13,15 inches
Row 105,7,10 inches
Row 106,14,15 inches
Row 107,13,15 inches
