Row,Number of Houses,Pipe Size
Row 1,11,15 inches
Row 2,15,15 inches
Row 3,13,15 inches
Row 4,15,15 inches
Row 5,13,15 inches
Row 6,5,5 inches
Row 7,9,10 inches
Row 8,6,10 inches
Row 9,11,15 inches
Row 10,8,10 inches
Row 11,11,15 inches
Row 12,10,10 inches
Row 13,10,10 inches
Row 14,9,10 inches
Row 15,14,15 inches
Row 16,13,15 inches
Row 17,11,15 inches
Row 18,13,15 inches
Row 19,8,10 inches
Row 20,9,10 inches
Row 21,7,10 inches
Row 22,9,10 inches
Row 23,8,10 inches
Row 24,9,10 inches
Row 25,15,15 inches
Row 26,12,15 inches
Row 27,13,15 inches
Row 28,11,15 inches
Row 29,8,10 inches
Row 30,6,10 inches
Row 31,5,5 inches
Row 32,14,15 inches
Row 33,13,15 inches
Row 34,11,15 inches
Row 35,13,15 inches
Row 36,5,5 inches
Row 37,5,5 inches
Row 38,9,10 inches
Row 39,11,15 inches
Row 40,7,10 inches
Row 41,9,10 inches
Row 42,9,10 inches
Row 43,6,10 inches
Row 44,10,10 inches
Row 45,12,15 inches
Row 46,15,15 inches
Row 47,11,15 inches
Row 48,12,15 inches
Row 49,6,10 inches
Row 50,9,10 inches
Row 51,14,15 inches
Row 52,8,10 inches
Row 53,9,10 inches
Row 54,11,15 inches
Row 55,15,15 inches
Row 56,15,15 inches
Row 57,14,15 inches
Row 58,8,10 inches
Row 59,6,10 inches
Row 60,7,10 inches
Row 61,7,10 inches
Row 62,12,15 inches
Row 63,9,10 inches
Row 64,10,10 inches
Row 65,9,10 inches
Row 66,6,10 inches
Row 67,13,15 inches
Row 68,13,15 inches
Row 69,8,10 inches
Row 70,14,15 inches
Row 71,5,5 inches
Row 72,11,15 inches
Row 73,13,15 inches
Row 74,11,15 inches
Row 75,5,5 inches
Row 76,7,10 inches
Row 77,10,10 inches
Row 78,5,5 inches
Row 79,13,15 inches
Row 80,15,15 inches
Row 81,14,15 inches
Row 82,7,10 inches
Row 83,10,10 inches
Row 84,9,10 inches
Row 85,15,15 inches
Row 86,6,10 inches
Row 87,13,15 inches
Row 88,13,15 inches
Row 89,6,10 inches
Row 90,11,15 inches
Row 91,11,15 inches
Row 92,5,5 inches
Row 93,10,10 inches
Row 94,5,5 inches
Row 95,11,15 inches
Row 96,9,10 inches
Row 97,9,10 inches
Row 98,10,10 inches
Row 99,6,10 inches
Row 100,13,15 inches
Row 101,9,10 inches
Row 102,11,15 inches
Row 103,6,10 inches
Row 104,12,15 inches
Row 105,8,10 inches
Row 106,12,15 inches
Row 107,6,10 inches
Row 108,13,15 inches
Row 109,11,15 inches
Row 110,10,10 inches
Row 111,5,5 inches
Row 112,9,10 inches
Row 113,9,10 inches
