Row,Number of Houses,Pipe Size
Row 1,9,10 inches
Row 2,15,15 inches
Row 3,7,10 inches
Row 4,12,15 inches
Row 5,7,10 inches
Row 6,14,15 inches
Row 7,14,15 inches
Row 8,11,15 inches
Row 9,6,10 inches
Row 10,8,10 inches
Row 11,10,10 inches
Row 12,11,15 inches
Row 13,13,15 inches
Row 14,7,10 inches
Row 15,7,10 inches
Row 16,10,10 inches
Row 17,7,10 inches
Row 18,9,10 inches
Row 19,11,15 inches
Row 20,9,10 inches
Row 21,5,5 inches
Row 22,6,10 inches
Row 23,11,15 inches
Row 24,9,10 inches
Row 25,9,10 inches
Row 26,13,15 inches
Row 27,9,10 inches
Row 28,9,10 inches
Row 29,9,10 inches
Row 30,12,15 inches
Row 31,8,10 inches
Row 32,12,15 inches
Row 33,15,15 inches
Row 34,10,10 inches
Row 35,12,15 inches
Row 36,5,5 inches
Row 37,8,10 inches
Row 38,11,15 inches
Row 39,6,10 inches
Row 40,5,5 inches
Row 41,11,15 inches
Row 42,10,10 inches
Row 43,11,15 inches
Row 44,10,10 inches
Row 45,11,15 inches
Row 46,7,10 inches
Row 47,13,15 inches
Row 48,12,15 inches
Row 49,15,15 inches
Row 50,10,10 inches
Row 51,9,10 inches
Row 52,13,15 inches
Row 53,5,5 inches
Row 54,11,15 inches
Row 55,9,10 inches
Row 56,14,15 inches
Row 57,14,15 inches
Row 58,7,10 inches
Row 59,10,10 inches
Row 60,6,10 inches
Row 61,12,15 inches
Row 62,10,10 inches
Row 63,13,15 inches
Row 64,7,10 inches
Row 65,13,15 inches
Row 66,10,10 inches
Row 67,6,10 inches
Row 68,7,10 inches
Row 69,8,10 inches
Row 70,15,15 inches
Row 71,12,15 inches
Row 72,10,10 inches
Row 73,9,10 inches
Row 74,5,5 inches
Row 75,14,15 inches
Row 76,5,5 inches
Row 77,6,10 inches
Row 78,14,15 inches
Row 79,10,10 inches
Row 80,13,15 inches
Row 81,6,10 inches
Row 82,12,15 inches
Row 83,13,15 inches
Row 84,11,15 inches
Row 85,15,15 inches
Row 86,11,15 inches
Row 87,6,10 inches
Row 88,13,15 inches
Row 89,15,15 inches
Row 90,5,5 inches
Row 91,15,15 inches
Row 92,6,10 inches
Row 93,5,5 inches
Row 94,14,15 inches
Row 95,12,15 inches
Row 96,15,15 inches
Row 97,13,15 inches
Row 98,12,15 inches
Row 99,9,10 inches
Row 100,13,15 inches
Row 101,7,10 inches
Row 102,12,15 inches
Row 103,5,5 inches
Row 104,10,10 inches
Row 105,14,15 inches
Row 106,7,10 inches
Row 107,7,10 inches
Row 108,8,10 inches
Row 109,11,15 inches
Row 110,11,15 inches
Row 111,14,15 inches
Row 112,8,10 inches
Row 113,7,10 inches
Row 114,9,10 inches
Row 115,15,15 inches
Row 116,14,15 inches
Row 117,7,10 inches
Row 118,5,5 inches
Row 119,12,15 inches
Row 120,10,10 inches
Row 121,12,15 inches
Row 122,8,10 inches
Row 123,7,10 inches
Row 124,7,10 inches
Row 125,10,10 inches
Row 126,7,10 inches
Row 127,13,15 inches
Row 128,10,10 inches
Row 129,11,15 inches
Row 130,10,10 inches
Row 131,6,10 inches
Row 132,8,10 inches
Row 133,11,15 inches
Row 134,13,15 inches
Row 135,14,15 inches
Row 136,10,10 inches
Row 137,10,10 inches
Row 138,7,10 inches
Row 139,9,10 inches
Row 140,14,15 inches
Row 141,8,10 inches
Row 142,5,5 inches
Row 143,7,10 inches
Row 144,14,15 inches
Row 145,14,15 inches
Row 146,13,15 inches
Row 147,7,10 inches
Row 148,15,15 inches
Row 149,7,10 inches
Row 150,11,15 inches
Row 151,10,10 inches
Row 152,14,15 inches
Row 153,6,10 inches
Row 154,8,10 inches
Row 155,11,15 inches
Row 156,15,15 inches
Row 157,12,15 inches
Row 158,7,10 inches
Row 159,7,10 inches
Row 160,6,10 inches
Row 161,10,10 inches
Row 162,13,15 inches
