Row,Number of Houses,Pipe Size
Row 1,7,10 inches
Row 2,9,10 inches
Row 3,13,15 inches
Row 4,5,5 inches
Row 5,10,10 inches
Row 6,11,15 inches
Row 7,7,10 inches
Row 8,7,10 inches
Row 9,5,5 inches
Row 10,13,15 inches
Row 11,15,15 inches
Row 12,12,15 inches
Row 13,13,15 inches
Row 14,11,15 inches
Row 15,11,15 inches
Row 16,7,10 inches
Row 17,9,10 inches
Row 18,14,15 inches
Row 19,10,10 inches
Row 20,12,15 inches
Row 21,6,10 inches
Row 22,14,15 inches
Row 23,8,10 inches
Row 24,12,15 inches
Row 25,14,15 inches
Row 26,11,15 inches
Row 27,9,10 inches
Row 28,10,10 inches
Row 29,9,10 inches
Row 30,11,15 inches
Row 31,14,15 inches
Row 32,7,10 inches
Row 33,15,15 inches
Row 34,10,10 inches
Row 35,8,10 inches
Row 36,8,10 inches
Row 37,14,15 inches
Row 38,13,15 inches
Row 39,7,10 inches
Row 40,14,15 inches
Row 41,7,10 inches
Row 42,13,15 inches
Row 43,5,5 inches
Row 44,14,15 inches
Row 45,8,10 inches
Row 46,9,10 inches
Row 47,9,10 inches
Row 48,11,15 inches
Row 49,8,10 inches
Row 50,10,10 inches
Row 51,15,15 inches
Row 52,13,15 inches
Row 53,9,10 inches
Row 54,8,10 inches
Row 55,11,15 inches
Row 56,15,15 inches
Row 57,10,10 inches
Row 58,10,10 inches
Row 59,11,15 inches
Row 60,7,10 inches
Row 61,10,10 inches
Row 62,6,10 inches
Row 63,6,10 inches
Row 64,12,15 inches
Row 65,15,15 inches
Row 66,6,10 inches
Row 67,12,15 inches
Row 68,11,15 inches
Row 69,13,15 inches
Row 70,7,10 inches
Row 71,7,10 inches
Row 72,7,10 inches
Row 73,11,15 inches
Row 74,10,10 inches
Row 75,14,15 inches
Row 76,12,15 inches
Row 77,5,5 inches
Row 78,7,10 inches
Row 79,14,15 inches
Row 80,15,15 inches
Row 81,7,10 inches
Row 82,14,15 inches
Row 83,11,15 inches
Row 84,12,15 inches
Row 85,7,10 inches
Row 86,14,15 inches
Row 87,6,10 inches
Row 88,6,10 inches
Row 89,11,15 inches
Row 90,9,10 inches
Row 91,10,10 inches
Row 92,5,5 inches
Row 93,7,10 inches
Row 94,9,10 inches
Row 95,9,10 inches
Row 96,15,15 inches
Row 97,15,15 inches
Row 98,6,10 inches
Row 99,15,15 inches
Row 100,7,10 inches
Row 101,7,10 inches
Row 102,12,15 inches
Row 103,10,10 inches
Row 104,11,15 inches
Row 105,8,10 inches
Row 106,7,10 inches
Row 107,6,10 inches
Row 108,11,15 inches
Row 109,14,15 inches
Row 110,13,15 inches
Row 111,14,15 inches
Row 112,7,10 inches
Row 113,15,15 inches
Row 114,14,15 inches
Row 115,13,15 inches
Row 116,10,10 inches
Row 117,8,10 inches
Row 118,11,15 inches
Row 119,8,10 inches
Row 120,9,10 inches
Row 121,7,10 inches
Row 122,5,5 inches
Row 123,13,15 inches
Row 124,9,10 inches
Row 125,8,10 inches
Row 126,14,15 inches
Row 127,13,15 inches
Row 128,11,15 inches
Row 129,9,10 inches
Row 130,11,15 inches
Row 131,11,15 inches
Row 132,12,15 inches
Row 133,14,15 inches
Row 134,15,15 inches
Row 135,8,10 inches
Row 136,12,15 inches
Row 137,5,5 inches
Row 138,11,15 inches
Row 139,8,10 inches
Row 140,10,10 inches
Row 141,8,10 inches
Row 142,13,15 inches
Row 143,7,10 inches
Row 144,14,15 inches
Row 145,6,10 inches
Row 146,8,10 inches
Row 147,14,15 inches
Row 148,6,10 inches
