Row,Number of Houses,Pipe Size
Row 1,8,10 inches
Row 2,7,10 inches
Row 3,8,10 inches
Row 4,12,15 inches
Row 5,11,15 inches
Row 6,15,15 inches
Row 7,8,10 inches
Row 8,14,15 inches
Row 9,15,15 inches
Row 10,12,15 inches
Row 11,14,15 inches
Row 12,6,10 inches
Row 13,10,10 inches
Row 14,13,15 inches
Row 15,10,10 inches
Row 16,13,15 inches
Row 17,13,15 inches
Row 18,5,5 inches
Row 19,11,15 inches
Row 20,7,10 inches
Row 21,5,5 inches
Row 22,15,15 inches
Row 23,7,10 inches
Row 24,14,15 inches
Row 25,13,15 inches
Row 26,12,15 inches
Row 27,10,10 inches
Row 28,10,10 inches
Row 29,14,15 inches
Row 30,10,10 inches
Row 31,6,10 inches
Row 32,14,15 inches
Row 33,6,10 inches
Row 34,10,10 inches
Row 35,13,15 inches
Row 36,9,10 inches
Row 37,14,15 inches
Row 38,14,15 inches
Row 39,14,15 inches
Row 40,11,15 inches
Row 41,15,15 inches
Row 42,14,15 inches
Row 43,5,5 inches
Row 44,10,10 inches
Row 45,15,15 inches
Row 46,10,10 inches
Row 47,8,10 inches
Row 48,10,10 inches
Row 49,7,10 inches
Row 50,7,10 inches
Row 51,6,10 inches
Row 52,7,10 inches
Row 53,6,10 inches
Row 54,5,5 inches
Row 55,5,5 inches
Row 56,6,10 inches
Row 57,15,15 inches
Row 58,10,10 inches
Row 59,7,10 inches
Row 60,8,10 inches
Row 61,12,15 inches
Row 62,8,10 inches
Row 63,10,10 inches
Row 64,9,10 inches
Row 65,15,15 inches
Row 66,11,15 inches
Row 67,6,10 inches
Row 68,5,5 inches
Row 69,7,10 inches
Row 70,8,10 inches
Row 71,6,10 inches
Row 72,7,10 inches
Row 73,10,10 inches
Row 74,8,10 inches
Row 75,10,10 inches
Row 76,15,15 inches
Row 77,8,10 inches
Row 78,13,15 inches
Row 79,7,10 inches
Row 80,5,5 inches
Row 81,13,15 inches
Row 82,6,10 inches
Row 83,12,15 inches
Row 84,7,10 inches
Row 85,8,10 inches
Row 86,13,15 inches
Row 87,5,5 inches
Row 88,8,10 inches
Row 89,10,10 inches
Row 90,5,5 inches
Row 91,12,15 inches
Row 92,7,10 inches
Row 93,6,10 inches
Row 94,11,15 inches
Row 95,6,10 inches
Row 96,5,5 inches
Row 97,14,15 inches
Row 98,11,15 inches
Row 99,10,10 inches
Row 100,13,15 inches
Row 101,14,15 inches
Row 102,9,10 inches
