Row,Number of Houses,Pipe Size
Row 1,5,5 inches
Row 2,5,5 inches
Row 3,10,10 inches
Row 4,10,10 inches
Row 5,9,10 inches
Row 6,9,10 inches
Row 7,6,10 inches
Row 8,10,10 inches
Row 9,13,15 inches
Row 10,8,10 inches
Row 11,8,10 inches
Row 12,8,10 inches
Row 13,12,15 inches
Row 14,11,15 inches
Row 15,6,10 inches
Row 16,11,15 inches
Row 17,5,5 inches
Row 18,8,10 inches
Row 19,7,10 inches
Row 20,10,10 inches
Row 21,6,10 inches
Row 22,14,15 inches
Row 23,13,15 inches
Row 24,13,15 inches
Row 25,12,15 inches
Row 26,13,15 inches
Row 27,6,10 inches
Row 28,15,15 inches
Row 29,15,15 inches
Row 30,6,10 inches
Row 31,8,10 inches
Row 32,13,15 inches
Row 33,13,15 inches
Row 34,6,10 inches
Row 35,5,5 inches
Row 36,12,15 inches
Row 37,14,15 inches
Row 38,14,15 inches
Row 39,7,10 inches
Row 40,9,10 inches
Row 41,9,10 inches
Row 42,8,10 inches
Row 43,5,5 inches
Row 44,9,10 inches
Row 45,6,10 inches
Row 46,13,15 inches
Row 47,11,15 inches
Row 48,10,10 inches
Row 49,8,10 inches
Row 50,11,15 inches
Row 51,14,15 inches
Row 52,6,10 inches
Row 53,10,10 inches
Row 54,6,10 inches
Row 55,7,10 inches
Row 56,6,10 inches
Row 57,8,10 inches
Row 58,7,10 inches
Row 59,7,10 inches
Row 60,6,10 inches
Row 61,10,10 inches
Row 62,9,10 inches
Row 63,10,10 inches
Row 64,8,10 inches
Row 65,15,15 inches
Row 66,11,15 inches
Row 67,7,10 inches
Row 68,7,10 inches
Row 69,12,15 inches
Row 70,10,10 inches
Row 71,9,10 inches
Row 72,6,10 inches
Row 73,14,15 inches
Row 74,14,15 inches
Row 75,7,10 inches
Row 76,9,10 inches
Row 77,5,5 inches
Row 78,5,5 inches
Row 79,5,5 inches
Row 80,5,5 inches
Row 81,10,10 inches
Row 82,10,10 inches
Row 83,7,10 inches
Row 84,6,10 inches
Row 85,8,10 inches
Row 86,7,10 inches
Row 87,8,10 inches
Row 88,11,15 inches
Row 89,6,10 inches
Row 90,7,10 inches
Row 91,11,15 inches
Row 92,9,10 inches
Row 93,12,15 inches
Row 94,14,15 inches
Row 95,6,10 inches
Row 96,6,10 inches
Row 97,6,10 inches
Row 98,10,10 inches
Row 99,11,15 inches
Row 100,15,15 inches
Row 101,15,15 inches
Row 102,7,10 inches
Row 103,15,15 inches
Row 104,10,10 inches
Row 105,11,15 inches
Row 106,5,5 inches
