Row,Number of Houses,Pipe Size,pipe_size
Row 1,15,15 inches,15 inches
Row 2,13,15 inches,15 inches
Row 3,10,10 inches,15 inches
Row 4,7,10 inches,15 inches
Row 5,6,10 inches,15 inches
Row 6,6,10 inches,15 inches
Row 7,10,10 inches,15 inches
Row 8,6,10 inches,15 inches
Row 9,8,10 inches,15 inches
Row 10,9,10 inches,15 inches
Row 11,5,5 inches,15 inches
Row 12,12,15 inches,15 inches
Row 13,12,15 inches,15 inches
Row 14,7,10 inches,15 inches
Row 15,5,5 inches,15 inches
Row 16,7,10 inches,15 inches
Row 17,6,10 inches,15 inches
Row 18,12,15 inches,15 inches
Row 19,5,5 inches,15 inches
Row 20,9,10 inches,15 inches
Row 21,6,10 inches,15 inches
Row 22,11,15 inches,15 inches
Row 23,13,15 inches,15 inches
Row 24,13,15 inches,15 inches
Row 25,9,10 inches,15 inches
Row 26,5,5 inches,15 inches
Row 27,12,15 inches,15 inches
Row 28,6,10 inches,15 inches
Row 29,8,10 inches,15 inches
Row 30,8,10 inches,15 inches
Row 31,9,10 inches,15 inches
Row 32,13,15 inches,15 inches
Row 33,15,15 inches,15 inches
Row 34,5,5 inches,15 inches
Row 35,14,15 inches,15 inches
Row 36,10,10 inches,15 inches
Row 37,9,10 inches,15 inches
Row 38,11,15 inches,15 inches
Row 39,9,10 inches,15 inches
Row 40,9,10 inches,15 inches
Row 41,8,10 inches,15 inches
Row 42,7,10 inches,15 inches
Row 43,6,10 inches,15 inches
Row 44,7,10 inches,15 inches
Row 45,7,10 inches,15 inches
Row 46,8,10 inches,15 inches
Row 47,8,10 inches,15 inches
Row 48,8,10 inches,15 inches
Row 49,14,15 inches,15 inches
Row 50,11,15 inches,15 inches
Row 51,11,15 inches,15 inches
Row 52,5,5 inches,15 inches
Row 53,6,10 inches,15 inches
Row 54,15,15 inches,15 inches
Row 55,13,15 inches,15 inches
Row 56,14,15 inches,15 inches
Row 57,15,15 inches,15 inches
Row 58,7,10 inches,15 inches
Row 59,6,10 inches,15 inches
Row 60,15,15 inches,15 inches
Row 61,7,10 inches,15 inches
Row 62,14,15 inches,15 inches
Row 63,8,10 inches,15 inches
Row 64,14,15 inches,15 inches
Row 65,9,10 inches,15 inches
Row 66,9,10 inches,15 inches
Row 67,10,10 inches,15 inches
Row 68,13,15 inches,15 inches
Row 69,6,10 inches,15 inches
Row 70,12,15 inches,15 inches
Row 71,14,15 inches,15 inches
Row 72,6,10 inches,15 inches
Row 73,8,10 inches,15 inches
Row 74,10,10 inches,15 inches
Row 75,15,15 inches,15 inches
Row 76,12,15 inches,15 inches
Row 77,11,15 inches,15 inches
Row 78,15,15 inches,15 inches
Row 79,11,15 inches,15 inches
Row 80,6,10 inches,15 inches
Row 81,14,15 inches,15 inches
Row 82,7,10 inches,15 inches
Row 83,13,15 inches,15 inches
Row 84,13,15 inches,15 inches
Row 85,10,10 inches,15 inches
Row 86,6,10 inches,15 inches
Row 87,15,15 inches,15 inches
Row 88,12,15 inches,15 inches
Row 89,14,15 inches,15 inches
Row 90,8,10 inches,15 inches
Row 91,5,5 inches,15 inches
Row 92,6,10 inches,15 inches
Row 93,8,10 inches,15 inches
Row 94,12,15 inches,15 inches
Row 95,7,10 inches,15 inches
Row 96,10,10 inches,15 inches
Row 97,7,10 inches,15 inches
Row 98,14,15 inches,15 inches
Row 99,10,10 inches,15 inches
Row 100,14,15 inches,15 inches
Row 101,14,15 inches,15 inches
Row 102,5,5 inches,15 inches
Row 103,6,10 inches,15 inches
Row 104,10,10 inches,15 inches
Row 105,14,15 inches,15 inches
Row 106,12,15 inches,15 inches
Row 107,10,10 inches,15 inches
Row 108,6,10 inches,15 inches
Row 109,10,10 inches,15 inches
Row 110,11,15 inches,15 inches
Row 111,10,10 inches,15 inches
Row 112,12,15 inches,15 inches
Row 113,7,10 inches,15 inches
Row 114,14,15 inches,15 inches
