Row,Number of Houses,Pipe Size
Row 1,11,15 inches
Row 2,6,10 inches
Row 3,7,10 inches
Row 4,8,10 inches
Row 5,6,10 inches
Row 6,5,5 inches
Row 7,12,15 inches
Row 8,8,10 inches
Row 9,11,15 inches
Row 10,14,15 inches
Row 11,11,15 inches
Row 12,13,15 inches
Row 13,12,15 inches
Row 14,8,10 inches
Row 15,13,15 inches
Row 16,13,15 inches
Row 17,11,15 inches
Row 18,5,5 inches
Row 19,9,10 inches
Row 20,6,10 inches
Row 21,9,10 inches
Row 22,12,15 inches
Row 23,9,10 inches
Row 24,5,5 inches
Row 25,5,5 inches
Row 26,15,15 inches
Row 27,15,15 inches
Row 28,11,15 inches
Row 29,6,10 inches
Row 30,14,15 inches
Row 31,10,10 inches
Row 32,9,10 inches
Row 33,7,10 inches
Row 34,13,15 inches
Row 35,11,15 inches
Row 36,5,5 inches
Row 37,6,10 inches
Row 38,15,15 inches
Row 39,15,15 inches
Row 40,9,10 inches
Row 41,5,5 inches
Row 42,12,15 inches
Row 43,12,15 inches
Row 44,5,5 inches
Row 45,12,15 inches
Row 46,14,15 inches
Row 47,8,10 inches
Row 48,11,15 inches
Row 49,15,15 inches
Row 50,13,15 inches
Row 51,11,15 inches
Row 52,6,10 inches
Row 53,9,10 inches
Row 54,11,15 inches
Row 55,14,15 inches
Row 56,8,10 inches
Row 57,13,15 inches
Row 58,10,10 inches
Row 59,8,10 inches
Row 60,13,15 inches
Row 61,10,10 inches
Row 62,11,15 inches
Row 63,15,15 inches
Row 64,14,15 inches
Row 65,9,10 inches
Row 66,14,15 inches
Row 67,8,10 inches
Row 68,9,10 inches
Row 69,10,10 inches
Row 70,14,15 inches
Row 71,6,10 inches
Row 72,7,10 inches
Row 73,12,15 inches
Row 74,12,15 inches
Row 75,6,10 inches
Row 76,6,10 inches
Row 77,14,15 inches
Row 78,7,10 inches
Row 79,12,15 inches
Row 80,12,15 inches
Row 81,8,10 inches
Row 82,8,10 inches
Row 83,14,15 inches
Row 84,8,10 inches
Row 85,5,5 inches
Row 86,8,10 inches
Row 87,5,5 inches
Row 88,7,10 inches
Row 89,8,10 inches
Row 90,6,10 inches
Row 91,12,15 inches
Row 92,14,15 inches
Row 93,15,15 inches
Row 94,6,10 inches
Row 95,8,10 inches
Row 96,6,10 inches
Row 97,12,15 inches
Row 98,5,5 inches
Row 99,7,10 inches
Row 100,8,10 inches
Row 101,7,10 inches
Row 102,14,15 inches
Row 103,6,10 inches
Row 104,5,5 inches
Row 105,14,15 inches
Row 106,6,10 inches
Row 107,5,5 inches
Row 108,9,10 inches
Row 109,10,10 inches
Row 110,15,15 inches
Row 111,15,15 inches
Row 112,5,5 inches
Row 113,12,15 inches
Row 114,12,15 inches
Row 115,15,15 inches
Row 116,12,15 inches
Row 117,12,15 inches
Row 118,8,10 inches
Row 119,14,15 inches
Row 120,11,15 inches
Row 121,6,10 inches
