Row,Number of Houses,Pipe Size
Row 1,13,15 inches
Row 2,11,15 inches
Row 3,14,15 inches
Row 4,11,15 inches
Row 5,12,15 inches
Row 6,7,10 inches
Row 7,11,15 inches
Row 8,5,5 inches
Row 9,10,10 inches
Row 10,15,15 inches
Row 11,10,10 inches
Row 12,14,15 inches
Row 13,6,10 inches
Row 14,5,5 inches
Row 15,8,10 inches
Row 16,6,10 inches
Row 17,5,5 inches
Row 18,14,15 inches
Row 19,11,15 inches
Row 20,8,10 inches
Row 21,13,15 inches
Row 22,6,10 inches
Row 23,15,15 inches
Row 24,9,10 inches
Row 25,11,15 inches
Row 26,5,5 inches
Row 27,12,15 inches
Row 28,11,15 inches
Row 29,12,15 inches
Row 30,11,15 inches
Row 31,11,15 inches
Row 32,15,15 inches
Row 33,11,15 inches
Row 34,10,10 inches
Row 35,7,10 inches
Row 36,7,10 inches
Row 37,11,15 inches
Row 38,5,5 inches
Row 39,12,15 inches
Row 40,9,10 inches
Row 41,5,5 inches
Row 42,8,10 inches
Row 43,10,10 inches
Row 44,10,10 inches
Row 45,11,15 inches
Row 46,7,10 inches
Row 47,7,10 inches
Row 48,5,5 inches
Row 49,13,15 inches
Row 50,6,10 inches
Row 51,6,10 inches
Row 52,10,10 inches
Row 53,15,15 inches
Row 54,7,10 inches
Row 55,13,15 inches
Row 56,5,5 inches
Row 57,14,15 inches
Row 58,15,15 inches
Row 59,13,15 inches
Row 60,9,10 inches
Row 61,10,10 inches
Row 62,12,15 inches
Row 63,13,15 inches
Row 64,14,15 inches
Row 65,10,10 inches
Row 66,13,15 inches
Row 67,7,10 inches
Row 68,5,5 inches
Row 69,5,5 inches
Row 70,6,10 inches
Row 71,14,15 inches
Row 72,9,10 inches
Row 73,6,10 inches
Row 74,5,5 inches
Row 75,12,15 inches
Row 76,13,15 inches
Row 77,8,10 inches
Row 78,5,5 inches
Row 79,9,10 inches
Row 80,12,15 inches
Row 81,9,10 inches
Row 82,9,10 inches
Row 83,15,15 inches
Row 84,8,10 inches
Row 85,10,10 inches
Row 86,15,15 inches
Row 87,8,10 inches
Row 88,13,15 inches
Row 89,11,15 inches
Row 90,12,15 inches
Row 91,11,15 inches
Row 92,8,10 inches
Row 93,10,10 inches
Row 94,13,15 inches
Row 95,12,15 inches
Row 96,11,15 inches
Row 97,8,10 inches
Row 98,8,10 inches
Row 99,15,15 inches
Row 100,9,10 inches
Row 101,12,15 inches
Row 102,8,10 inches
Row 103,11,15 inches
Row 104,15,15 inches
Row 105,15,15 inches
Row 106,6,10 inches
Row 107,9,10 inches
Row 108,8,10 inches
Row 109,13,15 inches
Row 110,13,15 inches
Row 111,6,10 inches
Row 112,8,10 inches
Row 113,8,10 inches
Row 114,15,15 inches
Row 115,9,10 inches
Row 116,11,15 inches
Row 117,10,10 inches
Row 118,8,10 inches
Row 119,15,15 inches
Row 120,7,10 inches
Row 121,13,15 inches
Row 122,8,10 inches
Row 123,15,15 inches
Row 124,11,15 inches
Row 125,5,5 inches
Row 126,12,15 inches
Row 127,6,10 inches
Row 128,10,10 inches
Row 129,10,10 inches
Row 130,15,15 inches
Row 131,8,10 inches
Row 132,13,15 inches
Row 133,6,10 inches
Row 134,8,10 inches
Row 135,7,10 inches
Row 136,12,15 inches
Row 137,7,10 inches
Row 138,15,15 inches
Row 139,11,15 inches
Row 140,15,15 inches
Row 141,13,15 inches
Row 142,9,10 inches
Row 143,8,10 inches
Row 144,9,10 inches
Row 145,15,15 inches
Row 146,11,15 inches
