Row,Number of Houses,Pipe Size
Row 1,5,5 inches
Row 2,15,15 inches
Row 3,12,15 inches
Row 4,8,10 inches
Row 5,15,15 inches
Row 6,7,10 inches
Row 7,11,15 inches
Row 8,13,15 inches
Row 9,9,10 inches
Row 10,15,15 inches
Row 11,14,15 inches
Row 12,10,10 inches
Row 13,12,15 inches
Row 14,14,15 inches
Row 15,12,15 inches
Row 16,15,15 inches
Row 17,11,15 inches
Row 18,13,15 inches
Row 19,5,5 inches
Row 20,8,10 inches
Row 21,12,15 inches
Row 22,6,10 inches
Row 23,12,15 inches
Row 24,14,15 inches
Row 25,11,15 inches
Row 26,5,5 inches
Row 27,9,10 inches
Row 28,13,15 inches
Row 29,11,15 inches
Row 30,8,10 inches
Row 31,9,10 inches
Row 32,14,15 inches
Row 33,14,15 inches
Row 34,5,5 inches
Row 35,14,15 inches
Row 36,15,15 inches
Row 37,11,15 inches
Row 38,15,15 inches
Row 39,9,10 inches
Row 40,6,10 inches
Row 41,11,15 inches
Row 42,12,15 inches
Row 43,8,10 inches
Row 44,10,10 inches
Row 45,12,15 inches
Row 46,13,15 inches
Row 47,13,15 inches
Row 48,5,5 inches
Row 49,13,15 inches
Row 50,8,10 inches
Row 51,5,5 inches
Row 52,10,10 inches
Row 53,12,15 inches
Row 54,9,10 inches
Row 55,8,10 inches
Row 56,11,15 inches
Row 57,5,5 inches
Row 58,7,10 inches
Row 59,9,10 inches
Row 60,5,5 inches
Row 61,11,15 inches
Row 62,11,15 inches
Row 63,14,15 inches
Row 64,6,10 inches
Row 65,10,10 inches
Row 66,11,15 inches
Row 67,11,15 inches
Row 68,10,10 inches
Row 69,11,15 inches
Row 70,14,15 inches
Row 71,6,10 inches
Row 72,10,10 inches
Row 73,6,10 inches
Row 74,12,15 inches
Row 75,7,10 inches
Row 76,14,15 inches
Row 77,14,15 inches
Row 78,12,15 inches
Row 79,9,10 inches
Row 80,14,15 inches
Row 81,10,10 inches
Row 82,11,15 inches
Row 83,7,10 inches
Row 84,6,10 inches
Row 85,13,15 inches
Row 86,7,10 inches
Row 87,10,10 inches
Row 88,10,10 inches
Row 89,12,15 inches
Row 90,15,15 inches
Row 91,6,10 inches
Row 92,14,15 inches
Row 93,6,10 inches
Row 94,6,10 inches
Row 95,13,15 inches
Row 96,15,15 inches
Row 97,10,10 inches
Row 98,8,10 inches
Row 99,7,10 inches
Row 100,11,15 inches
Row 101,9,10 inches
Row 102,13,15 inches
Row 103,8,10 inches
Row 104,7,10 inches
Row 105,8,10 inches
Row 106,15,15 inches
Row 107,9,10 inches
Row 108,15,15 inches
Row 109,10,10 inches
Row 110,12,15 inches
Row 111,15,15 inches
Row 112,15,15 inches
Row 113,13,15 inches
Row 114,9,10 inches
Row 115,12,15 inches
Row 116,13,15 inches
Row 117,11,15 inches
Row 118,8,10 inches
Row 119,14,15 inches
Row 120,5,5 inches
Row 121,12,15 inches
Row 122,10,10 inches
Row 123,6,10 inches
Row 124,14,15 inches
Row 125,11,15 inches
Row 126,13,15 inches
Row 127,10,10 inches
Row 128,10,10 inches
Row 129,7,10 inches
Row 130,12,15 inches
Row 131,9,10 inches
Row 132,10,10 inches
Row 133,7,10 inches
Row 134,5,5 inches
Row 135,11,15 inches
Row 136,5,5 inches
Row 137,7,10 inches
Row 138,13,15 inches
Row 139,14,15 inches
Row 140,9,10 inches
Row 141,14,15 inches
Row 142,12,15 inches
Row 143,5,5 inches
Row 144,9,10 inches
Row 145,10,10 inches
Row 146,15,15 inches
Row 147,13,15 inches
Row 148,7,10 inches
Row 149,8,10 inches
Row 150,6,10 inches
Row 151,12,15 inches
Row 152,15,15 inches
Row 153,5,5 inches
Row 154,5,5 inches
Row 155,6,10 inches
Row 156,11,15 inches
Row 157,10,10 inches
Row 158,15,15 inches
Row 159,7,10 inches
Row 160,7,10 inches
Row 161,7,10 inches
Row 162,5,5 inches
Row 163,5,5 inches
Row 164,7,10 inches
Row 165,15,15 inches
Row 166,12,15 inches
Row 167,7,10 inches
Row 168,7,10 inches
Row 169,7,10 inches
Row 170,10,10 inches
Row 171,10,10 inches
Row 172,14,15 inches
Row 173,10,10 inches
Row 174,13,15 inches
Row 175,8,10 inches
Row 176,7,10 inches
Row 177,13,15 inches
Row 178,6,10 inches
Row 179,15,15 inches
Row 180,8,10 inches
Row 181,9,10 inches
Row 182,14,15 inches
Row 183,14,15 inches
Row 184,6,10 inches
Row 185,15,15 inches
Row 186,14,15 inches
Row 187,9,10 inches
Row 188,12,15 inches
Row 189,13,15 inches
Row 190,13,15 inches
Row 191,12,15 inches
Row 192,15,15 inches
Row 193,8,10 inches
Row 194,6,10 inches
Row 195,8,10 inches
Row 196,9,10 inches
Row 197,15,15 inches
Row 198,15,15 inches
