Row,Number of Houses,Pipe Size
Row 1,5,5 inches
Row 2,8,10 inches
Row 3,10,10 inches
Row 4,9,10 inches
Row 5,9,10 inches
Row 6,5,5 inches
Row 7,5,5 inches
Row 8,6,10 inches
Row 9,7,10 inches
Row 10,11,15 inches
Row 11,5,5 inches
Row 12,5,5 inches
Row 13,14,15 inches
Row 14,12,15 inches
Row 15,5,5 inches
Row 16,12,15 inches
Row 17,8,10 inches
Row 18,14,15 inches
Row 19,7,10 inches
Row 20,12,15 inches
Row 21,13,15 inches
Row 22,5,5 inches
Row 23,10,10 inches
Row 24,12,15 inches
Row 25,13,15 inches
Row 26,6,10 inches
Row 27,9,10 inches
Row 28,8,10 inches
Row 29,12,15 inches
Row 30,5,5 inches
Row 31,7,10 inches
Row 32,14,15 inches
Row 33,10,10 inches
Row 34,9,10 inches
Row 35,9,10 inches
Row 36,15,15 inches
Row 37,13,15 inches
Row 38,5,5 inches
Row 39,6,10 inches
Row 40,11,15 inches
Row 41,11,15 inches
Row 42,9,10 inches
Row 43,12,15 inches
Row 44,11,15 inches
Row 45,11,15 inches
Row 46,13,15 inches
Row 47,15,15 inches
Row 48,12,15 inches
Row 49,7,10 inches
Row 50,15,15 inches
Row 51,9,10 inches
Row 52,8,10 inches
Row 53,11,15 inches
Row 54,7,10 inches
Row 55,10,10 inches
Row 56,11,15 inches
Row 57,5,5 inches
Row 58,14,15 inches
Row 59,9,10 inches
Row 60,7,10 inches
Row 61,9,10 inches
Row 62,12,15 inches
Row 63,12,15 inches
Row 64,14,15 inches
Row 65,9,10 inches
Row 66,13,15 inches
Row 67,6,10 inches
Row 68,8,10 inches
Row 69,10,10 inches
Row 70,14,15 inches
Row 71,11,15 inches
Row 72,5,5 inches
Row 73,12,15 inches
Row 74,15,15 inches
Row 75,6,10 inches
Row 76,12,15 inches
Row 77,13,15 inches
Row 78,12,15 inches
Row 79,5,5 inches
Row 80,6,10 inches
Row 81,7,10 inches
Row 82,5,5 inches
Row 83,11,15 inches
Row 84,11,15 inches
Row 85,5,5 inches
Row 86,6,10 inches
Row 87,5,5 inches
Row 88,8,10 inches
Row 89,10,10 inches
Row 90,14,15 inches
Row 91,7,10 inches
Row 92,13,15 inches
Row 93,13,15 inches
Row 94,15,15 inches
Row 95,9,10 inches
Row 96,7,10 inches
Row 97,12,15 inches
Row 98,5,5 inches
Row 99,14,15 inches
Row 100,15,15 inches
Row 101,11,15 inches
Row 102,12,15 inches
Row 103,8,10 inches
Row 104,10,10 inches
Row 105,12,15 inches
Row 106,10,10 inches
Row 107,10,10 inches
Row 108,11,15 inches
Row 109,6,10 inches
Row 110,8,10 inches
Row 111,14,15 inches
Row 112,5,5 inches
Row 113,6,10 inches
Row 114,13,15 inches
Row 115,13,15 inches
Row 116,14,15 inches
Row 117,13,15 inches
Row 118,14,15 inches
Row 119,6,10 inches
Row 120,12,15 inches
Row 121,5,5 inches
Row 122,12,15 inches
Row 123,9,10 inches
Row 124,9,10 inches
Row 125,14,15 inches
Row 126,8,10 inches
Row 127,7,10 inches
Row 128,9,10 inches
Row 129,6,10 inches
Row 130,6,10 inches
Row 131,7,10 inches
Row 132,5,5 inches
Row 133,5,5 inches
Row 134,13,15 inches
Row 135,11,15 inches
Row 136,13,15 inches
Row 137,12,15 inches
Row 138,9,10 inches
Row 139,15,15 inches
Row 140,5,5 inches
Row 141,14,15 inches
Row 142,9,10 inches
Row 143,9,10 inches
Row 144,9,10 inches
Row 145,15,15 inches
Row 146,6,10 inches
Row 147,10,10 inches
Row 148,14,15 inches
Row 149,9,10 inches
Row 150,5,5 inches
Row 151,8,10 inches
Row 152,15,15 inches
Row 153,14,15 inches
Row 154,13,15 inches
Row 155,12,15 inches
Row 156,6,10 inches
Row 157,15,15 inches
Row 158,13,15 inches
Row 159,8,10 inches
Row 160,12,15 inches
Row 161,8,10 inches
Row 162,10,10 inches
Row 163,15,15 inches
Row 164,8,10 inches
Row 165,6,10 inches
Row 166,11,15 inches
Row 167,9,10 inches
Row 168,12,15 inches
Row 169,14,15 inches
Row 170,5,5 inches
Row 171,10,10 inches
Row 172,11,15 inches
Row 173,9,10 inches
Row 174,7,10 inches
Row 175,8,10 inches
Row 176,6,10 inches
Row 177,14,15 inches
Row 178,11,15 inches
Row 179,7,10 inches
Row 180,12,15 inches
Row 181,11,15 inches
Row 182,9,10 inches
Row 183,7,10 inches
Row 184,14,15 inches
Row 185,10,10 inches
Row 186,10,10 inches
Row 187,13,15 inches
Row 188,8,10 inches
Row 189,15,15 inches
Row 190,5,5 inches
Row 191,14,15 inches
