Row,Number of Houses,Pipe Size
Row 1,14,15 inches
Row 2,12,15 inches
Row 3,15,15 inches
Row 4,14,15 inches
Row 5,13,15 inches
Row 6,5,5 inches
Row 7,15,15 inches
Row 8,12,15 inches
Row 9,8,10 inches
Row 10,14,15 inches
Row 11,5,5 inches
Row 12,7,10 inches
Row 13,10,10 inches
Row 14,14,15 inches
Row 15,6,10 inches
Row 16,7,10 inches
Row 17,12,15 inches
Row 18,10,10 inches
Row 19,5,5 inches
Row 20,13,15 inches
Row 21,13,15 inches
Row 22,7,10 inches
Row 23,10,10 inches
Row 24,8,10 inches
Row 25,15,15 inches
Row 26,12,15 inches
Row 27,12,15 inches
Row 28,15,15 inches
Row 29,8,10 inches
Row 30,15,15 inches
Row 31,12,15 inches
Row 32,11,15 inches
Row 33,15,15 inches
Row 34,10,10 inches
Row 35,6,10 inches
Row 36,12,15 inches
Row 37,8,10 inches
Row 38,8,10 inches
Row 39,11,15 inches
Row 40,7,10 inches
Row 41,5,5 inches
Row 42,12,15 inches
Row 43,11,15 inches
Row 44,14,15 inches
Row 45,6,10 inches
Row 46,11,15 inches
Row 47,10,10 inches
Row 48,10,10 inches
Row 49,10,10 inches
Row 50,14,15 inches
Row 51,6,10 inches
Row 52,14,15 inches
Row 53,15,15 inches
Row 54,12,15 inches
Row 55,11,15 inches
Row 56,10,10 inches
Row 57,11,15 inches
Row 58,15,15 inches
Row 59,7,10 inches
Row 60,5,5 inches
Row 61,10,10 inches
Row 62,8,10 inches
Row 63,10,10 inches
Row 64,8,10 inches
Row 65,12,15 inches
Row 66,9,10 inches
Row 67,6,10 inches
Row 68,11,15 inches
Row 69,10,10 inches
Row 70,10,10 inches
Row 71,8,10 inches
Row 72,13,15 inches
Row 73,13,15 inches
Row 74,14,15 inches
Row 75,6,10 inches
Row 76,13,15 inches
Row 77,14,15 inches
Row 78,9,10 inches
Row 79,7,10 inches
Row 80,6,10 inches
Row 81,13,15 inches
Row 82,5,5 inches
Row 83,10,10 inches
Row 84,7,10 inches
Row 85,13,15 inches
Row 86,11,15 inches
Row 87,9,10 inches
Row 88,6,10 inches
Row 89,8,10 inches
Row 90,6,10 inches
Row 91,11,15 inches
Row 92,10,10 inches
Row 93,13,15 inches
Row 94,6,10 inches
Row 95,9,10 inches
Row 96,6,10 inches
Row 97,11,15 inches
Row 98,8,10 inches
Row 99,6,10 inches
Row 100,5,5 inches
Row 101,15,15 inches
Row 102,10,10 inches
Row 103,11,15 inches
Row 104,14,15 inches
Row 105,7,10 inches
Row 106,15,15 inches
Row 107,5,5 inches
Row 108,9,10 inches
Row 109,6,10 inches
Row 110,6,10 inches
Row 111,5,5 inches
Row 112,15,15 inches
Row 113,15,15 inches
Row 114,9,10 inches
Row 115,8,10 inches
Row 116,12,15 inches
Row 117,11,15 inches
Row 118,15,15 inches
Row 119,13,15 inches
