Row,Number of Houses,Pipe Size
Row 1,12,15 inches
Row 2,10,10 inches
Row 3,7,10 inches
Row 4,6,10 inches
Row 5,12,15 inches
Row 6,11,15 inches
Row 7,6,10 inches
Row 8,11,15 inches
Row 9,6,10 inches
Row 10,6,10 inches
Row 11,12,15 inches
Row 12,7,10 inches
Row 13,15,15 inches
Row 14,15,15 inches
Row 15,14,15 inches
Row 16,15,15 inches
Row 17,13,15 inches
Row 18,12,15 inches
Row 19,9,10 inches
Row 20,8,10 inches
Row 21,6,10 inches
Row 22,9,10 inches
Row 23,10,10 inches
Row 24,5,5 inches
Row 25,5,5 inches
Row 26,13,15 inches
Row 27,13,15 inches
Row 28,6,10 inches
Row 29,14,15 inches
Row 30,5,5 inches
Row 31,11,15 inches
Row 32,8,10 inches
Row 33,9,10 inches
Row 34,12,15 inches
Row 35,15,15 inches
Row 36,6,10 inches
Row 37,7,10 inches
Row 38,10,10 inches
Row 39,14,15 inches
Row 40,8,10 inches
Row 41,10,10 inches
Row 42,9,10 inches
Row 43,5,5 inches
Row 44,9,10 inches
Row 45,14,15 inches
Row 46,12,15 inches
Row 47,8,10 inches
Row 48,10,10 inches
Row 49,12,15 inches
Row 50,10,10 inches
Row 51,15,15 inches
Row 52,14,15 inches
Row 53,12,15 inches
Row 54,14,15 inches
Row 55,15,15 inches
Row 56,10,10 inches
Row 57,14,15 inches
Row 58,14,15 inches
Row 59,12,15 inches
Row 60,8,10 inches
Row 61,8,10 inches
Row 62,12,15 inches
Row 63,9,10 inches
Row 64,9,10 inches
Row 65,10,10 inches
Row 66,8,10 inches
Row 67,10,10 inches
Row 68,10,10 inches
Row 69,9,10 inches
Row 70,8,10 inches
Row 71,10,10 inches
Row 72,13,15 inches
Row 73,7,10 inches
Row 74,5,5 inches
Row 75,7,10 inches
Row 76,15,15 inches
Row 77,6,10 inches
Row 78,15,15 inches
Row 79,5,5 inches
Row 80,14,15 inches
Row 81,6,10 inches
Row 82,9,10 inches
Row 83,11,15 inches
Row 84,13,15 inches
Row 85,11,15 inches
Row 86,15,15 inches
Row 87,6,10 inches
Row 88,13,15 inches
Row 89,11,15 inches
Row 90,15,15 inches
Row 91,15,15 inches
Row 92,5,5 inches
Row 93,12,15 inches
Row 94,6,10 inches
Row 95,8,10 inches
Row 96,7,10 inches
Row 97,12,15 inches
Row 98,6,10 inches
Row 99,13,15 inches
Row 100,11,15 inches
Row 101,7,10 inches
Row 102,7,10 inches
Row 103,8,10 inches
Row 104,10,10 inches
Row 105,6,10 inches
Row 106,15,15 inches
Row 107,10,10 inches
Row 108,5,5 inches
Row 109,15,15 inches
Row 110,8,10 inches
Row 111,6,10 inches
Row 112,13,15 inches
Row 113,13,15 inches
Row 114,13,15 inches
Row 115,11,15 inches
Row 116,7,10 inches
Row 117,14,15 inches
Row 118,14,15 inches
Row 119,5,5 inches
Row 120,12,15 inches
Row 121,11,15 inches
Row 122,15,15 inches
Row 123,11,15 inches
Row 124,14,15 inches
Row 125,14,15 inches
Row 126,10,10 inches
Row 127,12,15 inches
Row 128,14,15 inches
Row 129,5,5 inches
Row 130,14,15 inches
Row 131,7,10 inches
Row 132,12,15 inches
Row 133,9,10 inches
Row 134,13,15 inches
Row 135,5,5 inches
Row 136,6,10 inches
Row 137,13,15 inches
Row 138,7,10 inches
Row 139,11,15 inches
Row 140,11,15 inches
