Row,Number of Houses,Pipe Size
Row 1,7,10 inches
Row 2,8,10 inches
Row 3,5,5 inches
Row 4,6,10 inches
Row 5,7,10 inches
Row 6,15,15 inches
Row 7,9,10 inches
Row 8,8,10 inches
Row 9,9,10 inches
Row 10,10,10 inches
Row 11,11,15 inches
Row 12,12,15 inches
Row 13,6,10 inches
Row 14,12,15 inches
Row 15,7,10 inches
Row 16,15,15 inches
Row 17,10,10 inches
Row 18,11,15 inches
Row 19,7,10 inches
Row 20,14,15 inches
Row 21,12,15 inches
Row 22,7,10 inches
Row 23,7,10 inches
Row 24,15,15 inches
Row 25,5,5 inches
Row 26,13,15 inches
Row 27,5,5 inches
Row 28,14,15 inches
Row 29,9,10 inches
Row 30,13,15 inches
Row 31,14,15 inches
Row 32,15,15 inches
Row 33,13,15 inches
Row 34,14,15 inches
Row 35,10,10 inches
Row 36,9,10 inches
Row 37,7,10 inches
Row 38,14,15 inches
Row 39,9,10 inches
Row 40,5,5 inches
Row 41,12,15 inches
Row 42,13,15 inches
Row 43,11,15 inches
Row 44,6,10 inches
Row 45,5,5 inches
Row 46,9,10 inches
Row 47,14,15 inches
Row 48,12,15 inches
Row 49,12,15 inches
Row 50,8,10 inches
Row 51,10,10 inches
Row 52,12,15 inches
Row 53,13,15 inches
Row 54,6,10 inches
Row 55,12,15 inches
Row 56,6,10 inches
Row 57,13,15 inches
Row 58,14,15 inches
Row 59,11,15 inches
Row 60,6,10 inches
Row 61,9,10 inches
Row 62,15,15 inches
Row 63,8,10 inches
Row 64,11,15 inches
Row 65,6,10 inches
Row 66,15,15 inches
Row 67,8,10 inches
Row 68,15,15 inches
Row 69,11,15 inches
Row 70,14,15 inches
Row 71,8,10 inches
Row 72,10,10 inches
Row 73,11,15 inches
Row 74,14,15 inches
Row 75,5,5 inches
Row 76,13,15 inches
Row 77,10,10 inches
Row 78,10,10 inches
Row 79,5,5 inches
Row 80,9,10 inches
Row 81,11,15 inches
Row 82,7,10 inches
Row 83,8,10 inches
Row 84,6,10 inches
Row 85,10,10 inches
Row 86,14,15 inches
Row 87,11,15 inches
Row 88,12,15 inches
Row 89,10,10 inches
Row 90,14,15 inches
Row 91,12,15 inches
Row 92,11,15 inches
Row 93,7,10 inches
Row 94,5,5 inches
Row 95,13,15 inches
Row 96,10,10 inches
Row 97,15,15 inches
Row 98,7,10 inches
Row 99,12,15 inches
Row 100,5,5 inches
Row 101,6,10 inches
Row 102,5,5 inches
Row 103,6,10 inches
Row 104,11,15 inches
Row 105,7,10 inches
Row 106,11,15 inches
Row 107,10,10 inches
Row 108,10,10 inches
Row 109,12,15 inches
Row 110,8,10 inches
Row 111,14,15 inches
Row 112,11,15 inches
Row 113,7,10 inches
Row 114,8,10 inches
Row 115,15,15 inches
Row 116,10,10 inches
Row 117,6,10 inches
