Row,Number of Houses,Pipe Size
Row 1,10,10 inches
Row 2,11,15 inches
Row 3,12,15 inches
Row 4,5,5 inches
Row 5,10,10 inches
Row 6,12,15 inches
Row 7,9,10 inches
Row 8,12,15 inches
Row 9,15,15 inches
Row 10,9,10 inches
Row 11,7,10 inches
Row 12,11,15 inches
Row 13,11,15 inches
Row 14,14,15 inches
Row 15,13,15 inches
Row 16,9,10 inches
Row 17,10,10 inches
Row 18,7,10 inches
Row 19,9,10 inches
Row 20,6,10 inches
Row 21,12,15 inches
Row 22,8,10 inches
Row 23,13,15 inches
Row 24,15,15 inches
Row 25,7,10 inches
Row 26,11,15 inches
Row 27,7,10 inches
Row 28,15,15 inches
Row 29,15,15 inches
Row 30,11,15 inches
Row 31,12,15 inches
Row 32,15,15 inches
Row 33,11,15 inches
Row 34,12,15 inches
Row 35,13,15 inches
Row 36,11,15 inches
Row 37,10,10 inches
Row 38,14,15 inches
Row 39,14,15 inches
Row 40,15,15 inches
Row 41,6,10 inches
Row 42,7,10 inches
Row 43,13,15 inches
Row 44,15,15 inches
Row 45,9,10 inches
Row 46,14,15 inches
Row 47,9,10 inches
Row 48,11,15 inches
Row 49,5,5 inches
Row 50,13,15 inches
Row 51,12,15 inches
Row 52,14,15 inches
Row 53,9,10 inches
Row 54,6,10 inches
Row 55,11,15 inches
Row 56,8,10 inches
Row 57,14,15 inches
Row 58,6,10 inches
Row 59,9,10 inches
Row 60,11,15 inches
Row 61,10,10 inches
Row 62,12,15 inches
Row 63,11,15 inches
Row 64,12,15 inches
Row 65,11,15 inches
Row 66,9,10 inches
Row 67,12,15 inches
Row 68,7,10 inches
Row 69,7,10 inches
Row 70,10,10 inches
Row 71,15,15 inches
Row 72,7,10 inches
Row 73,14,15 inches
Row 74,11,15 inches
Row 75,12,15 inches
Row 76,12,15 inches
Row 77,9,10 inches
Row 78,9,10 inches
Row 79,6,10 inches
Row 80,11,15 inches
Row 81,11,15 inches
Row 82,14,15 inches
Row 83,15,15 inches
Row 84,9,10 inches
Row 85,12,15 inches
Row 86,12,15 inches
Row 87,5,5 inches
Row 88,12,15 inches
Row 89,5,5 inches
Row 90,12,15 inches
Row 91,13,15 inches
Row 92,14,15 inches
Row 93,15,15 inches
Row 94,9,10 inches
Row 95,14,15 inches
Row 96,12,15 inches
Row 97,5,5 inches
Row 98,8,10 inches
Row 99,15,15 inches
Row 100,8,10 inches
Row 101,14,15 inches
Row 102,11,15 inches
Row 103,12,15 inches
Row 104,11,15 inches
Row 105,5,5 inches
Row 106,11,15 inches
Row 107,12,15 inches
Row 108,7,10 inches
Row 109,9,10 inches
Row 110,10,10 inches
Row 111,7,10 inches
Row 112,11,15 inches
Row 113,8,10 inches
Row 114,12,15 inches
Row 115,15,15 inches
Row 116,9,10 inches
Row 117,10,10 inches
Row 118,9,10 inches
Row 119,9,10 inches
Row 120,11,15 inches
Row 121,5,5 inches
Row 122,5,5 inches
Row 123,7,10 inches
Row 124,12,15 inches
Row 125,12,15 inches
Row 126,15,15 inches
Row 127,12,15 inches
Row 128,14,15 inches
Row 129,8,10 inches
Row 130,5,5 inches
Row 131,7,10 inches
Row 132,14,15 inches
Row 133,5,5 inches
Row 134,5,5 inches
Row 135,7,10 inches
Row 136,8,10 inches
Row 137,6,10 inches
Row 138,13,15 inches
Row 139,13,15 inches
Row 140,13,15 inches
Row 141,9,10 inches
Row 142,11,15 inches
Row 143,13,15 inches
Row 144,14,15 inches
Row 145,9,10 inches
Row 146,8,10 inches
Row 147,9,10 inches
Row 148,8,10 inches
Row 149,6,10 inches
