Row,Number of Houses,Pipe Size,pipe_size
Row 1,11,15 inches,15 inches
Row 2,15,15 inches,15 inches
Row 3,10,10 inches,15 inches
Row 4,6,10 inches,15 inches
Row 5,5,5 inches,15 inches
Row 6,13,15 inches,15 inches
Row 7,9,10 inches,15 inches
Row 8,8,10 inches,15 inches
Row 9,7,10 inches,15 inches
Row 10,12,15 inches,15 inches
Row 11,12,15 inches,15 inches
Row 12,14,15 inches,15 inches
Row 13,15,15 inches,15 inches
Row 14,9,10 inches,15 inches
Row 15,11,15 inches,15 inches
Row 16,14,15 inches,15 inches
Row 17,15,15 inches,15 inches
Row 18,9,10 inches,15 inches
Row 19,13,15 inches,15 inches
Row 20,8,10 inches,15 inches
Row 21,12,15 inches,15 inches
Row 22,15,15 inches,15 inches
Row 23,14,15 inches,15 inches
Row 24,7,10 inches,15 inches
Row 25,6,10 inches,15 inches
Row 26,14,15 inches,15 inches
Row 27,15,15 inches,15 inches
Row 28,12,15 inches,15 inches
Row 29,7,10 inches,15 inches
Row 30,6,10 inches,15 inches
Row 31,10,10 inches,15 inches
Row 32,11,15 inches,15 inches
Row 33,10,10 inches,15 inches
Row 34,9,10 inches,15 inches
Row 35,14,15 inches,15 inches
Row 36,15,15 inches,15 inches
Row 37,13,15 inches,15 inches
Row 38,14,15 inches,15 inches
Row 39,9,10 inches,15 inches
Row 40,13,15 inches,15 inches
Row 41,6,10 inches,15 inches
Row 42,7,10 inches,15 inches
Row 43,6,10 inches,15 inches
Row 44,10,10 inches,15 inches
Row 45,11,15 inches,15 inches
Row 46,15,15 inches,15 inches
Row 47,9,10 inches,15 inches
Row 48,8,10 inches,15 inches
Row 49,10,10 inches,15 inches
Row 50,8,10 inches,15 inches
Row 51,15,15 inches,15 inches
Row 52,7,10 inches,15 inches
Row 53,10,10 inches,15 inches
Row 54,8,10 inches,15 inches
Row 55,10,10 inches,15 inches
Row 56,14,15 inches,15 inches
Row 57,15,15 inches,15 inches
Row 58,15,15 inches,15 inches
Row 59,14,15 inches,15 inches
Row 60,6,10 inches,15 inches
Row 61,6,10 inches,15 inches
Row 62,10,10 inches,15 inches
Row 63,15,15 inches,15 inches
Row 64,12,15 inches,15 inches
Row 65,5,5 inches,15 inches
Row 66,15,15 inches,15 inches
Row 67,15,15 inches,15 inches
Row 68,10,10 inches,15 inches
Row 69,7,10 inches,15 inches
Row 70,13,15 inches,15 inches
Row 71,6,10 inches,15 inches
Row 72,13,15 inches,15 inches
Row 73,9,10 inches,15 inches
Row 74,15,15 inches,15 inches
Row 75,7,10 inches,15 inches
Row 76,8,10 inches,15 inches
Row 77,8,10 inches,15 inches
Row 78,9,10 inches,15 inches
Row 79,8,10 inches,15 inches
Row 80,13,15 inches,15 inches
Row 81,11,15 inches,15 inches
Row 82,13,15 inches,15 inches
Row 83,7,10 inches,15 inches
Row 84,11,15 inches,15 inches
Row 85,12,15 inches,15 inches
Row 86,12,15 inches,15 inches
Row 87,9,10 inches,15 inches
Row 88,7,10 inches,15 inches
Row 89,8,10 inches,15 inches
Row 90,13,15 inches,15 inches
Row 91,9,10 inches,15 inches
Row 92,6,10 inches,15 inches
Row 93,5,5 inches,15 inches
Row 94,10,10 inches,15 inches
Row 95,6,10 inches,15 inches
Row 96,8,10 inches,15 inches
Row 97,14,15 inches,15 inches
Row 98,9,10 inches,15 inches
Row 99,13,15 inches,15 inches
Row 100,10,10 inches,15 inches
Row 101,5,5 inches,15 inches
Row 102,9,10 inches,15 inches
Row 103,14,15 inches,15 inches
Row 104,14,15 inches,15 inches
Row 105,15,15 inches,15 inches
Row 106,12,15 inches,15 inches
Row 107,12,15 inches,15 inches
Row 108,9,10 inches,15 inches
Row 109,13,15 inches,15 inches
Row 110,6,10 inches,15 inches
Row 111,8,10 inches,15 inches
Row 112,10,10 inches,15 inches
Row 113,7,10 inches,15 inches
Row 114,6,10 inches,15 inches
Row 115,15,15 inches,15 inches
Row 116,14,15 inches,15 inches
Row 117,10,10 inches,15 inches
Row 118,12,15 inches,15 inches
Row 119,13,15 inches,15 inches
Row 120,8,10 inches,15 inches
Row 121,9,10 inches,15 inches
Row 122,7,10 inches,15 inches
Row 123,14,15 inches,15 inches
Row 124,8,10 inches,15 inches
Row 125,5,5 inches,15 inches
Row 126,7,10 inches,15 inches
Row 127,8,10 inches,15 inches
Row 128,6,10 inches,15 inches
Row 129,13,15 inches,15 inches
Row 130,6,10 inches,15 inches
Row 131,11,15 inches,15 inches
Row 132,15,15 inches,15 inches
Row 133,14,15 inches,15 inches
Row 134,5,5 inches,15 inches
Row 135,13,15 inches,15 inches
