Row,Number of Houses,Pipe Size
Row 1,7,10 inches
Row 2,9,10 inches
Row 3,6,10 inches
Row 4,5,5 inches
Row 5,12,15 inches
Row 6,6,10 inches
Row 7,11,15 inches
Row 8,7,10 inches
Row 9,15,15 inches
Row 10,5,5 inches
Row 11,7,10 inches
Row 12,7,10 inches
Row 13,14,15 inches
Row 14,14,15 inches
Row 15,6,10 inches
Row 16,10,10 inches
Row 17,10,10 inches
Row 18,15,15 inches
Row 19,7,10 inches
Row 20,15,15 inches
Row 21,9,10 inches
Row 22,5,5 inches
Row 23,7,10 inches
Row 24,13,15 inches
Row 25,15,15 inches
Row 26,13,15 inches
Row 27,11,15 inches
Row 28,12,15 inches
Row 29,14,15 inches
Row 30,7,10 inches
Row 31,7,10 inches
Row 32,15,15 inches
Row 33,6,10 inches
Row 34,11,15 inches
Row 35,10,10 inches
Row 36,9,10 inches
Row 37,9,10 inches
Row 38,12,15 inches
Row 39,11,15 inches
Row 40,15,15 inches
Row 41,8,10 inches
Row 42,8,10 inches
Row 43,12,15 inches
Row 44,10,10 inches
Row 45,10,10 inches
Row 46,11,15 inches
Row 47,5,5 inches
Row 48,8,10 inches
Row 49,7,10 inches
Row 50,8,10 inches
Row 51,14,15 inches
Row 52,13,15 inches
Row 53,6,10 inches
Row 54,9,10 inches
Row 55,8,10 inches
Row 56,7,10 inches
Row 57,13,15 inches
Row 58,6,10 inches
Row 59,5,5 inches
Row 60,14,15 inches
Row 61,6,10 inches
Row 62,13,15 inches
Row 63,10,10 inches
Row 64,12,15 inches
Row 65,12,15 inches
Row 66,9,10 inches
Row 67,6,10 inches
Row 68,5,5 inches
Row 69,11,15 inches
Row 70,7,10 inches
Row 71,5,5 inches
Row 72,6,10 inches
Row 73,5,5 inches
Row 74,14,15 inches
Row 75,6,10 inches
Row 76,13,15 inches
Row 77,5,5 inches
Row 78,11,15 inches
Row 79,11,15 inches
Row 80,13,15 inches
Row 81,6,10 inches
Row 82,12,15 inches
Row 83,11,15 inches
Row 84,11,15 inches
Row 85,13,15 inches
Row 86,14,15 inches
Row 87,7,10 inches
Row 88,11,15 inches
Row 89,10,10 inches
Row 90,10,10 inches
Row 91,13,15 inches
Row 92,13,15 inches
Row 93,12,15 inches
Row 94,10,10 inches
Row 95,5,5 inches
Row 96,9,10 inches
Row 97,9,10 inches
Row 98,13,15 inches
Row 99,14,15 inches
Row 100,15,15 inches
Row 101,14,15 inches
Row 102,6,10 inches
Row 103,7,10 inches
Row 104,11,15 inches
