Row,Number of Houses,Pipe Size
Row 1,8,10 inches
Row 2,12,15 inches
Row 3,5,5 inches
Row 4,8,10 inches
Row 5,7,10 inches
Row 6,11,15 inches
Row 7,5,5 inches
Row 8,14,15 inches
Row 9,10,10 inches
Row 10,14,15 inches
Row 11,15,15 inches
Row 12,14,15 inches
Row 13,7,10 inches
Row 14,9,10 inches
Row 15,9,10 inches
Row 16,8,10 inches
Row 17,14,15 inches
Row 18,15,15 inches
Row 19,14,15 inches
Row 20,14,15 inches
Row 21,10,10 inches
Row 22,8,10 inches
Row 23,15,15 inches
Row 24,9,10 inches
Row 25,14,15 inches
Row 26,10,10 inches
Row 27,15,15 inches
Row 28,12,15 inches
Row 29,12,15 inches
Row 30,5,5 inches
Row 31,7,10 inches
Row 32,11,15 inches
Row 33,10,10 inches
Row 34,5,5 inches
Row 35,10,10 inches
Row 36,14,15 inches
Row 37,12,15 inches
Row 38,6,10 inches
Row 39,5,5 inches
Row 40,5,5 inches
Row 41,13,15 inches
Row 42,10,10 inches
Row 43,13,15 inches
Row 44,5,5 inches
Row 45,6,10 inches
Row 46,10,10 inches
Row 47,11,15 inches
Row 48,9,10 inches
Row 49,9,10 inches
Row 50,11,15 inches
Row 51,6,10 inches
Row 52,5,5 inches
Row 53,13,15 inches
Row 54,10,10 inches
Row 55,11,15 inches
Row 56,12,15 inches
Row 57,13,15 inches
Row 58,11,15 inches
Row 59,12,15 inches
Row 60,9,10 inches
Row 61,8,10 inches
Row 62,7,10 inches
Row 63,13,15 inches
Row 64,12,15 inches
Row 65,7,10 inches
Row 66,11,15 inches
Row 67,10,10 inches
Row 68,14,15 inches
Row 69,7,10 inches
Row 70,8,10 inches
Row 71,14,15 inches
Row 72,10,10 inches
Row 73,6,10 inches
Row 74,9,10 inches
Row 75,10,10 inches
Row 76,11,15 inches
Row 77,14,15 inches
Row 78,12,15 inches
Row 79,8,10 inches
Row 80,7,10 inches
Row 81,15,15 inches
Row 82,7,10 inches
Row 83,8,10 inches
Row 84,14,15 inches
Row 85,15,15 inches
Row 86,15,15 inches
Row 87,15,15 inches
Row 88,15,15 inches
Row 89,13,15 inches
Row 90,7,10 inches
Row 91,15,15 inches
Row 92,10,10 inches
Row 93,12,15 inches
Row 94,14,15 inches
Row 95,13,15 inches
Row 96,11,15 inches
Row 97,9,10 inches
Row 98,7,10 inches
Row 99,15,15 inches
Row 100,5,5 inches
Row 101,15,15 inches
Row 102,5,5 inches
Row 103,10,10 inches
Row 104,9,10 inches
Row 105,5,5 inches
Row 106,14,15 inches
Row 107,15,15 inches
Row 108,9,10 inches
Row 109,11,15 inches
Row 110,11,15 inches
Row 111,15,15 inches
Row 112,12,15 inches
Row 113,9,10 inches
Row 114,10,10 inches
Row 115,13,15 inches
Row 116,6,10 inches
Row 117,6,10 inches
Row 118,6,10 inches
Row 119,11,15 inches
Row 120,14,15 inches
Row 121,7,10 inches
Row 122,6,10 inches
Row 123,13,15 inches
Row 124,13,15 inches
Row 125,8,10 inches
Row 126,5,5 inches
Row 127,7,10 inches
Row 128,6,10 inches
Row 129,5,5 inches
Row 130,10,10 inches
Row 131,12,15 inches
Row 132,6,10 inches
Row 133,9,10 inches
Row 134,7,10 inches
Row 135,6,10 inches
Row 136,8,10 inches
Row 137,12,15 inches
Row 138,8,10 inches
Row 139,9,10 inches
Row 140,14,15 inches
Row 141,7,10 inches
Row 142,8,10 inches
Row 143,10,10 inches
Row 144,15,15 inches
Row 145,10,10 inches
Row 146,14,15 inches
Row 147,10,10 inches
Row 148,9,10 inches
Row 149,5,5 inches
Row 150,14,15 inches
Row 151,7,10 inches
Row 152,14,15 inches
Row 153,15,15 inches
Row 154,12,15 inches
Row 155,7,10 inches
Row 156,13,15 inches
Row 157,12,15 inches
Row 158,9,10 inches
Row 159,13,15 inches
Row 160,8,10 inches
Row 161,5,5 inches
Row 162,11,15 inches
Row 163,15,15 inches
Row 164,14,15 inches
Row 165,14,15 inches
Row 166,6,10 inches
Row 167,15,15 inches
Row 168,9,10 inches
Row 169,7,10 inches
Row 170,15,15 inches
Row 171,12,15 inches
Row 172,7,10 inches
Row 173,14,15 inches
Row 174,14,15 inches
Row 175,10,10 inches
Row 176,11,15 inches
Row 177,5,5 inches
Row 178,14,15 inches
Row 179,11,15 inches
Row 180,10,10 inches
Row 181,9,10 inches
Row 182,14,15 inches
Row 183,12,15 inches
