Row,Number of Houses,Pipe Size
Row 1,7,10 inches
Row 2,15,15 inches
Row 3,8,10 inches
Row 4,5,5 inches
Row 5,8,10 inches
Row 6,10,10 inches
Row 7,13,15 inches
Row 8,12,15 inches
Row 9,6,10 inches
Row 10,11,15 inches
Row 11,13,15 inches
Row 12,5,5 inches
Row 13,9,10 inches
Row 14,14,15 inches
Row 15,9,10 inches
Row 16,7,10 inches
Row 17,8,10 inches
Row 18,9,10 inches
Row 19,8,10 inches
Row 20,6,10 inches
Row 21,10,10 inches
Row 22,10,10 inches
Row 23,11,15 inches
Row 24,9,10 inches
Row 25,6,10 inches
Row 26,7,10 inches
Row 27,9,10 inches
Row 28,15,15 inches
Row 29,11,15 inches
Row 30,7,10 inches
Row 31,12,15 inches
Row 32,13,15 inches
Row 33,8,10 inches
Row 34,11,15 inches
Row 35,6,10 inches
Row 36,10,10 inches
Row 37,12,15 inches
Row 38,9,10 inches
Row 39,12,15 inches
Row 40,6,10 inches
Row 41,14,15 inches
Row 42,5,5 inches
Row 43,14,15 inches
Row 44,15,15 inches
Row 45,15,15 inches
Row 46,14,15 inches
Row 47,13,15 inches
Row 48,12,15 inches
Row 49,7,10 inches
Row 50,10,10 inches
Row 51,5,5 inches
Row 52,7,10 inches
Row 53,9,10 inches
Row 54,11,15 inches
Row 55,14,15 inches
Row 56,8,10 inches
Row 57,15,15 inches
Row 58,14,15 inches
Row 59,15,15 inches
Row 60,15,15 inches
Row 61,13,15 inches
Row 62,11,15 inches
Row 63,12,15 inches
Row 64,11,15 inches
Row 65,13,15 inches
Row 66,7,10 inches
Row 67,12,15 inches
Row 68,13,15 inches
Row 69,11,15 inches
Row 70,15,15 inches
Row 71,14,15 inches
Row 72,6,10 inches
Row 73,14,15 inches
Row 74,11,15 inches
Row 75,15,15 inches
Row 76,11,15 inches
Row 77,14,15 inches
Row 78,5,5 inches
Row 79,8,10 inches
Row 80,10,10 inches
Row 81,11,15 inches
Row 82,6,10 inches
Row 83,12,15 inches
Row 84,12,15 inches
Row 85,10,10 inches
Row 86,10,10 inches
Row 87,12,15 inches
Row 88,8,10 inches
Row 89,11,15 inches
Row 90,15,15 inches
Row 91,7,10 inches
Row 92,11,15 inches
Row 93,8,10 inches
Row 94,5,5 inches
Row 95,10,10 inches
Row 96,11,15 inches
Row 97,8,10 inches
Row 98,11,15 inches
Row 99,10,10 inches
Row 100,11,15 inches
Row 101,10,10 inches
Row 102,5,5 inches
Row 103,14,15 inches
Row 104,14,15 inches
Row 105,10,10 inches
Row 106,8,10 inches
Row 107,10,10 inches
Row 108,5,5 inches
Row 109,12,15 inches
Row 110,12,15 inches
Row 111,14,15 inches
Row 112,14,15 inches
