Row,Number of Houses,Pipe Size,pipe_size
Row 1,15,15 inches,15 inches
Row 2,7,10 inches,15 inches
Row 3,9,10 inches,15 inches
Row 4,8,10 inches,15 inches
Row 5,8,10 inches,15 inches
Row 6,13,15 inches,15 inches
Row 7,10,10 inches,15 inches
Row 8,9,10 inches,15 inches
Row 9,13,15 inches,15 inches
Row 10,10,10 inches,15 inches
Row 11,12,15 inches,15 inches
Row 12,5,5 inches,15 inches
Row 13,15,15 inches,15 inches
Row 14,5,5 inches,15 inches
Row 15,11,15 inches,15 inches
Row 16,10,10 inches,15 inches
Row 17,13,15 inches,15 inches
Row 18,12,15 inches,15 inches
Row 19,10,10 inches,15 inches
Row 20,7,10 inches,15 inches
Row 21,11,15 inches,15 inches
Row 22,14,15 inches,15 inches
Row 23,7,10 inches,15 inches
Row 24,11,15 inches,15 inches
Row 25,9,10 inches,15 inches
Row 26,8,10 inches,15 inches
Row 27,6,10 inches,15 inches
Row 28,13,15 inches,15 inches
Row 29,6,10 inches,15 inches
Row 30,5,5 inches,15 inches
Row 31,14,15 inches,15 inches
Row 32,12,15 inches,15 inches
Row 33,5,5 inches,15 inches
Row 34,15,15 inches,15 inches
Row 35,6,10 inches,15 inches
Row 36,12,15 inches,15 inches
Row 37,6,10 inches,15 inches
Row 38,7,10 inches,15 inches
Row 39,5,5 inches,15 inches
Row 40,7,10 inches,15 inches
Row 41,14,15 inches,15 inches
Row 42,10,10 inches,15 inches
Row 43,8,10 inches,15 inches
Row 44,15,15 inches,15 inches
Row 45,10,10 inches,15 inches
Row 46,14,15 inches,15 inches
Row 47,8,10 inches,15 inches
Row 48,5,5 inches,15 inches
Row 49,10,10 inches,15 inches
Row 50,14,15 inches,15 inches
Row 51,8,10 inches,15 inches
Row 52,9,10 inches,15 inches
Row 53,13,15 inches,15 inches
Row 54,12,15 inches,15 inches
Row 55,5,5 inches,15 inches
Row 56,8,10 inches,15 inches
Row 57,15,15 inches,15 inches
Row 58,10,10 inches,15 inches
Row 59,11,15 inches,15 inches
Row 60,6,10 inches,15 inches
Row 61,5,5 inches,15 inches
Row 62,11,15 inches,15 inches
Row 63,5,5 inches,15 inches
Row 64,15,15 inches,15 inches
Row 65,11,15 inches,15 inches
Row 66,9,10 inches,15 inches
Row 67,10,10 inches,15 inches
Row 68,9,10 inches,15 inches
Row 69,14,15 inches,15 inches
Row 70,12,15 inches,15 inches
Row 71,7,10 inches,15 inches
Row 72,15,15 inches,15 inches
Row 73,8,10 inches,15 inches
Row 74,15,15 inches,15 inches
Row 75,10,10 inches,15 inches
Row 76,11,15 inches,15 inches
Row 77,10,10 inches,15 inches
Row 78,15,15 inches,15 inches
Row 79,12,15 inches,15 inches
Row 80,8,10 inches,15 inches
Row 81,7,10 inches,15 inches
Row 82,12,15 inches,15 inches
Row 83,5,5 inches,15 inches
Row 84,5,5 inches,15 inches
Row 85,13,15 inches,15 inches
Row 86,11,15 inches,15 inches
Row 87,11,15 inches,15 inches
Row 88,12,15 inches,15 inches
Row 89,9,10 inches,15 inches
Row 90,14,15 inches,15 inches
Row 91,8,10 inches,15 inches
Row 92,11,15 inches,15 inches
Row 93,9,10 inches,15 inches
Row 94,12,15 inches,15 inches
Row 95,6,10 inches,15 inches
Row 96,10,10 inches,15 inches
Row 97,13,15 inches,15 inches
Row 98,10,10 inches,15 inches
Row 99,15,15 inches,15 inches
Row 100,14,15 inches,15 inches
Row 101,6,10 inches,15 inches
Row 102,12,15 inches,15 inches
Row 103,15,15 inches,15 inches
Row 104,5,5 inches,15 inches
Row 105,5,5 inches,15 inches
Row 106,8,10 inches,15 inches
Row 107,9,10 inches,15 inches
Row 108,7,10 inches,15 inches
Row 109,11,15 inches,15 inches
Row 110,6,10 inches,15 inches
Row 111,15,15 inches,15 inches
Row 112,5,5 inches,15 inches
Row 113,5,5 inches,15 inches
Row 114,12,15 inches,15 inches
Row 115,13,15 inches,15 inches
Row 116,11,15 inches,15 inches
Row 117,10,10 inches,15 inches
Row 118,12,15 inches,15 inches
Row 119,5,5 inches,15 inches
Row 120,10,10 inches,15 inches
Row 121,9,10 inches,15 inches
Row 122,5,5 inches,15 inches
Row 123,8,10 inches,15 inches
Row 124,8,10 inches,15 inches
Row 125,11,15 inches,15 inches
Row 126,13,15 inches,15 inches
Row 127,14,15 inches,15 inches
Row 128,13,15 inches,15 inches
Row 129,10,10 inches,15 inches
Row 130,13,15 inches,15 inches
Row 131,13,15 inches,15 inches
Row 132,14,15 inches,15 inches
Row 133,8,10 inches,15 inches
Row 134,5,5 inches,15 inches
Row 135,9,10 inches,15 inches
Row 136,13,15 inches,15 inches
Row 137,10,10 inches,15 inches
Row 138,13,15 inches,15 inches
Row 139,13,15 inches,15 inches
Row 140,7,10 inches,15 inches
Row 141,12,15 inches,15 inches
Row 142,9,10 inches,15 inches
