Row,Number of Houses,Pipe Size,pipe_size
Row 1,8,10 inches,15 inches
Row 2,14,15 inches,15 inches
Row 3,10,10 inches,15 inches
Row 4,8,10 inches,15 inches
Row 5,11,15 inches,15 inches
Row 6,8,10 inches,15 inches
Row 7,5,5 inches,15 inches
Row 8,13,15 inches,15 inches
Row 9,5,5 inches,15 inches
Row 10,10,10 inches,15 inches
Row 11,8,10 inches,15 inches
Row 12,9,10 inches,15 inches
Row 13,13,15 inches,15 inches
Row 14,8,10 inches,15 inches
Row 15,6,10 inches,15 inches
Row 16,8,10 inches,15 inches
Row 17,12,15 inches,15 inches
Row 18,12,15 inches,15 inches
Row 19,13,15 inches,15 inches
Row 20,7,10 inches,15 inches
Row 21,15,15 inches,15 inches
Row 22,15,15 inches,15 inches
Row 23,7,10 inches,15 inches
Row 24,12,15 inches,15 inches
Row 25,15,15 inches,15 inches
Row 26,14,15 inches,15 inches
Row 27,9,10 inches,15 inches
Row 28,5,5 inches,15 inches
Row 29,13,15 inches,15 inches
Row 30,14,15 inches,15 inches
Row 31,11,15 inches,15 inches
Row 32,13,15 inches,15 inches
Row 33,13,15 inches,15 inches
Row 34,10,10 inches,15 inches
Row 35,6,10 inches,15 inches
Row 36,8,10 inches,15 inches
Row 37,5,5 inches,15 inches
Row 38,10,10 inches,15 inches
Row 39,13,15 inches,15 inches
Row 40,14,15 inches,15 inches
Row 41,15,15 inches,15 inches
Row 42,6,10 inches,15 inches
Row 43,13,15 inches,15 inches
Row 44,9,10 inches,15 inches
Row 45,15,15 inches,15 inches
Row 46,9,10 inches,15 inches
Row 47,11,15 inches,15 inches
Row 48,15,15 inches,15 inches
Row 49,12,15 inches,15 inches
Row 50,6,10 inches,15 inches
Row 51,12,15 inches,15 inches
Row 52,10,10 inches,15 inches
Row 53,9,10 inches,15 inches
Row 54,12,15 inches,15 inches
Row 55,15,15 inches,15 inches
Row 56,5,5 inches,15 inches
Row 57,12,15 inches,15 inches
Row 58,6,10 inches,15 inches
Row 59,7,10 inches,15 inches
Row 60,13,15 inches,15 inches
Row 61,10,10 inches,15 inches
Row 62,15,15 inches,15 inches
Row 63,6,10 inches,15 inches
Row 64,9,10 inches,15 inches
Row 65,10,10 inches,15 inches
Row 66,10,10 inches,15 inches
Row 67,12,15 inches,15 inches
Row 68,14,15 inches,15 inches
Row 69,5,5 inches,15 inches
Row 70,6,10 inches,15 inches
Row 71,12,15 inches,15 inches
Row 72,11,15 inches,15 inches
Row 73,12,15 inches,15 inches
Row 74,10,10 inches,15 inches
Row 75,9,10 inches,15 inches
Row 76,15,15 inches,15 inches
Row 77,14,15 inches,15 inches
Row 78,11,15 inches,15 inches
Row 79,9,10 inches,15 inches
Row 80,14,15 inches,15 inches
Row 81,12,15 inches,15 inches
Row 82,11,15 inches,15 inches
Row 83,5,5 inches,15 inches
Row 84,9,10 inches,15 inches
Row 85,13,15 inches,15 inches
Row 86,11,15 inches,15 inches
Row 87,13,15 inches,15 inches
Row 88,5,5 inches,15 inches
Row 89,8,10 inches,15 inches
Row 90,9,10 inches,15 inches
Row 91,11,15 inches,15 inches
Row 92,14,15 inches,15 inches
Row 93,11,15 inches,15 inches
Row 94,7,10 inches,15 inches
Row 95,6,10 inches,15 inches
Row 96,10,10 inches,15 inches
Row 97,11,15 inches,15 inches
Row 98,9,10 inches,15 inches
Row 99,15,15 inches,15 inches
Row 100,7,10 inches,15 inches
Row 101,11,15 inches,15 inches
Row 102,15,15 inches,15 inches
Row 103,6,10 inches,15 inches
Row 104,7,10 inches,15 inches
Row 105,13,15 inches,15 inches
Row 106,13,15 inches,15 inches
Row 107,14,15 inches,15 inches
Row 108,15,15 inches,15 inches
Row 109,10,10 inches,15 inches
Row 110,15,15 inches,15 inches
Row 111,7,10 inches,15 inches
Row 112,7,10 inches,15 inches
Row 113,6,10 inches,15 inches
Row 114,5,5 inches,15 inches
Row 115,9,10 inches,15 inches
Row 116,9,10 inches,15 inches
Row 117,14,15 inches,15 inches
Row 118,8,10 inches,15 inches
Row 119,8,10 inches,15 inches
Row 120,11,15 inches,15 inches
Row 121,14,15 inches,15 inches
Row 122,10,10 inches,15 inches
Row 123,7,10 inches,15 inches
Row 124,9,10 inches,15 inches
Row 125,13,15 inches,15 inches
Row 126,8,10 inches,15 inches
Row 127,15,15 inches,15 inches
Row 128,9,10 inches,15 inches
Row 129,10,10 inches,15 inches
Row 130,11,15 inches,15 inches
Row 131,5,5 inches,15 inches
Row 132,14,15 inches,15 inches
Row 133,6,10 inches,15 inches
Row 134,6,10 inches,15 inches
Row 135,6,10 inches,15 inches
Row 136,12,15 inches,15 inches
Row 137,5,5 inches,15 inches
Row 138,6,10 inches,15 inches
Row 139,7,10 inches,15 inches
Row 140,12,15 inches,15 inches
Row 141,9,10 inches,15 inches
Row 142,15,15 inches,15 inches
Row 143,6,10 inches,15 inches
Row 144,15,15 inches,15 inches
Row 145,12,15 inches,15 inches
Row 146,5,5 inches,15 inches
Row 147,14,15 inches,15 inches
Row 148,13,15 inches,15 inches
Row 149,6,10 inches,15 inches
Row 150,8,10 inches,15 inches
Row 151,15,15 inches,15 inches
Row 152,7,10 inches,15 inches
Row 153,10,10 inches,15 inches
