Row,Number of Houses,Pipe Size
Row 1,13,15 inches
Row 2,7,10 inches
Row 3,7,10 inches
Row 4,12,15 inches
Row 5,8,10 inches
Row 6,9,10 inches
Row 7,9,10 inches
Row 8,15,15 inches
Row 9,11,15 inches
Row 10,5,5 inches
Row 11,8,10 inches
Row 12,6,10 inches
Row 13,12,15 inches
Row 14,5,5 inches
Row 15,8,10 inches
Row 16,15,15 inches
Row 17,6,10 inches
Row 18,6,10 inches
Row 19,10,10 inches
Row 20,9,10 inches
Row 21,11,15 inches
Row 22,14,15 inches
Row 23,9,10 inches
Row 24,5,5 inches
Row 25,14,15 inches
Row 26,9,10 inches
Row 27,12,15 inches
Row 28,6,10 inches
Row 29,8,10 inches
Row 30,9,10 inches
Row 31,10,10 inches
Row 32,8,10 inches
Row 33,6,10 inches
Row 34,11,15 inches
Row 35,12,15 inches
Row 36,11,15 inches
Row 37,11,15 inches
Row 38,8,10 inches
Row 39,7,10 inches
Row 40,10,10 inches
Row 41,14,15 inches
Row 42,12,15 inches
Row 43,15,15 inches
Row 44,8,10 inches
Row 45,13,15 inches
Row 46,10,10 inches
Row 47,10,10 inches
Row 48,13,15 inches
Row 49,9,10 inches
Row 50,11,15 inches
Row 51,9,10 inches
Row 52,14,15 inches
Row 53,5,5 inches
Row 54,6,10 inches
Row 55,12,15 inches
Row 56,12,15 inches
Row 57,8,10 inches
Row 58,15,15 inches
Row 59,6,10 inches
Row 60,15,15 inches
Row 61,5,5 inches
Row 62,10,10 inches
Row 63,8,10 inches
Row 64,5,5 inches
Row 65,11,15 inches
Row 66,9,10 inches
Row 67,13,15 inches
Row 68,15,15 inches
Row 69,5,5 inches
Row 70,7,10 inches
Row 71,9,10 inches
Row 72,15,15 inches
Row 73,15,15 inches
Row 74,15,15 inches
Row 75,9,10 inches
Row 76,8,10 inches
Row 77,15,15 inches
Row 78,9,10 inches
Row 79,15,15 inches
Row 80,11,15 inches
Row 81,13,15 inches
Row 82,14,15 inches
Row 83,11,15 inches
Row 84,6,10 inches
Row 85,7,10 inches
Row 86,12,15 inches
Row 87,12,15 inches
Row 88,14,15 inches
Row 89,6,10 inches
Row 90,9,10 inches
Row 91,13,15 inches
Row 92,8,10 inches
Row 93,5,5 inches
Row 94,5,5 inches
Row 95,6,10 inches
Row 96,10,10 inches
Row 97,8,10 inches
Row 98,10,10 inches
Row 99,8,10 inches
Row 100,11,15 inches
Row 101,12,15 inches
Row 102,9,10 inches
Row 103,13,15 inches
Row 104,5,5 inches
Row 105,5,5 inches
Row 106,14,15 inches
Row 107,6,10 inches
Row 108,10,10 inches
Row 109,10,10 inches
Row 110,12,15 inches
Row 111,10,10 inches
Row 112,15,15 inches
Row 113,5,5 inches
Row 114,14,15 inches
Row 115,6,10 inches
Row 116,14,15 inches
Row 117,7,10 inches
Row 118,12,15 inches
Row 119,7,10 inches
Row 120,5,5 inches
Row 121,5,5 inches
Row 122,12,15 inches
Row 123,6,10 inches
Row 124,5,5 inches
Row 125,8,10 inches
Row 126,8,10 inches
Row 127,14,15 inches
Row 128,10,10 inches
Row 129,9,10 inches
Row 130,13,15 inches
Row 131,6,10 inches
Row 132,15,15 inches
Row 133,10,10 inches
Row 134,11,15 inches
Row 135,13,15 inches
Row 136,12,15 inches
Row 137,10,10 inches
Row 138,14,15 inches
Row 139,14,15 inches
Row 140,11,15 inches
Row 141,14,15 inches
Row 142,10,10 inches
Row 143,8,10 inches
Row 144,8,10 inches
Row 145,6,10 inches
Row 146,10,10 inches
Row 147,8,10 inches
Row 148,12,15 inches
Row 149,10,10 inches
Row 150,15,15 inches
Row 151,12,15 inches
Row 152,6,10 inches
Row 153,12,15 inches
Row 154,12,15 inches
Row 155,12,15 inches
Row 156,12,15 inches
Row 157,13,15 inches
Row 158,7,10 inches
Row 159,5,5 inches
Row 160,7,10 inches
Row 161,7,10 inches
Row 162,12,15 inches
Row 163,8,10 inches
Row 164,9,10 inches
Row 165,11,15 inches
Row 166,6,10 inches
Row 167,12,15 inches
Row 168,9,10 inches
Row 169,9,10 inches
