Row,Number of Houses,Pipe Size
Row 1,15,15 inches
Row 2,8,10 inches
Row 3,11,15 inches
Row 4,8,10 inches
Row 5,5,5 inches
Row 6,5,5 inches
Row 7,8,10 inches
Row 8,15,15 inches
Row 9,11,15 inches
Row 10,14,15 inches
Row 11,6,10 inches
Row 12,11,15 inches
Row 13,5,5 inches
Row 14,13,15 inches
Row 15,11,15 inches
Row 16,12,15 inches
Row 17,6,10 inches
Row 18,11,15 inches
Row 19,6,10 inches
Row 20,8,10 inches
Row 21,7,10 inches
Row 22,8,10 inches
Row 23,11,15 inches
Row 24,11,15 inches
Row 25,6,10 inches
Row 26,7,10 inches
Row 27,15,15 inches
Row 28,5,5 inches
Row 29,7,10 inches
Row 30,9,10 inches
Row 31,12,15 inches
Row 32,13,15 inches
Row 33,13,15 inches
Row 34,13,15 inches
Row 35,8,10 inches
Row 36,14,15 inches
Row 37,15,15 inches
Row 38,7,10 inches
Row 39,6,10 inches
Row 40,13,15 inches
Row 41,10,10 inches
Row 42,13,15 inches
Row 43,14,15 inches
Row 44,10,10 inches
Row 45,7,10 inches
Row 46,14,15 inches
Row 47,14,15 inches
Row 48,12,15 inches
Row 49,9,10 inches
Row 50,5,5 inches
Row 51,5,5 inches
Row 52,10,10 inches
Row 53,6,10 inches
Row 54,9,10 inches
Row 55,13,15 inches
Row 56,11,15 inches
Row 57,7,10 inches
Row 58,11,15 inches
Row 59,14,15 inches
Row 60,5,5 inches
Row 61,12,15 inches
Row 62,5,5 inches
Row 63,9,10 inches
Row 64,7,10 inches
Row 65,5,5 inches
Row 66,6,10 inches
Row 67,15,15 inches
Row 68,11,15 inches
Row 69,10,10 inches
Row 70,15,15 inches
Row 71,7,10 inches
Row 72,15,15 inches
Row 73,11,15 inches
Row 74,11,15 inches
Row 75,8,10 inches
Row 76,13,15 inches
Row 77,15,15 inches
Row 78,15,15 inches
Row 79,6,10 inches
Row 80,7,10 inches
Row 81,15,15 inches
Row 82,7,10 inches
Row 83,13,15 inches
Row 84,14,15 inches
Row 85,14,15 inches
Row 86,10,10 inches
Row 87,12,15 inches
Row 88,14,15 inches
Row 89,7,10 inches
Row 90,9,10 inches
Row 91,12,15 inches
Row 92,5,5 inches
Row 93,5,5 inches
Row 94,5,5 inches
Row 95,10,10 inches
Row 96,14,15 inches
Row 97,10,10 inches
Row 98,6,10 inches
Row 99,14,15 inches
Row 100,9,10 inches
Row 101,6,10 inches
Row 102,10,10 inches
Row 103,14,15 inches
Row 104,10,10 inches
Row 105,10,10 inches
Row 106,8,10 inches
Row 107,11,15 inches
Row 108,10,10 inches
Row 109,6,10 inches
Row 110,11,15 inches
Row 111,14,15 inches
Row 112,12,15 inches
Row 113,15,15 inches
Row 114,15,15 inches
Row 115,6,10 inches
Row 116,11,15 inches
Row 117,5,5 inches
