Row,Number of Houses,Pipe Size
Row 1,5,5 inches
Row 2,12,15 inches
Row 3,5,5 inches
Row 4,12,15 inches
Row 5,12,15 inches
Row 6,5,5 inches
Row 7,15,15 inches
Row 8,11,15 inches
Row 9,12,15 inches
Row 10,6,10 inches
Row 11,15,15 inches
Row 12,11,15 inches
Row 13,13,15 inches
Row 14,5,5 inches
Row 15,14,15 inches
Row 16,5,5 inches
Row 17,8,10 inches
Row 18,5,5 inches
Row 19,9,10 inches
Row 20,13,15 inches
Row 21,5,5 inches
Row 22,10,10 inches
Row 23,12,15 inches
Row 24,13,15 inches
Row 25,8,10 inches
Row 26,12,15 inches
Row 27,10,10 inches
Row 28,12,15 inches
Row 29,9,10 inches
Row 30,12,15 inches
Row 31,11,15 inches
Row 32,11,15 inches
Row 33,10,10 inches
Row 34,13,15 inches
Row 35,5,5 inches
Row 36,5,5 inches
Row 37,15,15 inches
Row 38,8,10 inches
Row 39,13,15 inches
Row 40,13,15 inches
Row 41,12,15 inches
Row 42,10,10 inches
Row 43,7,10 inches
Row 44,11,15 inches
Row 45,7,10 inches
Row 46,13,15 inches
Row 47,9,10 inches
Row 48,6,10 inches
Row 49,8,10 inches
Row 50,11,15 inches
Row 51,5,5 inches
Row 52,10,10 inches
Row 53,6,10 inches
Row 54,14,15 inches
Row 55,9,10 inches
Row 56,8,10 inches
Row 57,8,10 inches
Row 58,11,15 inches
Row 59,10,10 inches
Row 60,14,15 inches
Row 61,11,15 inches
Row 62,15,15 inches
Row 63,8,10 inches
Row 64,6,10 inches
Row 65,14,15 inches
Row 66,12,15 inches
Row 67,14,15 inches
Row 68,7,10 inches
Row 69,8,10 inches
Row 70,11,15 inches
Row 71,12,15 inches
Row 72,9,10 inches
Row 73,15,15 inches
Row 74,7,10 inches
Row 75,7,10 inches
Row 76,10,10 inches
Row 77,7,10 inches
Row 78,13,15 inches
Row 79,11,15 inches
Row 80,11,15 inches
Row 81,11,15 inches
Row 82,11,15 inches
Row 83,14,15 inches
Row 84,12,15 inches
Row 85,12,15 inches
Row 86,10,10 inches
Row 87,7,10 inches
Row 88,9,10 inches
Row 89,10,10 inches
Row 90,5,5 inches
Row 91,11,15 inches
Row 92,7,10 inches
Row 93,7,10 inches
Row 94,7,10 inches
Row 95,14,15 inches
Row 96,13,15 inches
Row 97,11,15 inches
Row 98,6,10 inches
Row 99,12,15 inches
Row 100,8,10 inches
Row 101,14,15 inches
Row 102,9,10 inches
Row 103,12,15 inches
Row 104,8,10 inches
Row 105,15,15 inches
Row 106,6,10 inches
Row 107,9,10 inches
Row 108,8,10 inches
Row 109,9,10 inches
Row 110,10,10 inches
Row 111,9,10 inches
Row 112,12,15 inches
Row 113,11,15 inches
Row 114,13,15 inches
Row 115,8,10 inches
Row 116,7,10 inches
Row 117,10,10 inches
Row 118,8,10 inches
Row 119,8,10 inches
Row 120,8,10 inches
Row 121,11,15 inches
Row 122,9,10 inches
Row 123,12,15 inches
Row 124,13,15 inches
Row 125,10,10 inches
Row 126,6,10 inches
Row 127,14,15 inches
Row 128,5,5 inches
Row 129,11,15 inches
Row 130,10,10 inches
Row 131,9,10 inches
Row 132,8,10 inches
Row 133,8,10 inches
Row 134,10,10 inches
Row 135,6,10 inches
Row 136,5,5 inches
Row 137,12,15 inches
Row 138,6,10 inches
Row 139,14,15 inches
Row 140,13,15 inches
Row 141,14,15 inches
Row 142,13,15 inches
Row 143,14,15 inches
Row 144,10,10 inches
Row 145,13,15 inches
Row 146,7,10 inches
Row 147,8,10 inches
Row 148,11,15 inches
