Row,Number of Houses,Pipe Size,pipe_size
Row 1,10,10 inches,15 inches
Row 2,9,10 inches,15 inches
Row 3,6,10 inches,15 inches
Row 4,6,10 inches,15 inches
Row 5,6,10 inches,15 inches
Row 6,7,10 inches,15 inches
Row 7,6,10 inches,15 inches
Row 8,13,15 inches,15 inches
Row 9,7,10 inches,15 inches
Row 10,5,5 inches,15 inches
Row 11,8,10 inches,15 inches
Row 12,12,15 inches,15 inches
Row 13,8,10 inches,15 inches
Row 14,7,10 inches,15 inches
Row 15,10,10 inches,15 inches
Row 16,10,10 inches,15 inches
Row 17,11,15 inches,15 inches
Row 18,10,10 inches,15 inches
Row 19,8,10 inches,15 inches
Row 20,9,10 inches,15 inches
Row 21,13,15 inches,15 inches
Row 22,8,10 inches,15 inches
Row 23,10,10 inches,15 inches
Row 24,11,15 inches,15 inches
Row 25,13,15 inches,15 inches
Row 26,15,15 inches,15 inches
Row 27,7,10 inches,15 inches
Row 28,12,15 inches,15 inches
Row 29,8,10 inches,15 inches
Row 30,7,10 inches,15 inches
Row 31,15,15 inches,15 inches
Row 32,9,10 inches,15 inches
Row 33,7,10 inches,15 inches
Row 34,15,15 inches,15 inches
Row 35,9,10 inches,15 inches
Row 36,15,15 inches,15 inches
Row 37,13,15 inches,15 inches
Row 38,5,5 inches,15 inches
Row 39,9,10 inches,15 inches
Row 40,14,15 inches,15 inches
Row 41,13,15 inches,15 inches
Row 42,6,10 inches,15 inches
Row 43,9,10 inches,15 inches
Row 44,6,10 inches,15 inches
Row 45,6,10 inches,15 inches
Row 46,9,10 inches,15 inches
Row 47,9,10 inches,15 inches
Row 48,15,15 inches,15 inches
Row 49,8,10 inches,15 inches
Row 50,15,15 inches,15 inches
Row 51,5,5 inches,15 inches
Row 52,7,10 inches,15 inches
Row 53,12,15 inches,15 inches
Row 54,11,15 inches,15 inches
Row 55,15,15 inches,15 inches
Row 56,9,10 inches,15 inches
Row 57,14,15 inches,15 inches
Row 58,8,10 inches,15 inches
Row 59,6,10 inches,15 inches
Row 60,10,10 inches,15 inches
Row 61,9,10 inches,15 inches
Row 62,5,5 inches,15 inches
Row 63,6,10 inches,15 inches
Row 64,6,10 inches,15 inches
Row 65,10,10 inches,15 inches
Row 66,15,15 inches,15 inches
Row 67,14,15 inches,15 inches
Row 68,15,15 inches,15 inches
Row 69,7,10 inches,15 inches
Row 70,14,15 inches,15 inches
Row 71,5,5 inches,15 inches
Row 72,10,10 inches,15 inches
Row 73,13,15 inches,15 inches
Row 74,14,15 inches,15 inches
Row 75,9,10 inches,15 inches
Row 76,6,10 inches,15 inches
Row 77,13,15 inches,15 inches
Row 78,8,10 inches,15 inches
Row 79,7,10 inches,15 inches
Row 80,5,5 inches,15 inches
Row 81,11,15 inches,15 inches
Row 82,15,15 inches,15 inches
Row 83,8,10 inches,15 inches
Row 84,10,10 inches,15 inches
Row 85,8,10 inches,15 inches
Row 86,9,10 inches,15 inches
Row 87,6,10 inches,15 inches
Row 88,13,15 inches,15 inches
Row 89,12,15 inches,15 inches
Row 90,13,15 inches,15 inches
Row 91,7,10 inches,15 inches
Row 92,5,5 inches,15 inches
Row 93,11,15 inches,15 inches
Row 94,12,15 inches,15 inches
Row 95,15,15 inches,15 inches
Row 96,11,15 inches,15 inches
Row 97,9,10 inches,15 inches
Row 98,14,15 inches,15 inches
Row 99,5,5 inches,15 inches
Row 100,8,10 inches,15 inches
Row 101,14,15 inches,15 inches
Row 102,9,10 inches,15 inches
Row 103,9,10 inches,15 inches
Row 104,10,10 inches,15 inches
Row 105,7,10 inches,15 inches
Row 106,9,10 inches,15 inches
Row 107,14,15 inches,15 inches
Row 108,15,15 inches,15 inches
Row 109,13,15 inches,15 inches
Row 110,12,15 inches,15 inches
Row 111,9,10 inches,15 inches
Row 112,5,5 inches,15 inches
Row 113,6,10 inches,15 inches
Row 114,13,15 inches,15 inches
Row 115,12,15 inches,15 inches
Row 116,7,10 inches,15 inches
Row 117,7,10 inches,15 inches
Row 118,5,5 inches,15 inches
Row 119,12,15 inches,15 inches
Row 120,8,10 inches,15 inches
Row 121,13,15 inches,15 inches
