Row,Number of Houses,Pipe Size,pipe_size
Row 1,5,5 inches,15 inches
Row 2,15,15 inches,15 inches
Row 3,11,15 inches,15 inches
Row 4,13,15 inches,15 inches
Row 5,6,10 inches,15 inches
Row 6,11,15 inches,15 inches
Row 7,12,15 inches,15 inches
Row 8,8,10 inches,15 inches
Row 9,5,5 inches,15 inches
Row 10,12,15 inches,15 inches
Row 11,5,5 inches,15 inches
Row 12,9,10 inches,15 inches
Row 13,9,10 inches,15 inches
Row 14,14,15 inches,15 inches
Row 15,6,10 inches,15 inches
Row 16,5,5 inches,15 inches
Row 17,8,10 inches,15 inches
Row 18,11,15 inches,15 inches
Row 19,9,10 inches,15 inches
Row 20,10,10 inches,15 inches
Row 21,11,15 inches,15 inches
Row 22,13,15 inches,15 inches
Row 23,13,15 inches,15 inches
Row 24,12,15 inches,15 inches
Row 25,6,10 inches,15 inches
Row 26,9,10 inches,15 inches
Row 27,14,15 inches,15 inches
Row 28,8,10 inches,15 inches
Row 29,15,15 inches,15 inches
Row 30,11,15 inches,15 inches
Row 31,7,10 inches,15 inches
Row 32,12,15 inches,15 inches
Row 33,6,10 inches,15 inches
Row 34,9,10 inches,15 inches
Row 35,10,10 inches,15 inches
Row 36,11,15 inches,15 inches
Row 37,7,10 inches,15 inches
Row 38,6,10 inches,15 inches
Row 39,13,15 inches,15 inches
Row 40,13,15 inches,15 inches
Row 41,11,15 inches,15 inches
Row 42,14,15 inches,15 inches
Row 43,8,10 inches,15 inches
Row 44,6,10 inches,15 inches
Row 45,6,10 inches,15 inches
Row 46,9,10 inches,15 inches
Row 47,9,10 inches,15 inches
Row 48,10,10 inches,15 inches
Row 49,13,15 inches,15 inches
Row 50,14,15 inches,15 inches
Row 51,15,15 inches,15 inches
Row 52,15,15 inches,15 inches
Row 53,9,10 inches,15 inches
Row 54,14,15 inches,15 inches
Row 55,5,5 inches,15 inches
Row 56,15,15 inches,15 inches
Row 57,5,5 inches,15 inches
Row 58,10,10 inches,15 inches
Row 59,8,10 inches,15 inches
Row 60,14,15 inches,15 inches
Row 61,15,15 inches,15 inches
Row 62,15,15 inches,15 inches
Row 63,15,15 inches,15 inches
Row 64,5,5 inches,15 inches
Row 65,8,10 inches,15 inches
Row 66,10,10 inches,15 inches
Row 67,13,15 inches,15 inches
Row 68,5,5 inches,15 inches
Row 69,5,5 inches,15 inches
Row 70,10,10 inches,15 inches
Row 71,7,10 inches,15 inches
Row 72,15,15 inches,15 inches
Row 73,14,15 inches,15 inches
Row 74,9,10 inches,15 inches
Row 75,6,10 inches,15 inches
Row 76,6,10 inches,15 inches
Row 77,12,15 inches,15 inches
Row 78,5,5 inches,15 inches
Row 79,15,15 inches,15 inches
Row 80,6,10 inches,15 inches
Row 81,5,5 inches,15 inches
Row 82,11,15 inches,15 inches
Row 83,5,5 inches,15 inches
Row 84,8,10 inches,15 inches
Row 85,11,15 inches,15 inches
Row 86,5,5 inches,15 inches
Row 87,13,15 inches,15 inches
Row 88,10,10 inches,15 inches
Row 89,11,15 inches,15 inches
Row 90,7,10 inches,15 inches
Row 91,13,15 inches,15 inches
Row 92,6,10 inches,15 inches
Row 93,6,10 inches,15 inches
Row 94,6,10 inches,15 inches
Row 95,5,5 inches,15 inches
Row 96,10,10 inches,15 inches
Row 97,15,15 inches,15 inches
Row 98,8,10 inches,15 inches
Row 99,15,15 inches,15 inches
Row 100,13,15 inches,15 inches
Row 101,5,5 inches,15 inches
Row 102,10,10 inches,15 inches
Row 103,13,15 inches,15 inches
Row 104,6,10 inches,15 inches
Row 105,9,10 inches,15 inches
Row 106,13,15 inches,15 inches
Row 107,7,10 inches,15 inches
Row 108,7,10 inches,15 inches
Row 109,15,15 inches,15 inches
Row 110,8,10 inches,15 inches
Row 111,12,15 inches,15 inches
Row 112,10,10 inches,15 inches
Row 113,7,10 inches,15 inches
Row 114,5,5 inches,15 inches
Row 115,14,15 inches,15 inches
Row 116,9,10 inches,15 inches
Row 117,12,15 inches,15 inches
Row 118,6,10 inches,15 inches
Row 119,8,10 inches,15 inches
Row 120,15,15 inches,15 inches
Row 121,11,15 inches,15 inches
Row 122,12,15 inches,15 inches
Row 123,7,10 inches,15 inches
Row 124,14,15 inches,15 inches
Row 125,14,15 inches,15 inches
Row 126,10,10 inches,15 inches
Row 127,6,10 inches,15 inches
Row 128,10,10 inches,15 inches
Row 129,11,15 inches,15 inches
Row 130,15,15 inches,15 inches
Row 131,6,10 inches,15 inches
