Row,Number of Houses,Pipe Size
Row 1,11,15 inches
Row 2,11,15 inches
Row 3,15,15 inches
Row 4,10,10 inches
Row 5,5,5 inches
Row 6,12,15 inches
Row 7,8,10 inches
Row 8,5,5 inches
Row 9,11,15 inches
Row 10,9,10 inches
Row 11,7,10 inches
Row 12,13,15 inches
Row 13,15,15 inches
Row 14,12,15 inches
Row 15,8,10 inches
Row 16,11,15 inches
Row 17,8,10 inches
Row 18,6,10 inches
Row 19,10,10 inches
Row 20,10,10 inches
Row 21,14,15 inches
Row 22,9,10 inches
Row 23,6,10 inches
Row 24,6,10 inches
Row 25,7,10 inches
Row 26,13,15 inches
Row 27,15,15 inches
Row 28,13,15 inches
Row 29,8,10 inches
Row 30,10,10 inches
Row 31,13,15 inches
Row 32,8,10 inches
Row 33,7,10 inches
Row 34,14,15 inches
Row 35,15,15 inches
Row 36,8,10 inches
Row 37,5,5 inches
Row 38,10,10 inches
Row 39,15,15 inches
Row 40,13,15 inches
Row 41,9,10 inches
Row 42,9,10 inches
Row 43,14,15 inches
Row 44,13,15 inches
Row 45,5,5 inches
Row 46,7,10 inches
Row 47,11,15 inches
Row 48,10,10 inches
Row 49,5,5 inches
Row 50,5,5 inches
Row 51,14,15 inches
Row 52,11,15 inches
Row 53,14,15 inches
Row 54,5,5 inches
Row 55,10,10 inches
Row 56,14,15 inches
Row 57,6,10 inches
Row 58,5,5 inches
Row 59,12,15 inches
Row 60,8,10 inches
Row 61,11,15 inches
Row 62,8,10 inches
Row 63,12,15 inches
Row 64,11,15 inches
Row 65,9,10 inches
Row 66,5,5 inches
Row 67,11,15 inches
Row 68,15,15 inches
Row 69,9,10 inches
Row 70,10,10 inches
Row 71,14,15 inches
Row 72,15,15 inches
Row 73,10,10 inches
Row 74,8,10 inches
Row 75,12,15 inches
Row 76,5,5 inches
Row 77,14,15 inches
Row 78,9,10 inches
Row 79,7,10 inches
Row 80,13,15 inches
Row 81,15,15 inches
Row 82,10,10 inches
Row 83,7,10 inches
Row 84,9,10 inches
Row 85,15,15 inches
Row 86,7,10 inches
Row 87,11,15 inches
Row 88,10,10 inches
Row 89,10,10 inches
Row 90,11,15 inches
Row 91,15,15 inches
Row 92,13,15 inches
Row 93,10,10 inches
Row 94,12,15 inches
Row 95,14,15 inches
Row 96,12,15 inches
Row 97,15,15 inches
Row 98,9,10 inches
Row 99,11,15 inches
Row 100,14,15 inches
Row 101,11,15 inches
Row 102,14,15 inches
Row 103,14,15 inches
Row 104,7,10 inches
Row 105,8,10 inches
Row 106,12,15 inches
Row 107,8,10 inches
Row 108,12,15 inches
Row 109,9,10 inches
Row 110,14,15 inches
Row 111,13,15 inches
Row 112,14,15 inches
Row 113,7,10 inches
Row 114,15,15 inches
Row 115,12,15 inches
Row 116,13,15 inches
Row 117,7,10 inches
Row 118,8,10 inches
Row 119,13,15 inches
Row 120,15,15 inches
Row 121,5,5 inches
Row 122,14,15 inches
Row 123,14,15 inches
Row 124,8,10 inches
Row 125,9,10 inches
Row 126,12,15 inches
Row 127,8,10 inches
Row 128,5,5 inches
Row 129,9,10 inches
Row 130,7,10 inches
Row 131,15,15 inches
Row 132,7,10 inches
Row 133,11,15 inches
Row 134,5,5 inches
Row 135,13,15 inches
Row 136,9,10 inches
Row 137,15,15 inches
Row 138,13,15 inches
Row 139,5,5 inches
Row 140,12,15 inches
