Row,Number of Houses,Pipe Size,pipe_size
Row 1,5,5 inches,15 inches
Row 2,10,10 inches,15 inches
Row 3,10,10 inches,15 inches
Row 4,15,15 inches,15 inches
Row 5,11,15 inches,15 inches
Row 6,9,10 inches,15 inches
Row 7,6,10 inches,15 inches
Row 8,8,10 inches,15 inches
Row 9,8,10 inches,15 inches
Row 10,10,10 inches,15 inches
Row 11,7,10 inches,15 inches
Row 12,15,15 inches,15 inches
Row 13,12,15 inches,15 inches
Row 14,8,10 inches,15 inches
Row 15,8,10 inches,15 inches
Row 16,9,10 inches,15 inches
Row 17,13,15 inches,15 inches
Row 18,6,10 inches,15 inches
Row 19,8,10 inches,15 inches
Row 20,8,10 inches,15 inches
Row 21,13,15 inches,15 inches
Row 22,14,15 inches,15 inches
Row 23,5,5 inches,15 inches
Row 24,13,15 inches,15 inches
Row 25,5,5 inches,15 inches
Row 26,8,10 inches,15 inches
Row 27,6,10 inches,15 inches
Row 28,14,15 inches,15 inches
Row 29,6,10 inches,15 inches
Row 30,11,15 inches,15 inches
Row 31,10,10 inches,15 inches
Row 32,13,15 inches,15 inches
Row 33,9,10 inches,15 inches
Row 34,9,10 inches,15 inches
Row 35,14,15 inches,15 inches
Row 36,14,15 inches,15 inches
Row 37,12,15 inches,15 inches
Row 38,12,15 inches,15 inches
Row 39,15,15 inches,15 inches
Row 40,12,15 inches,15 inches
Row 41,14,15 inches,15 inches
Row 42,6,10 inches,15 inches
Row 43,9,10 inches,15 inches
Row 44,10,10 inches,15 inches
Row 45,6,10 inches,15 inches
Row 46,14,15 inches,15 inches
Row 47,6,10 inches,15 inches
Row 48,5,5 inches,15 inches
Row 49,14,15 inches,15 inches
Row 50,10,10 inches,15 inches
Row 51,7,10 inches,15 inches
Row 52,15,15 inches,15 inches
Row 53,6,10 inches,15 inches
Row 54,5,5 inches,15 inches
Row 55,10,10 inches,15 inches
Row 56,10,10 inches,15 inches
Row 57,10,10 inches,15 inches
Row 58,6,10 inches,15 inches
Row 59,8,10 inches,15 inches
Row 60,13,15 inches,15 inches
Row 61,12,15 inches,15 inches
Row 62,7,10 inches,15 inches
Row 63,9,10 inches,15 inches
Row 64,10,10 inches,15 inches
Row 65,8,10 inches,15 inches
Row 66,12,15 inches,15 inches
Row 67,12,15 inches,15 inches
Row 68,12,15 inches,15 inches
Row 69,6,10 inches,15 inches
Row 70,5,5 inches,15 inches
Row 71,14,15 inches,15 inches
Row 72,5,5 inches,15 inches
Row 73,14,15 inches,15 inches
Row 74,9,10 inches,15 inches
Row 75,11,15 inches,15 inches
Row 76,13,15 inches,15 inches
Row 77,12,15 inches,15 inches
Row 78,11,15 inches,15 inches
Row 79,9,10 inches,15 inches
Row 80,12,15 inches,15 inches
Row 81,8,10 inches,15 inches
Row 82,13,15 inches,15 inches
Row 83,15,15 inches,15 inches
Row 84,12,15 inches,15 inches
Row 85,6,10 inches,15 inches
Row 86,9,10 inches,15 inches
Row 87,9,10 inches,15 inches
Row 88,9,10 inches,15 inches
Row 89,5,5 inches,15 inches
Row 90,7,10 inches,15 inches
Row 91,15,15 inches,15 inches
Row 92,6,10 inches,15 inches
Row 93,12,15 inches,15 inches
Row 94,12,15 inches,15 inches
Row 95,13,15 inches,15 inches
Row 96,7,10 inches,15 inches
Row 97,15,15 inches,15 inches
Row 98,10,10 inches,15 inches
Row 99,9,10 inches,15 inches
Row 100,14,15 inches,15 inches
Row 101,6,10 inches,15 inches
Row 102,7,10 inches,15 inches
Row 103,5,5 inches,15 inches
Row 104,9,10 inches,15 inches
Row 105,7,10 inches,15 inches
Row 106,15,15 inches,15 inches
Row 107,8,10 inches,15 inches
Row 108,7,10 inches,15 inches
Row 109,14,15 inches,15 inches
Row 110,7,10 inches,15 inches
Row 111,9,10 inches,15 inches
Row 112,10,10 inches,15 inches
Row 113,9,10 inches,15 inches
Row 114,11,15 inches,15 inches
Row 115,7,10 inches,15 inches
Row 116,8,10 inches,15 inches
Row 117,9,10 inches,15 inches
Row 118,7,10 inches,15 inches
Row 119,10,10 inches,15 inches
Row 120,10,10 inches,15 inches
Row 121,14,15 inches,15 inches
Row 122,7,10 inches,15 inches
Row 123,14,15 inches,15 inches
Row 124,8,10 inches,15 inches
Row 125,12,15 inches,15 inches
Row 126,12,15 inches,15 inches
Row 127,11,15 inches,15 inches
Row 128,6,10 inches,15 inches
Row 129,9,10 inches,15 inches
Row 130,13,15 inches,15 inches
Row 131,10,10 inches,15 inches
Row 132,15,15 inches,15 inches
Row 133,13,15 inches,15 inches
Row 134,12,15 inches,15 inches
Row 135,15,15 inches,15 inches
