Row,Number of Houses,Pipe Size
Row 1,12,15 inches
Row 2,6,10 inches
Row 3,15,15 inches
Row 4,15,15 inches
Row 5,12,15 inches
Row 6,5,5 inches
Row 7,5,5 inches
Row 8,6,10 inches
Row 9,7,10 inches
Row 10,12,15 inches
Row 11,15,15 inches
Row 12,14,15 inches
Row 13,12,15 inches
Row 14,6,10 inches
Row 15,7,10 inches
Row 16,13,15 inches
Row 17,14,15 inches
Row 18,11,15 inches
Row 19,13,15 inches
Row 20,7,10 inches
Row 21,7,10 inches
Row 22,12,15 inches
Row 23,11,15 inches
Row 24,5,5 inches
Row 25,14,15 inches
Row 26,7,10 inches
Row 27,12,15 inches
Row 28,14,15 inches
Row 29,6,10 inches
Row 30,12,15 inches
Row 31,15,15 inches
Row 32,13,15 inches
Row 33,12,15 inches
Row 34,14,15 inches
Row 35,9,10 inches
Row 36,10,10 inches
Row 37,5,5 inches
Row 38,7,10 inches
Row 39,9,10 inches
Row 40,5,5 inches
Row 41,5,5 inches
Row 42,14,15 inches
Row 43,15,15 inches
Row 44,13,15 inches
Row 45,15,15 inches
Row 46,8,10 inches
Row 47,10,10 inches
Row 48,8,10 inches
Row 49,13,15 inches
Row 50,7,10 inches
Row 51,8,10 inches
Row 52,12,15 inches
Row 53,13,15 inches
Row 54,7,10 inches
Row 55,7,10 inches
Row 56,6,10 inches
Row 57,8,10 inches
Row 58,9,10 inches
Row 59,8,10 inches
Row 60,7,10 inches
Row 61,9,10 inches
Row 62,11,15 inches
Row 63,6,10 inches
Row 64,7,10 inches
Row 65,8,10 inches
Row 66,15,15 inches
Row 67,12,15 inches
Row 68,7,10 inches
Row 69,6,10 inches
Row 70,13,15 inches
Row 71,14,15 inches
Row 72,7,10 inches
Row 73,7,10 inches
Row 74,9,10 inches
Row 75,12,15 inches
Row 76,12,15 inches
Row 77,12,15 inches
Row 78,5,5 inches
Row 79,12,15 inches
Row 80,9,10 inches
Row 81,11,15 inches
Row 82,14,15 inches
Row 83,15,15 inches
Row 84,10,10 inches
Row 85,15,15 inches
Row 86,7,10 inches
Row 87,9,10 inches
Row 88,11,15 inches
Row 89,6,10 inches
Row 90,6,10 inches
Row 91,13,15 inches
Row 92,13,15 inches
Row 93,9,10 inches
Row 94,5,5 inches
Row 95,10,10 inches
Row 96,14,15 inches
Row 97,13,15 inches
Row 98,12,15 inches
Row 99,10,10 inches
Row 100,5,5 inches
Row 101,8,10 inches
Row 102,8,10 inches
Row 103,11,15 inches
Row 104,11,15 inches
Row 105,9,10 inches
Row 106,9,10 inches
Row 107,14,15 inches
Row 108,13,15 inches
Row 109,8,10 inches
Row 110,8,10 inches
Row 111,5,5 inches
Row 112,15,15 inches
Row 113,15,15 inches
Row 114,15,15 inches
Row 115,13,15 inches
Row 116,11,15 inches
Row 117,7,10 inches
Row 118,14,15 inches
Row 119,7,10 inches
Row 120,6,10 inches
Row 121,13,15 inches
Row 122,12,15 inches
Row 123,9,10 inches
Row 124,8,10 inches
Row 125,14,15 inches
Row 126,8,10 inches
Row 127,14,15 inches
Row 128,11,15 inches
Row 129,15,15 inches
Row 130,9,10 inches
