Row,Number of Houses,Pipe Size,pipe_size
Row 1,12,15 inches,15 inches
Row 2,13,15 inches,15 inches
Row 3,12,15 inches,15 inches
Row 4,11,15 inches,15 inches
Row 5,9,10 inches,15 inches
Row 6,13,15 inches,15 inches
Row 7,6,10 inches,15 inches
Row 8,7,10 inches,15 inches
Row 9,5,5 inches,15 inches
Row 10,10,10 inches,15 inches
Row 11,8,10 inches,15 inches
Row 12,9,10 inches,15 inches
Row 13,14,15 inches,15 inches
Row 14,9,10 inches,15 inches
Row 15,14,15 inches,15 inches
Row 16,12,15 inches,15 inches
Row 17,15,15 inches,15 inches
Row 18,10,10 inches,15 inches
Row 19,9,10 inches,15 inches
Row 20,12,15 inches,15 inches
Row 21,15,15 inches,15 inches
Row 22,11,15 inches,15 inches
Row 23,6,10 inches,15 inches
Row 24,11,15 inches,15 inches
Row 25,8,10 inches,15 inches
Row 26,11,15 inches,15 inches
Row 27,15,15 inches,15 inches
Row 28,10,10 inches,15 inches
Row 29,15,15 inches,15 inches
Row 30,8,10 inches,15 inches
Row 31,7,10 inches,15 inches
Row 32,7,10 inches,15 inches
Row 33,14,15 inches,15 inches
Row 34,6,10 inches,15 inches
Row 35,9,10 inches,15 inches
Row 36,6,10 inches,15 inches
Row 37,8,10 inches,15 inches
Row 38,14,15 inches,15 inches
Row 39,8,10 inches,15 inches
Row 40,11,15 inches,15 inches
Row 41,14,15 inches,15 inches
Row 42,5,5 inches,15 inches
Row 43,12,15 inches,15 inches
Row 44,10,10 inches,15 inches
Row 45,13,15 inches,15 inches
Row 46,6,10 inches,15 inches
Row 47,6,10 inches,15 inches
Row 48,8,10 inches,15 inches
Row 49,11,15 inches,15 inches
Row 50,15,15 inches,15 inches
Row 51,6,10 inches,15 inches
Row 52,10,10 inches,15 inches
Row 53,12,15 inches,15 inches
Row 54,9,10 inches,15 inches
Row 55,9,10 inches,15 inches
Row 56,9,10 inches,15 inches
Row 57,13,15 inches,15 inches
Row 58,14,15 inches,15 inches
Row 59,5,5 inches,15 inches
Row 60,6,10 inches,15 inches
Row 61,10,10 inches,15 inches
Row 62,13,15 inches,15 inches
Row 63,14,15 inches,15 inches
Row 64,9,10 inches,15 inches
Row 65,12,15 inches,15 inches
Row 66,12,15 inches,15 inches
Row 67,14,15 inches,15 inches
Row 68,10,10 inches,15 inches
Row 69,6,10 inches,15 inches
Row 70,7,10 inches,15 inches
Row 71,10,10 inches,15 inches
Row 72,7,10 inches,15 inches
Row 73,14,15 inches,15 inches
Row 74,14,15 inches,15 inches
Row 75,13,15 inches,15 inches
Row 76,5,5 inches,15 inches
Row 77,9,10 inches,15 inches
Row 78,12,15 inches,15 inches
Row 79,13,15 inches,15 inches
Row 80,11,15 inches,15 inches
Row 81,9,10 inches,15 inches
Row 82,15,15 inches,15 inches
Row 83,9,10 inches,15 inches
Row 84,11,15 inches,15 inches
Row 85,12,15 inches,15 inches
Row 86,13,15 inches,15 inches
Row 87,7,10 inches,15 inches
Row 88,6,10 inches,15 inches
Row 89,12,15 inches,15 inches
Row 90,9,10 inches,15 inches
Row 91,5,5 inches,15 inches
Row 92,6,10 inches,15 inches
Row 93,6,10 inches,15 inches
Row 94,12,15 inches,15 inches
Row 95,12,15 inches,15 inches
Row 96,13,15 inches,15 inches
Row 97,8,10 inches,15 inches
Row 98,7,10 inches,15 inches
Row 99,9,10 inches,15 inches
Row 100,5,5 inches,15 inches
Row 101,10,10 inches,15 inches
Row 102,13,15 inches,15 inches
Row 103,9,10 inches,15 inches
Row 104,5,5 inches,15 inches
