Row,Number of Houses,Pipe Size,pipe_size
Row 1,14,15 inches,15 inches
Row 2,10,10 inches,15 inches
Row 3,10,10 inches,15 inches
Row 4,8,10 inches,15 inches
Row 5,10,10 inches,15 inches
Row 6,6,10 inches,15 inches
Row 7,7,10 inches,15 inches
Row 8,7,10 inches,15 inches
Row 9,15,15 inches,15 inches
Row 10,6,10 inches,15 inches
Row 11,5,5 inches,15 inches
Row 12,15,15 inches,15 inches
Row 13,10,10 inches,15 inches
Row 14,8,10 inches,15 inches
Row 15,12,15 inches,15 inches
Row 16,14,15 inches,15 inches
Row 17,15,15 inches,15 inches
Row 18,7,10 inches,15 inches
Row 19,5,5 inches,15 inches
Row 20,10,10 inches,15 inches
Row 21,5,5 inches,15 inches
Row 22,7,10 inches,15 inches
Row 23,6,10 inches,15 inches
Row 24,13,15 inches,15 inches
Row 25,5,5 inches,15 inches
Row 26,5,5 inches,15 inches
Row 27,15,15 inches,15 inches
Row 28,10,10 inches,15 inches
Row 29,15,15 inches,15 inches
Row 30,6,10 inches,15 inches
Row 31,11,15 inches,15 inches
Row 32,6,10 inches,15 inches
Row 33,14,15 inches,15 inches
Row 34,8,10 inches,15 inches
Row 35,13,15 inches,15 inches
Row 36,11,15 inches,15 inches
Row 37,7,10 inches,15 inches
Row 38,10,10 inches,15 inches
Row 39,8,10 inches,15 inches
Row 40,14,15 inches,15 inches
Row 41,11,15 inches,15 inches
Row 42,11,15 inches,15 inches
Row 43,8,10 inches,15 inches
Row 44,5,5 inches,15 inches
Row 45,13,15 inches,15 inches
Row 46,8,10 inches,15 inches
Row 47,5,5 inches,15 inches
Row 48,14,15 inches,15 inches
Row 49,5,5 inches,15 inches
Row 50,15,15 inches,15 inches
Row 51,6,10 inches,15 inches
Row 52,10,10 inches,15 inches
Row 53,7,10 inches,15 inches
Row 54,13,15 inches,15 inches
Row 55,15,15 inches,15 inches
Row 56,15,15 inches,15 inches
Row 57,8,10 inches,15 inches
Row 58,5,5 inches,15 inches
Row 59,13,15 inches,15 inches
Row 60,9,10 inches,15 inches
Row 61,12,15 inches,15 inches
Row 62,7,10 inches,15 inches
Row 63,6,10 inches,15 inches
Row 64,7,10 inches,15 inches
Row 65,13,15 inches,15 inches
Row 66,14,15 inches,15 inches
Row 67,7,10 inches,15 inches
Row 68,8,10 inches,15 inches
Row 69,8,10 inches,15 inches
Row 70,11,15 inches,15 inches
Row 71,6,10 inches,15 inches
Row 72,10,10 inches,15 inches
Row 73,6,10 inches,15 inches
Row 74,15,15 inches,15 inches
Row 75,14,15 inches,15 inches
Row 76,13,15 inches,15 inches
Row 77,8,10 inches,15 inches
Row 78,10,10 inches,15 inches
Row 79,9,10 inches,15 inches
Row 80,5,5 inches,15 inches
Row 81,12,15 inches,15 inches
Row 82,10,10 inches,15 inches
Row 83,10,10 inches,15 inches
Row 84,7,10 inches,15 inches
Row 85,9,10 inches,15 inches
Row 86,10,10 inches,15 inches
Row 87,7,10 inches,15 inches
Row 88,11,15 inches,15 inches
Row 89,10,10 inches,15 inches
Row 90,12,15 inches,15 inches
Row 91,14,15 inches,15 inches
Row 92,11,15 inches,15 inches
Row 93,7,10 inches,15 inches
Row 94,12,15 inches,15 inches
Row 95,8,10 inches,15 inches
Row 96,6,10 inches,15 inches
Row 97,6,10 inches,15 inches
Row 98,8,10 inches,15 inches
Row 99,8,10 inches,15 inches
Row 100,10,10 inches,15 inches
Row 101,8,10 inches,15 inches
Row 102,15,15 inches,15 inches
Row 103,8,10 inches,15 inches
Row 104,8,10 inches,15 inches
Row 105,6,10 inches,15 inches
Row 106,13,15 inches,15 inches
Row 107,14,15 inches,15 inches
Row 108,7,10 inches,15 inches
Row 109,14,15 inches,15 inches
Row 110,9,10 inches,15 inches
Row 111,9,10 inches,15 inches
Row 112,5,5 inches,15 inches
Row 113,7,10 inches,15 inches
Row 114,5,5 inches,15 inches
Row 115,6,10 inches,15 inches
Row 116,11,15 inches,15 inches
Row 117,12,15 inches,15 inches
Row 118,14,15 inches,15 inches
Row 119,5,5 inches,15 inches
Row 120,12,15 inches,15 inches
Row 121,7,10 inches,15 inches
Row 122,15,15 inches,15 inches
Row 123,13,15 inches,15 inches
