Row,Number of Houses,Pipe Size
Row 1,11,15 inches
Row 2,7,10 inches
Row 3,8,10 inches
Row 4,12,15 inches
Row 5,8,10 inches
Row 6,5,5 inches
Row 7,13,15 inches
Row 8,5,5 inches
Row 9,10,10 inches
Row 10,8,10 inches
Row 11,10,10 inches
Row 12,6,10 inches
Row 13,6,10 inches
Row 14,10,10 inches
Row 15,5,5 inches
Row 16,5,5 inches
Row 17,8,10 inches
Row 18,11,15 inches
Row 19,10,10 inches
Row 20,14,15 inches
Row 21,13,15 inches
Row 22,13,15 inches
Row 23,7,10 inches
Row 24,10,10 inches
Row 25,5,5 inches
Row 26,7,10 inches
Row 27,10,10 inches
Row 28,15,15 inches
Row 29,12,15 inches
Row 30,6,10 inches
Row 31,10,10 inches
Row 32,12,15 inches
Row 33,11,15 inches
Row 34,13,15 inches
Row 35,14,15 inches
Row 36,11,15 inches
Row 37,14,15 inches
Row 38,13,15 inches
Row 39,9,10 inches
Row 40,8,10 inches
Row 41,12,15 inches
Row 42,12,15 inches
Row 43,15,15 inches
Row 44,5,5 inches
Row 45,9,10 inches
Row 46,8,10 inches
Row 47,10,10 inches
Row 48,15,15 inches
Row 49,6,10 inches
Row 50,10,10 inches
Row 51,8,10 inches
Row 52,15,15 inches
Row 53,5,5 inches
Row 54,12,15 inches
Row 55,15,15 inches
Row 56,6,10 inches
Row 57,8,10 inches
Row 58,15,15 inches
Row 59,8,10 inches
Row 60,6,10 inches
Row 61,8,10 inches
Row 62,6,10 inches
Row 63,8,10 inches
Row 64,6,10 inches
Row 65,15,15 inches
Row 66,14,15 inches
Row 67,9,10 inches
Row 68,8,10 inches
Row 69,8,10 inches
Row 70,13,15 inches
Row 71,15,15 inches
Row 72,8,10 inches
Row 73,5,5 inches
Row 74,10,10 inches
Row 75,13,15 inches
Row 76,11,15 inches
Row 77,13,15 inches
Row 78,15,15 inches
Row 79,15,15 inches
Row 80,15,15 inches
Row 81,11,15 inches
Row 82,7,10 inches
Row 83,10,10 inches
Row 84,12,15 inches
Row 85,15,15 inches
Row 86,9,10 inches
Row 87,5,5 inches
Row 88,7,10 inches
Row 89,9,10 inches
Row 90,5,5 inches
Row 91,8,10 inches
Row 92,6,10 inches
Row 93,13,15 inches
Row 94,10,10 inches
Row 95,15,15 inches
Row 96,12,15 inches
Row 97,9,10 inches
Row 98,15,15 inches
Row 99,9,10 inches
Row 100,14,15 inches
Row 101,11,15 inches
Row 102,10,10 inches
Row 103,7,10 inches
Row 104,9,10 inches
Row 105,8,10 inches
Row 106,8,10 inches
Row 107,14,15 inches
Row 108,8,10 inches
Row 109,11,15 inches
Row 110,8,10 inches
Row 111,11,15 inches
Row 112,7,10 inches
Row 113,10,10 inches
Row 114,9,10 inches
Row 115,13,15 inches
Row 116,7,10 inches
Row 117,5,5 inches
Row 118,10,10 inches
Row 119,8,10 inches
Row 120,9,10 inches
Row 121,10,10 inches
Row 122,8,10 inches
Row 123,7,10 inches
Row 124,11,15 inches
Row 125,12,15 inches
Row 126,5,5 inches
Row 127,13,15 inches
Row 128,6,10 inches
Row 129,10,10 inches
Row 130,12,15 inches
