Row,Number of Houses,Pipe Size,pipe_size
Row 1,9,10 inches,15 inches
Row 2,7,10 inches,15 inches
Row 3,11,15 inches,15 inches
Row 4,10,10 inches,15 inches
Row 5,10,10 inches,15 inches
Row 6,8,10 inches,15 inches
Row 7,9,10 inches,15 inches
Row 8,6,10 inches,15 inches
Row 9,13,15 inches,15 inches
Row 10,14,15 inches,15 inches
Row 11,11,15 inches,15 inches
Row 12,12,15 inches,15 inches
Row 13,10,10 inches,15 inches
Row 14,14,15 inches,15 inches
Row 15,14,15 inches,15 inches
Row 16,5,5 inches,15 inches
Row 17,11,15 inches,15 inches
Row 18,11,15 inches,15 inches
Row 19,9,10 inches,15 inches
Row 20,11,15 inches,15 inches
Row 21,12,15 inches,15 inches
Row 22,6,10 inches,15 inches
Row 23,7,10 inches,15 inches
Row 24,12,15 inches,15 inches
Row 25,13,15 inches,15 inches
Row 26,15,15 inches,15 inches
Row 27,11,15 inches,15 inches
Row 28,5,5 inches,15 inches
Row 29,14,15 inches,15 inches
Row 30,10,10 inches,15 inches
Row 31,7,10 inches,15 inches
Row 32,12,15 inches,15 inches
Row 33,11,15 inches,15 inches
Row 34,11,15 inches,15 inches
Row 35,7,10 inches,15 inches
Row 36,14,15 inches,15 inches
Row 37,8,10 inches,15 inches
Row 38,8,10 inches,15 inches
Row 39,14,15 inches,15 inches
Row 40,5,5 inches,15 inches
Row 41,7,10 inches,15 inches
Row 42,14,15 inches,15 inches
Row 43,10,10 inches,15 inches
Row 44,5,5 inches,15 inches
Row 45,8,10 inches,15 inches
Row 46,8,10 inches,15 inches
Row 47,5,5 inches,15 inches
Row 48,13,15 inches,15 inches
Row 49,10,10 inches,15 inches
Row 50,9,10 inches,15 inches
Row 51,7,10 inches,15 inches
Row 52,11,15 inches,15 inches
Row 53,5,5 inches,15 inches
Row 54,9,10 inches,15 inches
Row 55,8,10 inches,15 inches
Row 56,8,10 inches,15 inches
Row 57,11,15 inches,15 inches
Row 58,8,10 inches,15 inches
Row 59,7,10 inches,15 inches
Row 60,13,15 inches,15 inches
Row 61,8,10 inches,15 inches
Row 62,14,15 inches,15 inches
Row 63,8,10 inches,15 inches
Row 64,13,15 inches,15 inches
Row 65,5,5 inches,15 inches
Row 66,8,10 inches,15 inches
Row 67,6,10 inches,15 inches
Row 68,13,15 inches,15 inches
Row 69,9,10 inches,15 inches
Row 70,8,10 inches,15 inches
Row 71,14,15 inches,15 inches
Row 72,13,15 inches,15 inches
Row 73,11,15 inches,15 inches
Row 74,10,10 inches,15 inches
Row 75,14,15 inches,15 inches
Row 76,5,5 inches,15 inches
Row 77,5,5 inches,15 inches
Row 78,11,15 inches,15 inches
Row 79,7,10 inches,15 inches
Row 80,10,10 inches,15 inches
Row 81,10,10 inches,15 inches
Row 82,7,10 inches,15 inches
Row 83,9,10 inches,15 inches
Row 84,5,5 inches,15 inches
Row 85,5,5 inches,15 inches
Row 86,12,15 inches,15 inches
Row 87,8,10 inches,15 inches
Row 88,13,15 inches,15 inches
Row 89,7,10 inches,15 inches
Row 90,13,15 inches,15 inches
Row 91,8,10 inches,15 inches
Row 92,13,15 inches,15 inches
Row 93,10,10 inches,15 inches
Row 94,6,10 inches,15 inches
Row 95,8,10 inches,15 inches
Row 96,5,5 inches,15 inches
Row 97,9,10 inches,15 inches
Row 98,9,10 inches,15 inches
Row 99,15,15 inches,15 inches
Row 100,7,10 inches,15 inches
Row 101,13,15 inches,15 inches
Row 102,8,10 inches,15 inches
Row 103,7,10 inches,15 inches
Row 104,10,10 inches,15 inches
Row 105,13,15 inches,15 inches
Row 106,11,15 inches,15 inches
Row 107,9,10 inches,15 inches
Row 108,14,15 inches,15 inches
Row 109,10,10 inches,15 inches
Row 110,9,10 inches,15 inches
Row 111,9,10 inches,15 inches
Row 112,15,15 inches,15 inches
Row 113,12,15 inches,15 inches
Row 114,8,10 inches,15 inches
Row 115,10,10 inches,15 inches
Row 116,8,10 inches,15 inches
Row 117,7,10 inches,15 inches
Row 118,12,15 inches,15 inches
Row 119,12,15 inches,15 inches
Row 120,9,10 inches,15 inches
Row 121,15,15 inches,15 inches
Row 122,13,15 inches,15 inches
Row 123,5,5 inches,15 inches
Row 124,12,15 inches,15 inches
Row 125,8,10 inches,15 inches
Row 126,15,15 inches,15 inches
Row 127,9,10 inches,15 inches
Row 128,5,5 inches,15 inches
Row 129,5,5 inches,15 inches
Row 130,11,15 inches,15 inches
Row 131,7,10 inches,15 inches
Row 132,12,15 inches,15 inches
Row 133,8,10 inches,15 inches
Row 134,15,15 inches,15 inches
Row 135,13,15 inches,15 inches
Row 136,8,10 inches,15 inches
Row 137,12,15 inches,15 inches
Row 138,9,10 inches,15 inches
Row 139,5,5 inches,15 inches
Row 140,7,10 inches,15 inches
Row 141,12,15 inches,15 inches
Row 142,7,10 inches,15 inches
Row 143,6,10 inches,15 inches
Row 144,11,15 inches,15 inches
Row 145,10,10 inches,15 inches
Row 146,11,15 inches,15 inches
Row 147,10,10 inches,15 inches
Row 148,15,15 inches,15 inches
Row 149,5,5 inches,15 inches
Row 150,10,10 inches,15 inches
Row 151,6,10 inches,15 inches
Row 152,11,15 inches,15 inches
Row 153,15,15 inches,15 inches
Row 154,12,15 inches,15 inches
Row 155,7,10 inches,15 inches
Row 156,8,10 inches,15 inches
Row 157,15,15 inches,15 inches
Row 158,15,15 inches,15 inches
Row 159,5,5 inches,15 inches
Row 160,7,10 inches,15 inches
Row 161,11,15 inches,15 inches
Row 162,9,10 inches,15 inches
Row 163,11,15 inches,15 inches
Row 164,8,10 inches,15 inches
Row 165,9,10 inches,15 inches
Row 166,8,10 inches,15 inches
Row 167,7,10 inches,15 inches
Row 168,14,15 inches,15 inches
Row 169,12,15 inches,15 inches
Row 170,15,15 inches,15 inches
Row 171,15,15 inches,15 inches
Row 172,10,10 inches,15 inches
Row 173,5,5 inches,15 inches
Row 174,8,10 inches,15 inches
Row 175,11,15 inches,15 inches
Row 176,15,15 inches,15 inches
Row 177,13,15 inches,15 inches
Row 178,5,5 inches,15 inches
Row 179,15,15 inches,15 inches
Row 180,12,15 inches,15 inches
Row 181,8,10 inches,15 inches
Row 182,6,10 inches,15 inches
Row 183,6,10 inches,15 inches
Row 184,5,5 inches,15 inches
Row 185,9,10 inches,15 inches
Row 186,11,15 inches,15 inches
Row 187,15,15 inches,15 inches
Row 188,9,10 inches,15 inches
Row 189,5,5 inches,15 inches
