Row,Number of Houses,Pipe Size
Row 1,14,15 inches
Row 2,7,10 inches
Row 3,14,15 inches
Row 4,9,10 inches
Row 5,12,15 inches
Row 6,15,15 inches
Row 7,13,15 inches
Row 8,12,15 inches
Row 9,8,10 inches
Row 10,13,15 inches
Row 11,6,10 inches
Row 12,9,10 inches
Row 13,13,15 inches
Row 14,8,10 inches
Row 15,9,10 inches
Row 16,14,15 inches
Row 17,7,10 inches
Row 18,11,15 inches
Row 19,12,15 inches
Row 20,7,10 inches
Row 21,8,10 inches
Row 22,5,5 inches
Row 23,6,10 inches
Row 24,14,15 inches
Row 25,7,10 inches
Row 26,13,15 inches
Row 27,6,10 inches
Row 28,14,15 inches
Row 29,10,10 inches
Row 30,12,15 inches
Row 31,12,15 inches
Row 32,6,10 inches
Row 33,5,5 inches
Row 34,7,10 inches
Row 35,8,10 inches
Row 36,11,15 inches
Row 37,8,10 inches
Row 38,13,15 inches
Row 39,12,15 inches
Row 40,7,10 inches
Row 41,5,5 inches
Row 42,7,10 inches
Row 43,7,10 inches
Row 44,5,5 inches
Row 45,10,10 inches
Row 46,10,10 inches
Row 47,10,10 inches
Row 48,5,5 inches
Row 49,7,10 inches
Row 50,11,15 inches
Row 51,11,15 inches
Row 52,14,15 inches
Row 53,15,15 inches
Row 54,8,10 inches
Row 55,9,10 inches
Row 56,8,10 inches
Row 57,5,5 inches
Row 58,13,15 inches
Row 59,11,15 inches
Row 60,14,15 inches
Row 61,15,15 inches
Row 62,15,15 inches
Row 63,5,5 inches
Row 64,14,15 inches
Row 65,9,10 inches
Row 66,9,10 inches
Row 67,10,10 inches
Row 68,6,10 inches
Row 69,9,10 inches
Row 70,13,15 inches
Row 71,6,10 inches
Row 72,10,10 inches
Row 73,9,10 inches
Row 74,13,15 inches
Row 75,14,15 inches
Row 76,10,10 inches
Row 77,10,10 inches
Row 78,6,10 inches
Row 79,10,10 inches
Row 80,14,15 inches
Row 81,15,15 inches
Row 82,12,15 inches
Row 83,12,15 inches
Row 84,9,10 inches
Row 85,11,15 inches
Row 86,8,10 inches
Row 87,9,10 inches
Row 88,15,15 inches
Row 89,14,15 inches
Row 90,13,15 inches
Row 91,9,10 inches
Row 92,8,10 inches
Row 93,15,15 inches
Row 94,13,15 inches
Row 95,12,15 inches
Row 96,13,15 inches
Row 97,9,10 inches
Row 98,9,10 inches
Row 99,14,15 inches
Row 100,12,15 inches
Row 101,15,15 inches
Row 102,14,15 inches
Row 103,12,15 inches
Row 104,8,10 inches
Row 105,11,15 inches
Row 106,9,10 inches
Row 107,7,10 inches
Row 108,12,15 inches
Row 109,15,15 inches
Row 110,6,10 inches
Row 111,5,5 inches
Row 112,13,15 inches
Row 113,7,10 inches
Row 114,10,10 inches
Row 115,6,10 inches
