ward_id,date,num_people,water_distributed_l,per_capita_usage_l,total
W59,2023-01,44709,43765.399999999994,0.9978227748041768,43765.399999999994
W59,2023-02,45380,39861.5,0.8948046271931476,39861.5
W59,2023-03,46207,64324.0,1.3941455841705048,64324.0
W59,2023-04,43668,58949.0,1.3996031133511586,58949.0
W59,2023-05,45530,65949.0,1.5204387342775674,65949.0
W59,2023-06,45738,93840.0,2.1089369247000898,93840.00000000001
W59,2023-07,43776,87328.5,2.0173371008035352,87328.5
W59,2023-08,45586,90375.0,1.8990436592022562,90375.0
W59,2023-09,43390,57506.0,1.355378798131468,57506.0
W59,2023-10,48122,61910.0,1.313353656770102,61910.0
W59,2023-11,47400,51442.0,1.1151809634169048,51442.0
W59,2023-12,45127,42039.2,0.8965998379772726,42039.2
