ward_id,date,num_people,water_distributed_l,per_capita_usage_l,total
W1,2023-01,42841,46201.399999999994,1.1443601055293156,46201.39999999999
W1,2023-02,44359,38972.5,0.9677152089098058,38972.5
W1,2023-03,47319,61060.0,1.3815634242322656,61059.99999999999
W1,2023-04,45389,60003.0,1.4659926983296494,60003.0
W1,2023-05,48036,66512.0,1.578400317078828,66512.0
W1,2023-06,44525,87904.5,2.254302949240861,87904.5
W1,2023-07,47100,98277.0,2.2347801101007283,98277.0
W1,2023-08,49764,96954.0,2.230476427067456,96954.0
W1,2023-09,42067,62274.0,1.643351100039205,62274.0
W1,2023-10,47947,61589.0,1.3918109595086827,61589.0
W1,2023-11,45248,60923.0,1.5118995873328476,60923.0
W1,2023-12,42747,43026.899999999994,1.1051727748306932,43026.899999999994
