ward_id,date,num_people,water_distributed_l,per_capita_usage_l,total
W16,2023-01,48620,46195.799999999996,0.9420784627314033,46195.799999999996
W16,2023-02,44115,41823.6,0.9166969981913832,41823.6
W16,2023-03,46844,61658.0,1.275112188349241,61658.00000000001
W16,2023-04,43888,61945.0,1.3423512603503485,61945.0
W16,2023-05,45210,61648.0,1.3078793333837353,61648.00000000001
W16,2023-06,47080,89694.0,1.9159687550585103,89694.0
W16,2023-07,43423,98896.5,2.3667638831998636,98896.5
W16,2023-08,46538,89358.0,1.87924162852408,89358.0
W16,2023-09,46708,59760.0,1.2573995337405852,59759.99999999999
W16,2023-10,47569,64128.0,1.2962844638258004,64128.0
W16,2023-11,45996,59498.0,1.2791411514082343,59498.0
W16,2023-12,46391,43670.899999999994,0.8978014169517291,43670.899999999994
