ward_id,date,num_people,water_distributed_l,per_capita_usage_l,total
W2,2023-01,44935,39338.6,0.8416864707020599,39338.6
W2,2023-02,40744,43906.799999999996,1.0684129439370504,43906.799999999996
W2,2023-03,46394,58556.0,1.3080272626670095,58556.0
W2,2023-04,48144,54617.0,1.1824335721588108,54617.0
W2,2023-05,44975,64984.0,1.4399356459116526,64984.0
W2,2023-06,46221,101044.5,2.1819274399786277,101044.50000000001
W2,2023-07,45629,87360.0,1.9946880378064331,87360.0
W2,2023-08,47053,98515.5,2.111943063428317,98515.5
W2,2023-09,45233,61319.0,1.2922968296877444,61319.0
W2,2023-10,47236,56540.0,1.246373220914527,56540.0
W2,2023-11,41800,64145.0,1.4959329788771711,64145.0
W2,2023-12,46495,46209.1,1.001566410860978,46209.1
