ward_id,date,num_people,water_distributed_l,per_capita_usage_l,total
W53,2023-01,49085,39963.7,0.8288792920189638,39963.7
W53,2023-02,44180,38913.7,0.8666749801005601,38913.7
W53,2023-03,47470,64191.0,1.333576350986247,64190.99999999999
W53,2023-04,45844,65606.0,1.4044913272486732,65606.0
W53,2023-05,45262,59637.0,1.345542707853362,59637.0
W53,2023-06,46221,87571.5,1.8305193238034512,87571.5
W53,2023-07,46915,98847.0,2.0043355214389678,98847.00000000001
W53,2023-08,48042,95088.0,1.9983079965987016,95088.0
W53,2023-09,43904,58616.0,1.394156856038767,58616.00000000001
W53,2023-10,48077,58088.0,1.2214474428156528,58088.00000000001
W53,2023-11,45512,61062.0,1.3796268280275026,61062.00000000001
W53,2023-12,47081,42039.2,0.9083409086327485,42039.2
