ward_id,date,num_people,water_distributed_l,per_capita_usage_l,total
W48,2023-01,46151,42088.2,0.8764553934622197,42088.2
W48,2023-02,43065,39204.899999999994,0.884159034518693,39204.899999999994
W48,2023-03,46711,60561.0,1.3581627380232748,60560.99999999999
W48,2023-04,44374,62389.0,1.4378216059756268,62389.0
W48,2023-05,48945,63992.0,1.3616908115481634,63992.0
W48,2023-06,43222,90120.0,2.0441534291209655,90120.0
W48,2023-07,45989,95893.5,2.135572549409019,95893.5
W48,2023-08,49233,92389.5,1.9167359357324008,92389.5
W48,2023-09,44785,53707.0,1.1745973318030425,53707.00000000001
W48,2023-10,45516,61063.0,1.3483895713177705,61063.0
W48,2023-11,44295,64852.0,1.4827477701684189,64852.0
W48,2023-12,44298,46954.6,1.0579711312580236,46954.6
