ward_id,date,num_people,water_distributed_l,per_capita_usage_l,total
W61,2023-01,45193,41666.799999999996,0.9137055063797457,41666.799999999996
W61,2023-02,40736,38989.299999999996,0.9103079396479861,38989.299999999996
W61,2023-03,44018,56505.0,1.3212805426235532,56505.0
W61,2023-04,44317,54592.0,1.2205765721047273,54592.00000000001
W61,2023-05,45162,60451.0,1.361376824912232,60451.00000000001
W61,2023-06,43454,98029.5,2.1668427869092417,98029.5
W61,2023-07,45416,92125.5,2.107788402911726,92125.5
W61,2023-08,45460,99432.0,2.1731683372453223,99431.99999999999
W61,2023-09,44187,61130.0,1.441500341022755,61130.0
W61,2023-10,47765,65559.0,1.400945997994626,65559.0
W61,2023-11,44523,55964.0,1.2093873145027412,55964.0
W61,2023-12,45956,40957.7,0.8982955677886859,40957.7
