ward_id,date,num_people,water_distributed_l,per_capita_usage_l,total
W4,2023-01,48551,40932.5,0.8347518574105594,40932.5
W4,2023-02,43750,39960.2,0.9012240875799764,39960.2
W4,2023-03,45977,66489.0,1.4235128268642185,66489.0
W4,2023-04,46642,65861.0,1.4285965375631848,65861.0
W4,2023-05,45917,63348.0,1.3716745097810776,63348.0
W4,2023-06,42865,91273.5,2.1999890536973146,91273.50000000001
W4,2023-07,48360,83866.5,1.763624850715465,83866.5
W4,2023-08,48862,95781.0,1.8759314377767085,95781.0
W4,2023-09,46037,62946.0,1.3864566088517665,62946.0
W4,2023-10,46092,62122.0,1.316938342988511,62122.0
W4,2023-11,44609,58150.0,1.315647105549657,58150.0
W4,2023-12,49236,46364.5,0.9586414958965919,46364.5
