ward_id,date,num_people,water_distributed_l,per_capita_usage_l,total
W84,2023-01,47935,41710.2,0.8936773762863608,41710.2
W84,2023-02,44223,36885.799999999996,0.8544225541781799,36885.799999999996
W84,2023-03,47531,65027.0,1.4150709979193712,65027.0
W84,2023-04,44939,56399.0,1.2758191447354066,56399.00000000001
W84,2023-05,46871,59733.0,1.2646120301349946,59733.0
W84,2023-06,44634,92554.5,1.982963791450554,92554.5
W84,2023-07,43881,88798.5,2.081894389749812,88798.49999999999
W84,2023-08,48215,87123.0,1.88019685324932,87123.0
W84,2023-09,44697,64021.0,1.4339928336467715,64021.0
W84,2023-10,47945,61092.0,1.2783525495994432,61092.0
W84,2023-11,45945,61789.0,1.3318406779048895,61789.00000000001
W84,2023-12,47675,39690.0,0.8622226970613442,39690.0
