Row,Number of Houses,Pipe Size
Row 1,10,10 inches
Row 2,12,15 inches
Row 3,12,15 inches
Row 4,6,10 inches
Row 5,12,15 inches
Row 6,7,10 inches
Row 7,12,15 inches
Row 8,10,10 inches
Row 9,13,15 inches
Row 10,11,15 inches
Row 11,15,15 inches
Row 12,11,15 inches
Row 13,15,15 inches
Row 14,7,10 inches
Row 15,11,15 inches
Row 16,7,10 inches
Row 17,14,15 inches
Row 18,10,10 inches
Row 19,7,10 inches
Row 20,14,15 inches
Row 21,9,10 inches
Row 22,7,10 inches
Row 23,6,10 inches
Row 24,10,10 inches
Row 25,11,15 inches
Row 26,12,15 inches
Row 27,14,15 inches
Row 28,14,15 inches
Row 29,5,5 inches
Row 30,7,10 inches
Row 31,10,10 inches
Row 32,12,15 inches
Row 33,14,15 inches
Row 34,8,10 inches
Row 35,11,15 inches
Row 36,12,15 inches
Row 37,10,10 inches
Row 38,11,15 inches
Row 39,15,15 inches
Row 40,14,15 inches
Row 41,13,15 inches
Row 42,12,15 inches
Row 43,6,10 inches
Row 44,7,10 inches
Row 45,7,10 inches
Row 46,14,15 inches
Row 47,5,5 inches
Row 48,13,15 inches
Row 49,8,10 inches
Row 50,13,15 inches
Row 51,5,5 inches
Row 52,5,5 inches
Row 53,8,10 inches
Row 54,10,10 inches
Row 55,11,15 inches
Row 56,15,15 inches
Row 57,11,15 inches
Row 58,10,10 inches
Row 59,7,10 inches
Row 60,14,15 inches
Row 61,10,10 inches
Row 62,12,15 inches
Row 63,11,15 inches
Row 64,5,5 inches
Row 65,12,15 inches
Row 66,7,10 inches
Row 67,10,10 inches
Row 68,7,10 inches
Row 69,14,15 inches
Row 70,12,15 inches
Row 71,5,5 inches
Row 72,13,15 inches
Row 73,15,15 inches
Row 74,12,15 inches
Row 75,13,15 inches
Row 76,13,15 inches
Row 77,8,10 inches
Row 78,10,10 inches
Row 79,5,5 inches
Row 80,11,15 inches
Row 81,10,10 inches
Row 82,11,15 inches
Row 83,9,10 inches
Row 84,12,15 inches
Row 85,15,15 inches
Row 86,6,10 inches
Row 87,6,10 inches
Row 88,12,15 inches
Row 89,15,15 inches
Row 90,9,10 inches
Row 91,6,10 inches
Row 92,9,10 inches
Row 93,9,10 inches
Row 94,12,15 inches
Row 95,14,15 inches
Row 96,8,10 inches
Row 97,15,15 inches
Row 98,6,10 inches
Row 99,8,10 inches
Row 100,14,15 inches
Row 101,15,15 inches
Row 102,9,10 inches
Row 103,5,5 inches
Row 104,9,10 inches
Row 105,5,5 inches
