Row,Number of Houses,Pipe Size
Row 1,14,15 inches
Row 2,12,15 inches
Row 3,9,10 inches
Row 4,8,10 inches
Row 5,14,15 inches
Row 6,9,10 inches
Row 7,12,15 inches
Row 8,15,15 inches
Row 9,9,10 inches
Row 10,13,15 inches
Row 11,6,10 inches
Row 12,5,5 inches
Row 13,7,10 inches
Row 14,14,15 inches
Row 15,9,10 inches
Row 16,5,5 inches
Row 17,7,10 inches
Row 18,6,10 inches
Row 19,6,10 inches
Row 20,7,10 inches
Row 21,6,10 inches
Row 22,10,10 inches
Row 23,8,10 inches
Row 24,15,15 inches
Row 25,15,15 inches
Row 26,8,10 inches
Row 27,11,15 inches
Row 28,13,15 inches
Row 29,7,10 inches
Row 30,8,10 inches
Row 31,10,10 inches
Row 32,12,15 inches
Row 33,13,15 inches
Row 34,6,10 inches
Row 35,6,10 inches
Row 36,5,5 inches
Row 37,5,5 inches
Row 38,14,15 inches
Row 39,14,15 inches
Row 40,6,10 inches
Row 41,10,10 inches
Row 42,14,15 inches
Row 43,9,10 inches
Row 44,6,10 inches
Row 45,10,10 inches
Row 46,10,10 inches
Row 47,12,15 inches
Row 48,12,15 inches
Row 49,9,10 inches
Row 50,10,10 inches
Row 51,10,10 inches
Row 52,11,15 inches
Row 53,5,5 inches
Row 54,11,15 inches
Row 55,15,15 inches
Row 56,10,10 inches
Row 57,8,10 inches
Row 58,6,10 inches
Row 59,7,10 inches
Row 60,10,10 inches
Row 61,7,10 inches
Row 62,8,10 inches
Row 63,12,15 inches
Row 64,12,15 inches
Row 65,7,10 inches
Row 66,9,10 inches
Row 67,7,10 inches
Row 68,14,15 inches
Row 69,6,10 inches
Row 70,11,15 inches
Row 71,11,15 inches
Row 72,7,10 inches
Row 73,12,15 inches
Row 74,7,10 inches
Row 75,11,15 inches
Row 76,11,15 inches
Row 77,11,15 inches
Row 78,13,15 inches
Row 79,5,5 inches
Row 80,12,15 inches
Row 81,7,10 inches
Row 82,6,10 inches
Row 83,10,10 inches
Row 84,13,15 inches
Row 85,6,10 inches
Row 86,9,10 inches
Row 87,5,5 inches
Row 88,10,10 inches
Row 89,8,10 inches
Row 90,8,10 inches
Row 91,7,10 inches
Row 92,6,10 inches
Row 93,10,10 inches
Row 94,7,10 inches
Row 95,7,10 inches
Row 96,13,15 inches
Row 97,11,15 inches
Row 98,5,5 inches
Row 99,10,10 inches
Row 100,12,15 inches
Row 101,6,10 inches
Row 102,7,10 inches
Row 103,14,15 inches
Row 104,9,10 inches
Row 105,7,10 inches
Row 106,9,10 inches
Row 107,10,10 inches
Row 108,9,10 inches
Row 109,13,15 inches
Row 110,13,15 inches
Row 111,5,5 inches
Row 112,13,15 inches
Row 113,13,15 inches
Row 114,11,15 inches
Row 115,13,15 inches
Row 116,6,10 inches
Row 117,10,10 inches
Row 118,6,10 inches
Row 119,10,10 inches
Row 120,15,15 inches
Row 121,14,15 inches
Row 122,13,15 inches
Row 123,5,5 inches
Row 124,9,10 inches
Row 125,12,15 inches
Row 126,8,10 inches
Row 127,6,10 inches
Row 128,6,10 inches
Row 129,5,5 inches
Row 130,7,10 inches
Row 131,5,5 inches
Row 132,7,10 inches
Row 133,6,10 inches
Row 134,15,15 inches
Row 135,5,5 inches
Row 136,6,10 inches
Row 137,7,10 inches
Row 138,11,15 inches
Row 139,9,10 inches
Row 140,11,15 inches
Row 141,14,15 inches
Row 142,13,15 inches
Row 143,9,10 inches
Row 144,11,15 inches
Row 145,6,10 inches
Row 146,10,10 inches
Row 147,11,15 inches
Row 148,13,15 inches
Row 149,15,15 inches
Row 150,10,10 inches
Row 151,9,10 inches
Row 152,14,15 inches
Row 153,5,5 inches
