Row,Number of Houses,Pipe Size
Row 1,7,10 inches
Row 2,11,15 inches
Row 3,10,10 inches
Row 4,15,15 inches
Row 5,15,15 inches
Row 6,15,15 inches
Row 7,7,10 inches
Row 8,7,10 inches
Row 9,11,15 inches
Row 10,11,15 inches
Row 11,6,10 inches
Row 12,15,15 inches
Row 13,7,10 inches
Row 14,11,15 inches
Row 15,14,15 inches
Row 16,10,10 inches
Row 17,8,10 inches
Row 18,9,10 inches
Row 19,9,10 inches
Row 20,9,10 inches
Row 21,8,10 inches
Row 22,12,15 inches
Row 23,7,10 inches
Row 24,12,15 inches
Row 25,12,15 inches
Row 26,10,10 inches
Row 27,6,10 inches
Row 28,10,10 inches
Row 29,7,10 inches
Row 30,11,15 inches
Row 31,13,15 inches
Row 32,6,10 inches
Row 33,14,15 inches
Row 34,6,10 inches
Row 35,9,10 inches
Row 36,9,10 inches
Row 37,6,10 inches
Row 38,12,15 inches
Row 39,12,15 inches
Row 40,15,15 inches
Row 41,13,15 inches
Row 42,14,15 inches
Row 43,15,15 inches
Row 44,13,15 inches
Row 45,10,10 inches
Row 46,7,10 inches
Row 47,7,10 inches
Row 48,6,10 inches
Row 49,8,10 inches
Row 50,8,10 inches
Row 51,11,15 inches
Row 52,15,15 inches
Row 53,10,10 inches
Row 54,8,10 inches
Row 55,6,10 inches
Row 56,13,15 inches
Row 57,14,15 inches
Row 58,11,15 inches
Row 59,7,10 inches
Row 60,13,15 inches
Row 61,15,15 inches
Row 62,10,10 inches
Row 63,13,15 inches
Row 64,6,10 inches
Row 65,6,10 inches
Row 66,9,10 inches
Row 67,8,10 inches
Row 68,12,15 inches
Row 69,6,10 inches
Row 70,9,10 inches
Row 71,9,10 inches
Row 72,14,15 inches
Row 73,7,10 inches
Row 74,14,15 inches
Row 75,7,10 inches
Row 76,6,10 inches
Row 77,9,10 inches
Row 78,13,15 inches
Row 79,7,10 inches
Row 80,15,15 inches
Row 81,15,15 inches
Row 82,7,10 inches
Row 83,12,15 inches
Row 84,14,15 inches
Row 85,13,15 inches
Row 86,10,10 inches
Row 87,10,10 inches
Row 88,12,15 inches
Row 89,10,10 inches
Row 90,11,15 inches
Row 91,8,10 inches
Row 92,12,15 inches
Row 93,11,15 inches
Row 94,15,15 inches
Row 95,13,15 inches
Row 96,8,10 inches
Row 97,9,10 inches
Row 98,11,15 inches
Row 99,7,10 inches
Row 100,11,15 inches
Row 101,7,10 inches
Row 102,13,15 inches
Row 103,5,5 inches
Row 104,12,15 inches
Row 105,15,15 inches
Row 106,14,15 inches
Row 107,13,15 inches
Row 108,5,5 inches
Row 109,6,10 inches
Row 110,8,10 inches
Row 111,11,15 inches
Row 112,13,15 inches
Row 113,10,10 inches
Row 114,9,10 inches
Row 115,7,10 inches
Row 116,12,15 inches
Row 117,6,10 inches
Row 118,7,10 inches
Row 119,5,5 inches
Row 120,6,10 inches
Row 121,12,15 inches
Row 122,11,15 inches
Row 123,14,15 inches
Row 124,7,10 inches
Row 125,7,10 inches
Row 126,14,15 inches
Row 127,9,10 inches
Row 128,5,5 inches
Row 129,14,15 inches
Row 130,8,10 inches
Row 131,11,15 inches
Row 132,11,15 inches
Row 133,5,5 inches
Row 134,6,10 inches
Row 135,14,15 inches
Row 136,7,10 inches
Row 137,8,10 inches
Row 138,7,10 inches
Row 139,7,10 inches
Row 140,12,15 inches
Row 141,10,10 inches
Row 142,8,10 inches
Row 143,9,10 inches
Row 144,13,15 inches
Row 145,7,10 inches
Row 146,11,15 inches
Row 147,5,5 inches
Row 148,9,10 inches
Row 149,12,15 inches
Row 150,10,10 inches
Row 151,8,10 inches
Row 152,15,15 inches
Row 153,7,10 inches
Row 154,8,10 inches
Row 155,15,15 inches
Row 156,10,10 inches
Row 157,5,5 inches
Row 158,13,15 inches
Row 159,5,5 inches
Row 160,15,15 inches
Row 161,14,15 inches
Row 162,8,10 inches
Row 163,5,5 inches
Row 164,12,15 inches
Row 165,13,15 inches
Row 166,15,15 inches
Row 167,9,10 inches
Row 168,14,15 inches
Row 169,10,10 inches
Row 170,6,10 inches
Row 171,5,5 inches
Row 172,12,15 inches
Row 173,13,15 inches
Row 174,12,15 inches
Row 175,11,15 inches
Row 176,12,15 inches
Row 177,7,10 inches
Row 178,8,10 inches
Row 179,13,15 inches
Row 180,13,15 inches
Row 181,12,15 inches
Row 182,5,5 inches
Row 183,6,10 inches
Row 184,12,15 inches
