Row,Number of Houses,Pipe Size
Row 1,11,15 inches
Row 2,6,10 inches
Row 3,5,5 inches
Row 4,9,10 inches
Row 5,5,5 inches
Row 6,12,15 inches
Row 7,12,15 inches
Row 8,14,15 inches
Row 9,11,15 inches
Row 10,15,15 inches
Row 11,9,10 inches
Row 12,9,10 inches
Row 13,7,10 inches
Row 14,12,15 inches
Row 15,8,10 inches
Row 16,5,5 inches
Row 17,10,10 inches
Row 18,15,15 inches
Row 19,14,15 inches
Row 20,6,10 inches
Row 21,5,5 inches
Row 22,12,15 inches
Row 23,6,10 inches
Row 24,10,10 inches
Row 25,8,10 inches
Row 26,6,10 inches
Row 27,11,15 inches
Row 28,5,5 inches
Row 29,13,15 inches
Row 30,8,10 inches
Row 31,14,15 inches
Row 32,14,15 inches
Row 33,15,15 inches
Row 34,12,15 inches
Row 35,10,10 inches
Row 36,14,15 inches
Row 37,5,5 inches
Row 38,15,15 inches
Row 39,9,10 inches
Row 40,7,10 inches
Row 41,12,15 inches
Row 42,7,10 inches
Row 43,11,15 inches
Row 44,11,15 inches
Row 45,6,10 inches
Row 46,9,10 inches
Row 47,7,10 inches
Row 48,9,10 inches
Row 49,15,15 inches
Row 50,13,15 inches
Row 51,6,10 inches
Row 52,15,15 inches
Row 53,14,15 inches
Row 54,6,10 inches
Row 55,6,10 inches
Row 56,8,10 inches
Row 57,6,10 inches
Row 58,10,10 inches
Row 59,14,15 inches
Row 60,8,10 inches
Row 61,15,15 inches
Row 62,7,10 inches
Row 63,14,15 inches
Row 64,10,10 inches
Row 65,10,10 inches
Row 66,9,10 inches
Row 67,6,10 inches
Row 68,15,15 inches
Row 69,7,10 inches
Row 70,5,5 inches
Row 71,14,15 inches
Row 72,6,10 inches
Row 73,15,15 inches
Row 74,15,15 inches
Row 75,15,15 inches
Row 76,7,10 inches
Row 77,13,15 inches
Row 78,12,15 inches
Row 79,5,5 inches
Row 80,13,15 inches
Row 81,5,5 inches
Row 82,11,15 inches
Row 83,13,15 inches
Row 84,13,15 inches
Row 85,8,10 inches
Row 86,7,10 inches
Row 87,10,10 inches
Row 88,11,15 inches
Row 89,15,15 inches
Row 90,13,15 inches
Row 91,15,15 inches
Row 92,7,10 inches
Row 93,8,10 inches
Row 94,10,10 inches
Row 95,9,10 inches
Row 96,13,15 inches
Row 97,9,10 inches
Row 98,14,15 inches
Row 99,6,10 inches
Row 100,7,10 inches
Row 101,12,15 inches
Row 102,15,15 inches
Row 103,13,15 inches
Row 104,13,15 inches
Row 105,7,10 inches
Row 106,9,10 inches
Row 107,15,15 inches
Row 108,5,5 inches
Row 109,6,10 inches
Row 110,9,10 inches
Row 111,8,10 inches
Row 112,11,15 inches
Row 113,7,10 inches
Row 114,5,5 inches
Row 115,11,15 inches
Row 116,10,10 inches
Row 117,13,15 inches
Row 118,10,10 inches
Row 119,8,10 inches
Row 120,10,10 inches
Row 121,6,10 inches
Row 122,9,10 inches
Row 123,14,15 inches
Row 124,12,15 inches
Row 125,14,15 inches
Row 126,14,15 inches
Row 127,5,5 inches
Row 128,15,15 inches
Row 129,11,15 inches
Row 130,11,15 inches
Row 131,11,15 inches
Row 132,11,15 inches
Row 133,11,15 inches
Row 134,8,10 inches
Row 135,11,15 inches
Row 136,12,15 inches
Row 137,11,15 inches
Row 138,12,15 inches
Row 139,13,15 inches
Row 140,8,10 inches
Row 141,14,15 inches
Row 142,8,10 inches
Row 143,6,10 inches
Row 144,8,10 inches
Row 145,10,10 inches
Row 146,6,10 inches
Row 147,14,15 inches
Row 148,6,10 inches
Row 149,14,15 inches
Row 150,7,10 inches
Row 151,13,15 inches
Row 152,14,15 inches
Row 153,12,15 inches
Row 154,12,15 inches
Row 155,8,10 inches
Row 156,14,15 inches
Row 157,8,10 inches
Row 158,7,10 inches
Row 159,10,10 inches
Row 160,9,10 inches
Row 161,6,10 inches
Row 162,5,5 inches
Row 163,8,10 inches
Row 164,7,10 inches
Row 165,14,15 inches
Row 166,13,15 inches
Row 167,14,15 inches
Row 168,15,15 inches
Row 169,8,10 inches
Row 170,14,15 inches
Row 171,6,10 inches
Row 172,11,15 inches
Row 173,14,15 inches
Row 174,7,10 inches
Row 175,10,10 inches
Row 176,10,10 inches
Row 177,15,15 inches
Row 178,6,10 inches
