Row,Number of Houses,Pipe Size
Row 1,15,15 inches
Row 2,12,15 inches
Row 3,13,15 inches
Row 4,5,5 inches
Row 5,12,15 inches
Row 6,14,15 inches
Row 7,12,15 inches
Row 8,5,5 inches
Row 9,8,10 inches
Row 10,13,15 inches
Row 11,5,5 inches
Row 12,9,10 inches
Row 13,11,15 inches
Row 14,8,10 inches
Row 15,12,15 inches
Row 16,6,10 inches
Row 17,7,10 inches
Row 18,12,15 inches
Row 19,14,15 inches
Row 20,8,10 inches
Row 21,12,15 inches
Row 22,10,10 inches
Row 23,6,10 inches
Row 24,12,15 inches
Row 25,11,15 inches
Row 26,12,15 inches
Row 27,11,15 inches
Row 28,10,10 inches
Row 29,11,15 inches
Row 30,5,5 inches
Row 31,15,15 inches
Row 32,7,10 inches
Row 33,15,15 inches
Row 34,5,5 inches
Row 35,12,15 inches
Row 36,10,10 inches
Row 37,5,5 inches
Row 38,14,15 inches
Row 39,5,5 inches
Row 40,9,10 inches
Row 41,12,15 inches
Row 42,12,15 inches
Row 43,7,10 inches
Row 44,8,10 inches
Row 45,12,15 inches
Row 46,8,10 inches
Row 47,14,15 inches
Row 48,6,10 inches
Row 49,10,10 inches
Row 50,7,10 inches
Row 51,9,10 inches
Row 52,12,15 inches
Row 53,6,10 inches
Row 54,10,10 inches
Row 55,7,10 inches
Row 56,8,10 inches
Row 57,14,15 inches
Row 58,13,15 inches
Row 59,14,15 inches
Row 60,7,10 inches
Row 61,9,10 inches
Row 62,15,15 inches
Row 63,10,10 inches
Row 64,11,15 inches
Row 65,13,15 inches
Row 66,5,5 inches
Row 67,10,10 inches
Row 68,13,15 inches
Row 69,13,15 inches
Row 70,13,15 inches
Row 71,14,15 inches
Row 72,11,15 inches
Row 73,15,15 inches
Row 74,6,10 inches
Row 75,7,10 inches
Row 76,10,10 inches
Row 77,13,15 inches
Row 78,10,10 inches
Row 79,7,10 inches
Row 80,9,10 inches
Row 81,5,5 inches
Row 82,13,15 inches
Row 83,11,15 inches
Row 84,7,10 inches
Row 85,11,15 inches
Row 86,14,15 inches
Row 87,9,10 inches
Row 88,14,15 inches
Row 89,6,10 inches
Row 90,9,10 inches
Row 91,14,15 inches
Row 92,11,15 inches
Row 93,15,15 inches
Row 94,8,10 inches
Row 95,13,15 inches
Row 96,14,15 inches
Row 97,12,15 inches
Row 98,13,15 inches
Row 99,6,10 inches
Row 100,10,10 inches
Row 101,15,15 inches
Row 102,7,10 inches
Row 103,8,10 inches
Row 104,6,10 inches
Row 105,8,10 inches
Row 106,11,15 inches
Row 107,11,15 inches
Row 108,12,15 inches
Row 109,15,15 inches
