Row,Number of Houses,Pipe Size
Row 1,6,10 inches
Row 2,12,15 inches
Row 3,6,10 inches
Row 4,6,10 inches
Row 5,6,10 inches
Row 6,5,5 inches
Row 7,11,15 inches
Row 8,11,15 inches
Row 9,14,15 inches
Row 10,9,10 inches
Row 11,6,10 inches
Row 12,12,15 inches
Row 13,7,10 inches
Row 14,10,10 inches
Row 15,10,10 inches
Row 16,6,10 inches
Row 17,7,10 inches
Row 18,13,15 inches
Row 19,5,5 inches
Row 20,12,15 inches
Row 21,7,10 inches
Row 22,14,15 inches
Row 23,5,5 inches
Row 24,15,15 inches
Row 25,14,15 inches
Row 26,5,5 inches
Row 27,12,15 inches
Row 28,6,10 inches
Row 29,11,15 inches
Row 30,6,10 inches
Row 31,15,15 inches
Row 32,12,15 inches
Row 33,10,10 inches
Row 34,10,10 inches
Row 35,5,5 inches
Row 36,15,15 inches
Row 37,7,10 inches
Row 38,9,10 inches
Row 39,12,15 inches
Row 40,7,10 inches
Row 41,8,10 inches
Row 42,12,15 inches
Row 43,12,15 inches
Row 44,15,15 inches
Row 45,5,5 inches
Row 46,7,10 inches
Row 47,5,5 inches
Row 48,11,15 inches
Row 49,7,10 inches
Row 50,15,15 inches
Row 51,15,15 inches
Row 52,6,10 inches
Row 53,7,10 inches
Row 54,13,15 inches
Row 55,7,10 inches
Row 56,9,10 inches
Row 57,6,10 inches
Row 58,6,10 inches
Row 59,6,10 inches
Row 60,10,10 inches
Row 61,15,15 inches
Row 62,13,15 inches
Row 63,15,15 inches
Row 64,11,15 inches
Row 65,15,15 inches
Row 66,15,15 inches
Row 67,12,15 inches
Row 68,8,10 inches
Row 69,5,5 inches
Row 70,14,15 inches
Row 71,7,10 inches
Row 72,13,15 inches
Row 73,12,15 inches
Row 74,14,15 inches
Row 75,10,10 inches
Row 76,9,10 inches
Row 77,6,10 inches
Row 78,14,15 inches
Row 79,10,10 inches
Row 80,5,5 inches
Row 81,9,10 inches
Row 82,11,15 inches
Row 83,7,10 inches
Row 84,8,10 inches
Row 85,6,10 inches
Row 86,12,15 inches
Row 87,14,15 inches
Row 88,15,15 inches
Row 89,6,10 inches
Row 90,12,15 inches
Row 91,9,10 inches
Row 92,12,15 inches
Row 93,14,15 inches
Row 94,12,15 inches
Row 95,13,15 inches
Row 96,6,10 inches
Row 97,9,10 inches
Row 98,7,10 inches
Row 99,12,15 inches
Row 100,15,15 inches
Row 101,14,15 inches
Row 102,13,15 inches
Row 103,12,15 inches
Row 104,12,15 inches
Row 105,11,15 inches
Row 106,5,5 inches
Row 107,15,15 inches
Row 108,15,15 inches
Row 109,7,10 inches
Row 110,6,10 inches
Row 111,13,15 inches
Row 112,5,5 inches
Row 113,9,10 inches
Row 114,15,15 inches
Row 115,10,10 inches
Row 116,6,10 inches
Row 117,11,15 inches
Row 118,7,10 inches
Row 119,10,10 inches
Row 120,7,10 inches
Row 121,8,10 inches
Row 122,10,10 inches
Row 123,15,15 inches
Row 124,8,10 inches
Row 125,15,15 inches
Row 126,14,15 inches
Row 127,9,10 inches
Row 128,8,10 inches
Row 129,15,15 inches
Row 130,13,15 inches
Row 131,9,10 inches
Row 132,6,10 inches
Row 133,8,10 inches
Row 134,13,15 inches
Row 135,12,15 inches
Row 136,7,10 inches
Row 137,5,5 inches
Row 138,7,10 inches
Row 139,9,10 inches
Row 140,13,15 inches
Row 141,15,15 inches
Row 142,15,15 inches
Row 143,14,15 inches
Row 144,5,5 inches
Row 145,5,5 inches
Row 146,6,10 inches
Row 147,13,15 inches
Row 148,14,15 inches
Row 149,9,10 inches
Row 150,11,15 inches
Row 151,11,15 inches
Row 152,11,15 inches
Row 153,12,15 inches
Row 154,13,15 inches
Row 155,5,5 inches
Row 156,15,15 inches
Row 157,9,10 inches
Row 158,14,15 inches
Row 159,11,15 inches
Row 160,13,15 inches
Row 161,7,10 inches
Row 162,7,10 inches
Row 163,8,10 inches
Row 164,6,10 inches
Row 165,11,15 inches
Row 166,11,15 inches
Row 167,8,10 inches
Row 168,9,10 inches
Row 169,11,15 inches
Row 170,12,15 inches
Row 171,8,10 inches
