Row,Number of Houses,Pipe Size
Row 1,12,15 inches
Row 2,7,10 inches
Row 3,14,15 inches
Row 4,5,5 inches
Row 5,11,15 inches
Row 6,15,15 inches
Row 7,11,15 inches
Row 8,5,5 inches
Row 9,13,15 inches
Row 10,11,15 inches
Row 11,9,10 inches
Row 12,8,10 inches
Row 13,10,10 inches
Row 14,6,10 inches
Row 15,11,15 inches
Row 16,5,5 inches
Row 17,7,10 inches
Row 18,6,10 inches
Row 19,6,10 inches
Row 20,9,10 inches
Row 21,15,15 inches
Row 22,6,10 inches
Row 23,9,10 inches
Row 24,10,10 inches
Row 25,8,10 inches
Row 26,7,10 inches
Row 27,8,10 inches
Row 28,6,10 inches
Row 29,11,15 inches
Row 30,5,5 inches
Row 31,6,10 inches
Row 32,14,15 inches
Row 33,11,15 inches
Row 34,10,10 inches
Row 35,11,15 inches
Row 36,15,15 inches
Row 37,10,10 inches
Row 38,7,10 inches
Row 39,14,15 inches
Row 40,13,15 inches
Row 41,9,10 inches
Row 42,9,10 inches
Row 43,7,10 inches
Row 44,6,10 inches
Row 45,9,10 inches
Row 46,14,15 inches
Row 47,12,15 inches
Row 48,15,15 inches
Row 49,15,15 inches
Row 50,13,15 inches
Row 51,7,10 inches
Row 52,11,15 inches
Row 53,14,15 inches
Row 54,12,15 inches
Row 55,10,10 inches
Row 56,5,5 inches
Row 57,12,15 inches
Row 58,10,10 inches
Row 59,7,10 inches
Row 60,7,10 inches
Row 61,11,15 inches
Row 62,5,5 inches
Row 63,9,10 inches
Row 64,5,5 inches
Row 65,15,15 inches
Row 66,14,15 inches
Row 67,5,5 inches
Row 68,9,10 inches
Row 69,14,15 inches
Row 70,13,15 inches
Row 71,5,5 inches
Row 72,11,15 inches
Row 73,11,15 inches
Row 74,9,10 inches
Row 75,8,10 inches
Row 76,5,5 inches
Row 77,8,10 inches
Row 78,14,15 inches
Row 79,8,10 inches
Row 80,13,15 inches
Row 81,15,15 inches
Row 82,11,15 inches
Row 83,11,15 inches
Row 84,14,15 inches
Row 85,5,5 inches
Row 86,8,10 inches
Row 87,13,15 inches
Row 88,15,15 inches
Row 89,14,15 inches
Row 90,12,15 inches
Row 91,5,5 inches
Row 92,15,15 inches
Row 93,12,15 inches
Row 94,9,10 inches
Row 95,13,15 inches
Row 96,14,15 inches
Row 97,14,15 inches
Row 98,5,5 inches
Row 99,6,10 inches
Row 100,12,15 inches
Row 101,13,15 inches
Row 102,11,15 inches
Row 103,12,15 inches
Row 104,7,10 inches
Row 105,14,15 inches
Row 106,13,15 inches
Row 107,12,15 inches
Row 108,5,5 inches
Row 109,7,10 inches
Row 110,5,5 inches
Row 111,14,15 inches
Row 112,6,10 inches
Row 113,8,10 inches
Row 114,6,10 inches
Row 115,14,15 inches
Row 116,15,15 inches
Row 117,8,10 inches
Row 118,13,15 inches
Row 119,11,15 inches
Row 120,7,10 inches
Row 121,8,10 inches
Row 122,11,15 inches
Row 123,11,15 inches
Row 124,12,15 inches
Row 125,15,15 inches
Row 126,7,10 inches
Row 127,8,10 inches
Row 128,15,15 inches
