Row,Number of Houses,Pipe Size,pipe_size
Row 1,12,15 inches,15 inches
Row 2,14,15 inches,15 inches
Row 3,7,10 inches,15 inches
Row 4,7,10 inches,15 inches
Row 5,14,15 inches,15 inches
Row 6,14,15 inches,15 inches
Row 7,13,15 inches,15 inches
Row 8,5,5 inches,15 inches
Row 9,10,10 inches,15 inches
Row 10,9,10 inches,15 inches
Row 11,5,5 inches,15 inches
Row 12,8,10 inches,15 inches
Row 13,8,10 inches,15 inches
Row 14,13,15 inches,15 inches
Row 15,14,15 inches,15 inches
Row 16,11,15 inches,15 inches
Row 17,9,10 inches,15 inches
Row 18,10,10 inches,15 inches
Row 19,7,10 inches,15 inches
Row 20,9,10 inches,15 inches
Row 21,11,15 inches,15 inches
Row 22,9,10 inches,15 inches
Row 23,11,15 inches,15 inches
Row 24,15,15 inches,15 inches
Row 25,14,15 inches,15 inches
Row 26,10,10 inches,15 inches
Row 27,12,15 inches,15 inches
Row 28,9,10 inches,15 inches
Row 29,10,10 inches,15 inches
Row 30,10,10 inches,15 inches
Row 31,5,5 inches,15 inches
Row 32,13,15 inches,15 inches
Row 33,8,10 inches,15 inches
Row 34,9,10 inches,15 inches
Row 35,7,10 inches,15 inches
Row 36,15,15 inches,15 inches
Row 37,5,5 inches,15 inches
Row 38,12,15 inches,15 inches
Row 39,15,15 inches,15 inches
Row 40,5,5 inches,15 inches
Row 41,12,15 inches,15 inches
Row 42,12,15 inches,15 inches
Row 43,8,10 inches,15 inches
Row 44,5,5 inches,15 inches
Row 45,6,10 inches,15 inches
Row 46,12,15 inches,15 inches
Row 47,5,5 inches,15 inches
Row 48,9,10 inches,15 inches
Row 49,7,10 inches,15 inches
Row 50,15,15 inches,15 inches
Row 51,6,10 inches,15 inches
Row 52,8,10 inches,15 inches
Row 53,5,5 inches,15 inches
Row 54,11,15 inches,15 inches
Row 55,7,10 inches,15 inches
Row 56,14,15 inches,15 inches
Row 57,14,15 inches,15 inches
Row 58,7,10 inches,15 inches
Row 59,7,10 inches,15 inches
Row 60,7,10 inches,15 inches
Row 61,15,15 inches,15 inches
Row 62,11,15 inches,15 inches
Row 63,7,10 inches,15 inches
Row 64,14,15 inches,15 inches
Row 65,13,15 inches,15 inches
Row 66,6,10 inches,15 inches
Row 67,15,15 inches,15 inches
Row 68,14,15 inches,15 inches
Row 69,10,10 inches,15 inches
Row 70,5,5 inches,15 inches
Row 71,5,5 inches,15 inches
Row 72,13,15 inches,15 inches
Row 73,6,10 inches,15 inches
Row 74,6,10 inches,15 inches
Row 75,12,15 inches,15 inches
Row 76,7,10 inches,15 inches
Row 77,11,15 inches,15 inches
Row 78,11,15 inches,15 inches
Row 79,6,10 inches,15 inches
Row 80,12,15 inches,15 inches
Row 81,7,10 inches,15 inches
Row 82,13,15 inches,15 inches
Row 83,5,5 inches,15 inches
Row 84,15,15 inches,15 inches
Row 85,12,15 inches,15 inches
Row 86,14,15 inches,15 inches
Row 87,13,15 inches,15 inches
Row 88,14,15 inches,15 inches
Row 89,10,10 inches,15 inches
Row 90,11,15 inches,15 inches
Row 91,15,15 inches,15 inches
Row 92,5,5 inches,15 inches
Row 93,9,10 inches,15 inches
Row 94,7,10 inches,15 inches
Row 95,7,10 inches,15 inches
Row 96,6,10 inches,15 inches
Row 97,12,15 inches,15 inches
Row 98,10,10 inches,15 inches
Row 99,6,10 inches,15 inches
Row 100,10,10 inches,15 inches
Row 101,5,5 inches,15 inches
Row 102,9,10 inches,15 inches
Row 103,13,15 inches,15 inches
Row 104,10,10 inches,15 inches
Row 105,12,15 inches,15 inches
Row 106,15,15 inches,15 inches
Row 107,5,5 inches,15 inches
Row 108,12,15 inches,15 inches
Row 109,13,15 inches,15 inches
Row 110,9,10 inches,15 inches
Row 111,12,15 inches,15 inches
Row 112,5,5 inches,15 inches
Row 113,6,10 inches,15 inches
Row 114,8,10 inches,15 inches
Row 115,5,5 inches,15 inches
Row 116,8,10 inches,15 inches
Row 117,10,10 inches,15 inches
