Row,Number of Houses,Pipe Size,pipe_size
Row 1,7,10 inches,15 inches
Row 2,5,5 inches,15 inches
Row 3,7,10 inches,15 inches
Row 4,8,10 inches,15 inches
Row 5,11,15 inches,15 inches
Row 6,9,10 inches,15 inches
Row 7,14,15 inches,15 inches
Row 8,7,10 inches,15 inches
Row 9,14,15 inches,15 inches
Row 10,9,10 inches,15 inches
Row 11,12,15 inches,15 inches
Row 12,15,15 inches,15 inches
Row 13,13,15 inches,15 inches
Row 14,13,15 inches,15 inches
Row 15,11,15 inches,15 inches
Row 16,12,15 inches,15 inches
Row 17,13,15 inches,15 inches
Row 18,12,15 inches,15 inches
Row 19,7,10 inches,15 inches
Row 20,10,10 inches,15 inches
Row 21,5,5 inches,15 inches
Row 22,15,15 inches,15 inches
Row 23,15,15 inches,15 inches
Row 24,10,10 inches,15 inches
Row 25,14,15 inches,15 inches
Row 26,15,15 inches,15 inches
Row 27,15,15 inches,15 inches
Row 28,9,10 inches,15 inches
Row 29,10,10 inches,15 inches
Row 30,14,15 inches,15 inches
Row 31,12,15 inches,15 inches
Row 32,13,15 inches,15 inches
Row 33,11,15 inches,15 inches
Row 34,6,10 inches,15 inches
Row 35,14,15 inches,15 inches
Row 36,9,10 inches,15 inches
Row 37,11,15 inches,15 inches
Row 38,14,15 inches,15 inches
Row 39,5,5 inches,15 inches
Row 40,10,10 inches,15 inches
Row 41,5,5 inches,15 inches
Row 42,9,10 inches,15 inches
Row 43,12,15 inches,15 inches
Row 44,8,10 inches,15 inches
Row 45,7,10 inches,15 inches
Row 46,5,5 inches,15 inches
Row 47,13,15 inches,15 inches
Row 48,5,5 inches,15 inches
Row 49,5,5 inches,15 inches
Row 50,15,15 inches,15 inches
Row 51,7,10 inches,15 inches
Row 52,11,15 inches,15 inches
Row 53,12,15 inches,15 inches
Row 54,10,10 inches,15 inches
Row 55,11,15 inches,15 inches
Row 56,7,10 inches,15 inches
Row 57,14,15 inches,15 inches
Row 58,6,10 inches,15 inches
Row 59,15,15 inches,15 inches
Row 60,7,10 inches,15 inches
Row 61,11,15 inches,15 inches
Row 62,10,10 inches,15 inches
Row 63,7,10 inches,15 inches
Row 64,9,10 inches,15 inches
Row 65,7,10 inches,15 inches
Row 66,7,10 inches,15 inches
Row 67,7,10 inches,15 inches
Row 68,6,10 inches,15 inches
Row 69,15,15 inches,15 inches
Row 70,12,15 inches,15 inches
Row 71,7,10 inches,15 inches
Row 72,15,15 inches,15 inches
Row 73,5,5 inches,15 inches
Row 74,14,15 inches,15 inches
Row 75,7,10 inches,15 inches
Row 76,6,10 inches,15 inches
Row 77,14,15 inches,15 inches
Row 78,8,10 inches,15 inches
Row 79,9,10 inches,15 inches
Row 80,11,15 inches,15 inches
Row 81,12,15 inches,15 inches
Row 82,15,15 inches,15 inches
Row 83,8,10 inches,15 inches
Row 84,10,10 inches,15 inches
Row 85,12,15 inches,15 inches
Row 86,9,10 inches,15 inches
Row 87,12,15 inches,15 inches
Row 88,8,10 inches,15 inches
Row 89,11,15 inches,15 inches
Row 90,14,15 inches,15 inches
Row 91,7,10 inches,15 inches
Row 92,8,10 inches,15 inches
Row 93,15,15 inches,15 inches
Row 94,6,10 inches,15 inches
Row 95,14,15 inches,15 inches
Row 96,10,10 inches,15 inches
Row 97,10,10 inches,15 inches
Row 98,7,10 inches,15 inches
Row 99,13,15 inches,15 inches
Row 100,9,10 inches,15 inches
Row 101,7,10 inches,15 inches
Row 102,13,15 inches,15 inches
Row 103,13,15 inches,15 inches
Row 104,8,10 inches,15 inches
Row 105,15,15 inches,15 inches
Row 106,12,15 inches,15 inches
Row 107,8,10 inches,15 inches
Row 108,9,10 inches,15 inches
Row 109,13,15 inches,15 inches
Row 110,5,5 inches,15 inches
Row 111,7,10 inches,15 inches
Row 112,5,5 inches,15 inches
Row 113,13,15 inches,15 inches
Row 114,10,10 inches,15 inches
Row 115,10,10 inches,15 inches
Row 116,9,10 inches,15 inches
Row 117,5,5 inches,15 inches
Row 118,12,15 inches,15 inches
Row 119,13,15 inches,15 inches
Row 120,10,10 inches,15 inches
Row 121,8,10 inches,15 inches
Row 122,12,15 inches,15 inches
Row 123,15,15 inches,15 inches
Row 124,9,10 inches,15 inches
Row 125,14,15 inches,15 inches
Row 126,10,10 inches,15 inches
Row 127,10,10 inches,15 inches
Row 128,8,10 inches,15 inches
Row 129,7,10 inches,15 inches
Row 130,6,10 inches,15 inches
Row 131,8,10 inches,15 inches
Row 132,12,15 inches,15 inches
Row 133,12,15 inches,15 inches
Row 134,5,5 inches,15 inches
Row 135,12,15 inches,15 inches
Row 136,10,10 inches,15 inches
Row 137,7,10 inches,15 inches
Row 138,11,15 inches,15 inches
Row 139,15,15 inches,15 inches
Row 140,7,10 inches,15 inches
Row 141,14,15 inches,15 inches
Row 142,9,10 inches,15 inches
Row 143,11,15 inches,15 inches
Row 144,6,10 inches,15 inches
Row 145,15,15 inches,15 inches
Row 146,13,15 inches,15 inches
Row 147,9,10 inches,15 inches
Row 148,9,10 inches,15 inches
Row 149,14,15 inches,15 inches
Row 150,12,15 inches,15 inches
Row 151,7,10 inches,15 inches
Row 152,14,15 inches,15 inches
Row 153,5,5 inches,15 inches
