Row,Number of Houses,Pipe Size,pipe_size
Row 1,14,15 inches,15 inches
Row 2,6,10 inches,15 inches
Row 3,8,10 inches,15 inches
Row 4,8,10 inches,15 inches
Row 5,10,10 inches,15 inches
Row 6,15,15 inches,15 inches
Row 7,9,10 inches,15 inches
Row 8,7,10 inches,15 inches
Row 9,13,15 inches,15 inches
Row 10,11,15 inches,15 inches
Row 11,14,15 inches,15 inches
Row 12,15,15 inches,15 inches
Row 13,10,10 inches,15 inches
Row 14,9,10 inches,15 inches
Row 15,9,10 inches,15 inches
Row 16,14,15 inches,15 inches
Row 17,15,15 inches,15 inches
Row 18,9,10 inches,15 inches
Row 19,15,15 inches,15 inches
Row 20,14,15 inches,15 inches
Row 21,10,10 inches,15 inches
Row 22,5,5 inches,15 inches
Row 23,9,10 inches,15 inches
Row 24,11,15 inches,15 inches
Row 25,12,15 inches,15 inches
Row 26,11,15 inches,15 inches
Row 27,7,10 inches,15 inches
Row 28,7,10 inches,15 inches
Row 29,11,15 inches,15 inches
Row 30,13,15 inches,15 inches
Row 31,11,15 inches,15 inches
Row 32,14,15 inches,15 inches
Row 33,12,15 inches,15 inches
Row 34,11,15 inches,15 inches
Row 35,5,5 inches,15 inches
Row 36,8,10 inches,15 inches
Row 37,7,10 inches,15 inches
Row 38,14,15 inches,15 inches
Row 39,11,15 inches,15 inches
Row 40,11,15 inches,15 inches
Row 41,12,15 inches,15 inches
Row 42,5,5 inches,15 inches
Row 43,10,10 inches,15 inches
Row 44,6,10 inches,15 inches
Row 45,5,5 inches,15 inches
Row 46,14,15 inches,15 inches
Row 47,11,15 inches,15 inches
Row 48,11,15 inches,15 inches
Row 49,6,10 inches,15 inches
Row 50,6,10 inches,15 inches
Row 51,15,15 inches,15 inches
Row 52,6,10 inches,15 inches
Row 53,10,10 inches,15 inches
Row 54,7,10 inches,15 inches
Row 55,7,10 inches,15 inches
Row 56,12,15 inches,15 inches
Row 57,5,5 inches,15 inches
Row 58,6,10 inches,15 inches
Row 59,14,15 inches,15 inches
Row 60,5,5 inches,15 inches
Row 61,7,10 inches,15 inches
Row 62,5,5 inches,15 inches
Row 63,10,10 inches,15 inches
Row 64,12,15 inches,15 inches
Row 65,8,10 inches,15 inches
Row 66,6,10 inches,15 inches
Row 67,7,10 inches,15 inches
Row 68,9,10 inches,15 inches
Row 69,6,10 inches,15 inches
Row 70,5,5 inches,15 inches
Row 71,11,15 inches,15 inches
Row 72,8,10 inches,15 inches
Row 73,14,15 inches,15 inches
Row 74,9,10 inches,15 inches
Row 75,6,10 inches,15 inches
Row 76,9,10 inches,15 inches
Row 77,15,15 inches,15 inches
Row 78,12,15 inches,15 inches
Row 79,14,15 inches,15 inches
Row 80,13,15 inches,15 inches
Row 81,8,10 inches,15 inches
Row 82,10,10 inches,15 inches
Row 83,10,10 inches,15 inches
Row 84,13,15 inches,15 inches
Row 85,6,10 inches,15 inches
Row 86,5,5 inches,15 inches
Row 87,7,10 inches,15 inches
Row 88,14,15 inches,15 inches
Row 89,13,15 inches,15 inches
Row 90,11,15 inches,15 inches
Row 91,13,15 inches,15 inches
Row 92,5,5 inches,15 inches
Row 93,12,15 inches,15 inches
