Row,Number of Houses,Pipe Size
Row 1,14,15 inches
Row 2,6,10 inches
Row 3,8,10 inches
Row 4,5,5 inches
Row 5,11,15 inches
Row 6,10,10 inches
Row 7,12,15 inches
Row 8,9,10 inches
Row 9,9,10 inches
Row 10,9,10 inches
Row 11,15,15 inches
Row 12,12,15 inches
Row 13,15,15 inches
Row 14,7,10 inches
Row 15,8,10 inches
Row 16,12,15 inches
Row 17,9,10 inches
Row 18,11,15 inches
Row 19,15,15 inches
Row 20,13,15 inches
Row 21,5,5 inches
Row 22,10,10 inches
Row 23,15,15 inches
Row 24,9,10 inches
Row 25,5,5 inches
Row 26,5,5 inches
Row 27,10,10 inches
Row 28,15,15 inches
Row 29,8,10 inches
Row 30,7,10 inches
Row 31,7,10 inches
Row 32,15,15 inches
Row 33,5,5 inches
Row 34,7,10 inches
Row 35,6,10 inches
Row 36,13,15 inches
Row 37,10,10 inches
Row 38,11,15 inches
Row 39,7,10 inches
Row 40,13,15 inches
Row 41,7,10 inches
Row 42,6,10 inches
Row 43,6,10 inches
Row 44,10,10 inches
Row 45,15,15 inches
Row 46,15,15 inches
Row 47,9,10 inches
Row 48,14,15 inches
Row 49,14,15 inches
Row 50,14,15 inches
Row 51,6,10 inches
Row 52,13,15 inches
Row 53,14,15 inches
Row 54,14,15 inches
Row 55,7,10 inches
Row 56,10,10 inches
Row 57,8,10 inches
Row 58,8,10 inches
Row 59,7,10 inches
Row 60,14,15 inches
Row 61,5,5 inches
Row 62,15,15 inches
Row 63,5,5 inches
Row 64,13,15 inches
Row 65,14,15 inches
Row 66,10,10 inches
Row 67,14,15 inches
Row 68,15,15 inches
Row 69,13,15 inches
Row 70,9,10 inches
Row 71,6,10 inches
Row 72,9,10 inches
Row 73,5,5 inches
Row 74,5,5 inches
Row 75,14,15 inches
Row 76,11,15 inches
Row 77,6,10 inches
Row 78,8,10 inches
Row 79,15,15 inches
Row 80,5,5 inches
Row 81,11,15 inches
Row 82,12,15 inches
Row 83,14,15 inches
Row 84,6,10 inches
Row 85,9,10 inches
Row 86,13,15 inches
Row 87,9,10 inches
Row 88,8,10 inches
Row 89,14,15 inches
Row 90,10,10 inches
Row 91,7,10 inches
Row 92,13,15 inches
Row 93,10,10 inches
Row 94,5,5 inches
Row 95,13,15 inches
Row 96,11,15 inches
Row 97,10,10 inches
Row 98,6,10 inches
Row 99,8,10 inches
Row 100,15,15 inches
Row 101,5,5 inches
Row 102,15,15 inches
Row 103,14,15 inches
Row 104,14,15 inches
Row 105,11,15 inches
Row 106,8,10 inches
Row 107,14,15 inches
Row 108,15,15 inches
Row 109,14,15 inches
Row 110,7,10 inches
Row 111,13,15 inches
Row 112,12,15 inches
Row 113,15,15 inches
Row 114,7,10 inches
Row 115,10,10 inches
Row 116,10,10 inches
Row 117,10,10 inches
Row 118,14,15 inches
Row 119,7,10 inches
Row 120,11,15 inches
Row 121,11,15 inches
Row 122,5,5 inches
Row 123,11,15 inches
Row 124,15,15 inches
Row 125,15,15 inches
Row 126,9,10 inches
Row 127,10,10 inches
Row 128,12,15 inches
Row 129,12,15 inches
Row 130,11,15 inches
Row 131,14,15 inches
Row 132,12,15 inches
Row 133,15,15 inches
Row 134,10,10 inches
Row 135,15,15 inches
Row 136,5,5 inches
Row 137,12,15 inches
Row 138,5,5 inches
Row 139,6,10 inches
Row 140,5,5 inches
Row 141,13,15 inches
Row 142,11,15 inches
Row 143,5,5 inches
Row 144,14,15 inches
Row 145,9,10 inches
Row 146,15,15 inches
Row 147,10,10 inches
