Row,Number of Houses,Pipe Size,pipe_size
Row 1,8,10 inches,15 inches
Row 2,11,15 inches,15 inches
Row 3,7,10 inches,15 inches
Row 4,10,10 inches,15 inches
Row 5,10,10 inches,15 inches
Row 6,14,15 inches,15 inches
Row 7,14,15 inches,15 inches
Row 8,10,10 inches,15 inches
Row 9,6,10 inches,15 inches
Row 10,6,10 inches,15 inches
Row 11,14,15 inches,15 inches
Row 12,5,5 inches,15 inches
Row 13,11,15 inches,15 inches
Row 14,9,10 inches,15 inches
Row 15,12,15 inches,15 inches
Row 16,6,10 inches,15 inches
Row 17,7,10 inches,15 inches
Row 18,9,10 inches,15 inches
Row 19,7,10 inches,15 inches
Row 20,7,10 inches,15 inches
Row 21,9,10 inches,15 inches
Row 22,12,15 inches,15 inches
Row 23,15,15 inches,15 inches
Row 24,11,15 inches,15 inches
Row 25,15,15 inches,15 inches
Row 26,10,10 inches,15 inches
Row 27,7,10 inches,15 inches
Row 28,11,15 inches,15 inches
Row 29,11,15 inches,15 inches
Row 30,10,10 inches,15 inches
Row 31,10,10 inches,15 inches
Row 32,14,15 inches,15 inches
Row 33,14,15 inches,15 inches
Row 34,8,10 inches,15 inches
Row 35,11,15 inches,15 inches
Row 36,15,15 inches,15 inches
Row 37,13,15 inches,15 inches
Row 38,6,10 inches,15 inches
Row 39,11,15 inches,15 inches
Row 40,12,15 inches,15 inches
Row 41,12,15 inches,15 inches
Row 42,14,15 inches,15 inches
Row 43,11,15 inches,15 inches
Row 44,11,15 inches,15 inches
Row 45,11,15 inches,15 inches
Row 46,7,10 inches,15 inches
Row 47,8,10 inches,15 inches
Row 48,10,10 inches,15 inches
Row 49,10,10 inches,15 inches
Row 50,13,15 inches,15 inches
Row 51,6,10 inches,15 inches
Row 52,12,15 inches,15 inches
Row 53,11,15 inches,15 inches
Row 54,8,10 inches,15 inches
Row 55,5,5 inches,15 inches
Row 56,7,10 inches,15 inches
Row 57,15,15 inches,15 inches
Row 58,6,10 inches,15 inches
Row 59,12,15 inches,15 inches
Row 60,11,15 inches,15 inches
Row 61,8,10 inches,15 inches
Row 62,11,15 inches,15 inches
Row 63,6,10 inches,15 inches
Row 64,9,10 inches,15 inches
Row 65,6,10 inches,15 inches
Row 66,8,10 inches,15 inches
Row 67,14,15 inches,15 inches
Row 68,14,15 inches,15 inches
Row 69,12,15 inches,15 inches
Row 70,6,10 inches,15 inches
Row 71,14,15 inches,15 inches
Row 72,15,15 inches,15 inches
Row 73,7,10 inches,15 inches
Row 74,14,15 inches,15 inches
Row 75,10,10 inches,15 inches
Row 76,5,5 inches,15 inches
Row 77,10,10 inches,15 inches
Row 78,12,15 inches,15 inches
Row 79,12,15 inches,15 inches
Row 80,10,10 inches,15 inches
Row 81,12,15 inches,15 inches
Row 82,15,15 inches,15 inches
Row 83,11,15 inches,15 inches
Row 84,13,15 inches,15 inches
Row 85,5,5 inches,15 inches
Row 86,7,10 inches,15 inches
Row 87,9,10 inches,15 inches
Row 88,15,15 inches,15 inches
Row 89,9,10 inches,15 inches
Row 90,11,15 inches,15 inches
Row 91,12,15 inches,15 inches
Row 92,5,5 inches,15 inches
Row 93,9,10 inches,15 inches
Row 94,8,10 inches,15 inches
Row 95,5,5 inches,15 inches
Row 96,12,15 inches,15 inches
Row 97,6,10 inches,15 inches
Row 98,5,5 inches,15 inches
Row 99,13,15 inches,15 inches
Row 100,9,10 inches,15 inches
Row 101,7,10 inches,15 inches
Row 102,8,10 inches,15 inches
Row 103,13,15 inches,15 inches
Row 104,7,10 inches,15 inches
Row 105,8,10 inches,15 inches
Row 106,13,15 inches,15 inches
Row 107,14,15 inches,15 inches
Row 108,14,15 inches,15 inches
Row 109,11,15 inches,15 inches
Row 110,13,15 inches,15 inches
Row 111,14,15 inches,15 inches
Row 112,5,5 inches,15 inches
Row 113,5,5 inches,15 inches
Row 114,6,10 inches,15 inches
Row 115,7,10 inches,15 inches
Row 116,13,15 inches,15 inches
Row 117,10,10 inches,15 inches
Row 118,7,10 inches,15 inches
Row 119,11,15 inches,15 inches
Row 120,6,10 inches,15 inches
Row 121,8,10 inches,15 inches
Row 122,6,10 inches,15 inches
Row 123,6,10 inches,15 inches
Row 124,14,15 inches,15 inches
Row 125,10,10 inches,15 inches
Row 126,8,10 inches,15 inches
Row 127,7,10 inches,15 inches
Row 128,10,10 inches,15 inches
Row 129,15,15 inches,15 inches
Row 130,9,10 inches,15 inches
Row 131,5,5 inches,15 inches
Row 132,11,15 inches,15 inches
Row 133,6,10 inches,15 inches
Row 134,7,10 inches,15 inches
Row 135,13,15 inches,15 inches
Row 136,7,10 inches,15 inches
Row 137,11,15 inches,15 inches
Row 138,15,15 inches,15 inches
Row 139,12,15 inches,15 inches
Row 140,12,15 inches,15 inches
