Row,Number of Houses,Pipe Size,pipe_size
Row 1,6,10 inches,15 inches
Row 2,11,15 inches,15 inches
Row 3,13,15 inches,15 inches
Row 4,10,10 inches,15 inches
Row 5,10,10 inches,15 inches
Row 6,11,15 inches,15 inches
Row 7,11,15 inches,15 inches
Row 8,8,10 inches,15 inches
Row 9,8,10 inches,15 inches
Row 10,5,5 inches,15 inches
Row 11,7,10 inches,15 inches
Row 12,14,15 inches,15 inches
Row 13,9,10 inches,15 inches
Row 14,9,10 inches,15 inches
Row 15,5,5 inches,15 inches
Row 16,15,15 inches,15 inches
Row 17,6,10 inches,15 inches
Row 18,15,15 inches,15 inches
Row 19,7,10 inches,15 inches
Row 20,13,15 inches,15 inches
Row 21,5,5 inches,15 inches
Row 22,8,10 inches,15 inches
Row 23,10,10 inches,15 inches
Row 24,13,15 inches,15 inches
Row 25,14,15 inches,15 inches
Row 26,13,15 inches,15 inches
Row 27,10,10 inches,15 inches
Row 28,14,15 inches,15 inches
Row 29,14,15 inches,15 inches
Row 30,8,10 inches,15 inches
Row 31,8,10 inches,15 inches
Row 32,12,15 inches,15 inches
Row 33,9,10 inches,15 inches
Row 34,8,10 inches,15 inches
Row 35,7,10 inches,15 inches
Row 36,5,5 inches,15 inches
Row 37,14,15 inches,15 inches
Row 38,10,10 inches,15 inches
Row 39,14,15 inches,15 inches
Row 40,5,5 inches,15 inches
Row 41,14,15 inches,15 inches
Row 42,10,10 inches,15 inches
Row 43,12,15 inches,15 inches
Row 44,14,15 inches,15 inches
Row 45,14,15 inches,15 inches
Row 46,7,10 inches,15 inches
Row 47,7,10 inches,15 inches
Row 48,13,15 inches,15 inches
Row 49,11,15 inches,15 inches
Row 50,15,15 inches,15 inches
Row 51,11,15 inches,15 inches
Row 52,10,10 inches,15 inches
Row 53,11,15 inches,15 inches
Row 54,5,5 inches,15 inches
Row 55,14,15 inches,15 inches
Row 56,15,15 inches,15 inches
Row 57,14,15 inches,15 inches
Row 58,10,10 inches,15 inches
Row 59,8,10 inches,15 inches
Row 60,6,10 inches,15 inches
Row 61,15,15 inches,15 inches
Row 62,8,10 inches,15 inches
Row 63,9,10 inches,15 inches
Row 64,7,10 inches,15 inches
Row 65,9,10 inches,15 inches
Row 66,8,10 inches,15 inches
Row 67,7,10 inches,15 inches
Row 68,15,15 inches,15 inches
Row 69,14,15 inches,15 inches
Row 70,9,10 inches,15 inches
Row 71,15,15 inches,15 inches
Row 72,15,15 inches,15 inches
Row 73,11,15 inches,15 inches
Row 74,12,15 inches,15 inches
Row 75,12,15 inches,15 inches
Row 76,7,10 inches,15 inches
Row 77,8,10 inches,15 inches
Row 78,11,15 inches,15 inches
Row 79,7,10 inches,15 inches
Row 80,7,10 inches,15 inches
Row 81,14,15 inches,15 inches
Row 82,15,15 inches,15 inches
Row 83,15,15 inches,15 inches
Row 84,6,10 inches,15 inches
Row 85,7,10 inches,15 inches
Row 86,6,10 inches,15 inches
Row 87,5,5 inches,15 inches
Row 88,5,5 inches,15 inches
Row 89,6,10 inches,15 inches
Row 90,9,10 inches,15 inches
Row 91,6,10 inches,15 inches
Row 92,10,10 inches,15 inches
Row 93,11,15 inches,15 inches
Row 94,8,10 inches,15 inches
Row 95,7,10 inches,15 inches
Row 96,12,15 inches,15 inches
Row 97,11,15 inches,15 inches
Row 98,6,10 inches,15 inches
Row 99,11,15 inches,15 inches
Row 100,10,10 inches,15 inches
Row 101,12,15 inches,15 inches
Row 102,14,15 inches,15 inches
Row 103,9,10 inches,15 inches
Row 104,14,15 inches,15 inches
Row 105,5,5 inches,15 inches
Row 106,5,5 inches,15 inches
Row 107,14,15 inches,15 inches
Row 108,13,15 inches,15 inches
Row 109,14,15 inches,15 inches
Row 110,14,15 inches,15 inches
Row 111,6,10 inches,15 inches
Row 112,13,15 inches,15 inches
Row 113,8,10 inches,15 inches
Row 114,8,10 inches,15 inches
Row 115,11,15 inches,15 inches
Row 116,14,15 inches,15 inches
Row 117,14,15 inches,15 inches
Row 118,7,10 inches,15 inches
Row 119,9,10 inches,15 inches
Row 120,12,15 inches,15 inches
Row 121,12,15 inches,15 inches
Row 122,12,15 inches,15 inches
Row 123,11,15 inches,15 inches
Row 124,12,15 inches,15 inches
