Row,Number of Houses,Pipe Size,pipe_size
Row 1,8,10 inches,15 inches
Row 2,7,10 inches,15 inches
Row 3,12,15 inches,15 inches
Row 4,5,5 inches,15 inches
Row 5,15,15 inches,15 inches
Row 6,6,10 inches,15 inches
Row 7,11,15 inches,15 inches
Row 8,13,15 inches,15 inches
Row 9,10,10 inches,15 inches
Row 10,14,15 inches,15 inches
Row 11,7,10 inches,15 inches
Row 12,12,15 inches,15 inches
Row 13,5,5 inches,15 inches
Row 14,9,10 inches,15 inches
Row 15,15,15 inches,15 inches
Row 16,13,15 inches,15 inches
Row 17,13,15 inches,15 inches
Row 18,13,15 inches,15 inches
Row 19,8,10 inches,15 inches
Row 20,12,15 inches,15 inches
Row 21,5,5 inches,15 inches
Row 22,10,10 inches,15 inches
Row 23,5,5 inches,15 inches
Row 24,9,10 inches,15 inches
Row 25,13,15 inches,15 inches
Row 26,5,5 inches,15 inches
Row 27,7,10 inches,15 inches
Row 28,8,10 inches,15 inches
Row 29,15,15 inches,15 inches
Row 30,13,15 inches,15 inches
Row 31,8,10 inches,15 inches
Row 32,6,10 inches,15 inches
Row 33,5,5 inches,15 inches
Row 34,15,15 inches,15 inches
Row 35,5,5 inches,15 inches
Row 36,8,10 inches,15 inches
Row 37,7,10 inches,15 inches
Row 38,5,5 inches,15 inches
Row 39,5,5 inches,15 inches
Row 40,15,15 inches,15 inches
Row 41,9,10 inches,15 inches
Row 42,7,10 inches,15 inches
Row 43,11,15 inches,15 inches
Row 44,13,15 inches,15 inches
Row 45,5,5 inches,15 inches
Row 46,5,5 inches,15 inches
Row 47,14,15 inches,15 inches
Row 48,15,15 inches,15 inches
Row 49,10,10 inches,15 inches
Row 50,9,10 inches,15 inches
Row 51,15,15 inches,15 inches
Row 52,7,10 inches,15 inches
Row 53,12,15 inches,15 inches
Row 54,5,5 inches,15 inches
Row 55,12,15 inches,15 inches
Row 56,8,10 inches,15 inches
Row 57,6,10 inches,15 inches
Row 58,14,15 inches,15 inches
Row 59,8,10 inches,15 inches
Row 60,9,10 inches,15 inches
Row 61,12,15 inches,15 inches
Row 62,9,10 inches,15 inches
Row 63,7,10 inches,15 inches
Row 64,9,10 inches,15 inches
Row 65,15,15 inches,15 inches
Row 66,14,15 inches,15 inches
Row 67,8,10 inches,15 inches
Row 68,10,10 inches,15 inches
Row 69,8,10 inches,15 inches
Row 70,7,10 inches,15 inches
Row 71,10,10 inches,15 inches
Row 72,6,10 inches,15 inches
Row 73,12,15 inches,15 inches
Row 74,9,10 inches,15 inches
Row 75,7,10 inches,15 inches
Row 76,9,10 inches,15 inches
Row 77,7,10 inches,15 inches
Row 78,5,5 inches,15 inches
Row 79,9,10 inches,15 inches
Row 80,15,15 inches,15 inches
Row 81,11,15 inches,15 inches
Row 82,11,15 inches,15 inches
Row 83,13,15 inches,15 inches
Row 84,9,10 inches,15 inches
Row 85,12,15 inches,15 inches
Row 86,7,10 inches,15 inches
Row 87,7,10 inches,15 inches
Row 88,8,10 inches,15 inches
Row 89,8,10 inches,15 inches
Row 90,12,15 inches,15 inches
Row 91,12,15 inches,15 inches
Row 92,12,15 inches,15 inches
Row 93,14,15 inches,15 inches
Row 94,5,5 inches,15 inches
Row 95,13,15 inches,15 inches
Row 96,9,10 inches,15 inches
Row 97,10,10 inches,15 inches
Row 98,15,15 inches,15 inches
Row 99,15,15 inches,15 inches
Row 100,7,10 inches,15 inches
Row 101,12,15 inches,15 inches
Row 102,7,10 inches,15 inches
Row 103,11,15 inches,15 inches
Row 104,5,5 inches,15 inches
Row 105,12,15 inches,15 inches
Row 106,15,15 inches,15 inches
Row 107,13,15 inches,15 inches
Row 108,8,10 inches,15 inches
Row 109,15,15 inches,15 inches
Row 110,6,10 inches,15 inches
Row 111,5,5 inches,15 inches
Row 112,5,5 inches,15 inches
Row 113,10,10 inches,15 inches
Row 114,10,10 inches,15 inches
Row 115,15,15 inches,15 inches
Row 116,5,5 inches,15 inches
Row 117,12,15 inches,15 inches
Row 118,9,10 inches,15 inches
Row 119,11,15 inches,15 inches
Row 120,5,5 inches,15 inches
Row 121,12,15 inches,15 inches
Row 122,12,15 inches,15 inches
Row 123,7,10 inches,15 inches
Row 124,8,10 inches,15 inches
Row 125,14,15 inches,15 inches
Row 126,10,10 inches,15 inches
Row 127,8,10 inches,15 inches
Row 128,5,5 inches,15 inches
Row 129,10,10 inches,15 inches
Row 130,14,15 inches,15 inches
Row 131,10,10 inches,15 inches
Row 132,15,15 inches,15 inches
Row 133,15,15 inches,15 inches
Row 134,13,15 inches,15 inches
Row 135,13,15 inches,15 inches
Row 136,13,15 inches,15 inches
Row 137,5,5 inches,15 inches
Row 138,9,10 inches,15 inches
Row 139,11,15 inches,15 inches
Row 140,8,10 inches,15 inches
Row 141,11,15 inches,15 inches
Row 142,14,15 inches,15 inches
Row 143,15,15 inches,15 inches
Row 144,15,15 inches,15 inches
Row 145,13,15 inches,15 inches
Row 146,5,5 inches,15 inches
Row 147,11,15 inches,15 inches
Row 148,7,10 inches,15 inches
Row 149,7,10 inches,15 inches
Row 150,12,15 inches,15 inches
Row 151,12,15 inches,15 inches
Row 152,14,15 inches,15 inches
Row 153,5,5 inches,15 inches
Row 154,12,15 inches,15 inches
Row 155,7,10 inches,15 inches
Row 156,7,10 inches,15 inches
Row 157,8,10 inches,15 inches
Row 158,8,10 inches,15 inches
Row 159,6,10 inches,15 inches
