Row,Number of Houses,Pipe Size
Row 1,14,15 inches
Row 2,8,10 inches
Row 3,6,10 inches
Row 4,9,10 inches
Row 5,15,15 inches
Row 6,11,15 inches
Row 7,6,10 inches
Row 8,13,15 inches
Row 9,10,10 inches
Row 10,7,10 inches
Row 11,11,15 inches
Row 12,7,10 inches
Row 13,10,10 inches
Row 14,8,10 inches
Row 15,13,15 inches
Row 16,8,10 inches
Row 17,15,15 inches
Row 18,6,10 inches
Row 19,8,10 inches
Row 20,13,15 inches
Row 21,8,10 inches
Row 22,8,10 inches
Row 23,9,10 inches
Row 24,6,10 inches
Row 25,15,15 inches
Row 26,6,10 inches
Row 27,11,15 inches
Row 28,13,15 inches
Row 29,5,5 inches
Row 30,6,10 inches
Row 31,12,15 inches
Row 32,5,5 inches
Row 33,14,15 inches
Row 34,6,10 inches
Row 35,8,10 inches
Row 36,7,10 inches
Row 37,10,10 inches
Row 38,5,5 inches
Row 39,11,15 inches
Row 40,13,15 inches
Row 41,8,10 inches
Row 42,11,15 inches
Row 43,8,10 inches
Row 44,11,15 inches
Row 45,7,10 inches
Row 46,13,15 inches
Row 47,11,15 inches
Row 48,5,5 inches
Row 49,15,15 inches
Row 50,10,10 inches
Row 51,8,10 inches
Row 52,6,10 inches
Row 53,12,15 inches
Row 54,12,15 inches
Row 55,5,5 inches
Row 56,12,15 inches
Row 57,15,15 inches
Row 58,6,10 inches
Row 59,11,15 inches
Row 60,14,15 inches
Row 61,6,10 inches
Row 62,11,15 inches
Row 63,7,10 inches
Row 64,12,15 inches
Row 65,13,15 inches
Row 66,5,5 inches
Row 67,6,10 inches
Row 68,8,10 inches
Row 69,14,15 inches
Row 70,13,15 inches
Row 71,8,10 inches
Row 72,13,15 inches
Row 73,10,10 inches
Row 74,8,10 inches
Row 75,15,15 inches
Row 76,8,10 inches
Row 77,13,15 inches
Row 78,9,10 inches
Row 79,12,15 inches
Row 80,15,15 inches
Row 81,13,15 inches
Row 82,14,15 inches
Row 83,12,15 inches
Row 84,8,10 inches
Row 85,10,10 inches
Row 86,10,10 inches
Row 87,14,15 inches
Row 88,6,10 inches
Row 89,15,15 inches
Row 90,6,10 inches
Row 91,15,15 inches
Row 92,8,10 inches
Row 93,13,15 inches
Row 94,7,10 inches
Row 95,6,10 inches
Row 96,15,15 inches
Row 97,15,15 inches
Row 98,13,15 inches
Row 99,5,5 inches
Row 100,8,10 inches
Row 101,9,10 inches
Row 102,9,10 inches
Row 103,13,15 inches
Row 104,7,10 inches
Row 105,10,10 inches
Row 106,6,10 inches
Row 107,8,10 inches
Row 108,6,10 inches
Row 109,5,5 inches
Row 110,10,10 inches
Row 111,12,15 inches
Row 112,7,10 inches
Row 113,15,15 inches
Row 114,12,15 inches
Row 115,13,15 inches
Row 116,11,15 inches
Row 117,8,10 inches
Row 118,15,15 inches
Row 119,12,15 inches
Row 120,13,15 inches
Row 121,9,10 inches
Row 122,15,15 inches
Row 123,6,10 inches
Row 124,11,15 inches
Row 125,14,15 inches
Row 126,9,10 inches
Row 127,14,15 inches
Row 128,10,10 inches
Row 129,13,15 inches
Row 130,9,10 inches
Row 131,14,15 inches
Row 132,6,10 inches
Row 133,10,10 inches
Row 134,14,15 inches
Row 135,8,10 inches
Row 136,10,10 inches
Row 137,8,10 inches
Row 138,7,10 inches
Row 139,12,15 inches
Row 140,5,5 inches
Row 141,12,15 inches
Row 142,6,10 inches
Row 143,12,15 inches
Row 144,9,10 inches
Row 145,6,10 inches
Row 146,6,10 inches
Row 147,7,10 inches
Row 148,13,15 inches
Row 149,9,10 inches
Row 150,7,10 inches
Row 151,8,10 inches
Row 152,10,10 inches
Row 153,15,15 inches
Row 154,15,15 inches
Row 155,8,10 inches
Row 156,11,15 inches
Row 157,10,10 inches
Row 158,5,5 inches
Row 159,8,10 inches
Row 160,7,10 inches
Row 161,11,15 inches
Row 162,7,10 inches
Row 163,14,15 inches
Row 164,11,15 inches
Row 165,15,15 inches
Row 166,9,10 inches
Row 167,6,10 inches
Row 168,6,10 inches
Row 169,14,15 inches
Row 170,10,10 inches
Row 171,9,10 inches
Row 172,7,10 inches
Row 173,10,10 inches
Row 174,12,15 inches
