Row,Number of Houses,Pipe Size
Row 1,15,15 inches
Row 2,11,15 inches
Row 3,13,15 inches
Row 4,14,15 inches
Row 5,6,10 inches
Row 6,5,5 inches
Row 7,14,15 inches
Row 8,9,10 inches
Row 9,10,10 inches
Row 10,9,10 inches
Row 11,6,10 inches
Row 12,13,15 inches
Row 13,14,15 inches
Row 14,9,10 inches
Row 15,10,10 inches
Row 16,12,15 inches
Row 17,11,15 inches
Row 18,10,10 inches
Row 19,14,15 inches
Row 20,13,15 inches
Row 21,8,10 inches
Row 22,13,15 inches
Row 23,5,5 inches
Row 24,7,10 inches
Row 25,12,15 inches
Row 26,7,10 inches
Row 27,12,15 inches
Row 28,11,15 inches
Row 29,12,15 inches
Row 30,13,15 inches
Row 31,6,10 inches
Row 32,14,15 inches
Row 33,9,10 inches
Row 34,13,15 inches
Row 35,11,15 inches
Row 36,6,10 inches
Row 37,11,15 inches
Row 38,11,15 inches
Row 39,13,15 inches
Row 40,14,15 inches
Row 41,7,10 inches
Row 42,7,10 inches
Row 43,11,15 inches
Row 44,9,10 inches
Row 45,5,5 inches
Row 46,10,10 inches
Row 47,13,15 inches
Row 48,7,10 inches
Row 49,5,5 inches
Row 50,12,15 inches
Row 51,13,15 inches
Row 52,13,15 inches
Row 53,14,15 inches
Row 54,8,10 inches
Row 55,9,10 inches
Row 56,10,10 inches
Row 57,13,15 inches
Row 58,14,15 inches
Row 59,6,10 inches
Row 60,14,15 inches
Row 61,10,10 inches
Row 62,12,15 inches
Row 63,14,15 inches
Row 64,12,15 inches
Row 65,10,10 inches
Row 66,12,15 inches
Row 67,15,15 inches
Row 68,7,10 inches
Row 69,14,15 inches
Row 70,10,10 inches
Row 71,7,10 inches
Row 72,8,10 inches
Row 73,12,15 inches
Row 74,9,10 inches
Row 75,9,10 inches
Row 76,5,5 inches
Row 77,13,15 inches
Row 78,15,15 inches
Row 79,12,15 inches
Row 80,7,10 inches
Row 81,5,5 inches
Row 82,5,5 inches
Row 83,5,5 inches
Row 84,12,15 inches
Row 85,10,10 inches
Row 86,11,15 inches
Row 87,13,15 inches
Row 88,8,10 inches
Row 89,13,15 inches
Row 90,12,15 inches
Row 91,5,5 inches
Row 92,8,10 inches
Row 93,12,15 inches
Row 94,15,15 inches
Row 95,13,15 inches
Row 96,6,10 inches
Row 97,5,5 inches
Row 98,11,15 inches
Row 99,9,10 inches
Row 100,9,10 inches
Row 101,14,15 inches
Row 102,6,10 inches
Row 103,10,10 inches
Row 104,14,15 inches
Row 105,7,10 inches
Row 106,12,15 inches
Row 107,13,15 inches
Row 108,6,10 inches
Row 109,12,15 inches
Row 110,10,10 inches
Row 111,9,10 inches
Row 112,6,10 inches
Row 113,10,10 inches
Row 114,13,15 inches
Row 115,14,15 inches
Row 116,15,15 inches
Row 117,10,10 inches
Row 118,8,10 inches
Row 119,6,10 inches
Row 120,12,15 inches
Row 121,6,10 inches
Row 122,10,10 inches
Row 123,15,15 inches
Row 124,10,10 inches
Row 125,8,10 inches
Row 126,13,15 inches
Row 127,9,10 inches
Row 128,11,15 inches
Row 129,7,10 inches
Row 130,9,10 inches
Row 131,10,10 inches
Row 132,5,5 inches
Row 133,13,15 inches
Row 134,6,10 inches
Row 135,6,10 inches
Row 136,7,10 inches
Row 137,9,10 inches
Row 138,7,10 inches
Row 139,12,15 inches
Row 140,11,15 inches
Row 141,5,5 inches
Row 142,8,10 inches
Row 143,6,10 inches
Row 144,5,5 inches
Row 145,5,5 inches
Row 146,8,10 inches
Row 147,13,15 inches
Row 148,13,15 inches
Row 149,11,15 inches
Row 150,11,15 inches
Row 151,6,10 inches
Row 152,10,10 inches
Row 153,15,15 inches
Row 154,9,10 inches
Row 155,13,15 inches
Row 156,5,5 inches
Row 157,10,10 inches
Row 158,10,10 inches
Row 159,6,10 inches
Row 160,14,15 inches
Row 161,8,10 inches
Row 162,14,15 inches
Row 163,5,5 inches
Row 164,8,10 inches
Row 165,10,10 inches
Row 166,10,10 inches
